,music_cluster,times,"q_table['MAX'] = q_table[['very dislike','dislike','soso','like','very like']].max(axis=1)'''",
0,2,10,,dislike
1,1,1,,very dislike
2,4,22,,like
3,3,13,,soso
4,4,25,,like
5,3,17,,soso
6,5,28,,very like
7,1,2,,very dislike
8,5,30,,very like
9,5,29,,very like
10,2,7,,dislike
11,2,8,,dislike
12,3,15,,soso
13,1,0,,very dislike
14,4,24,,like
15,4,26,,like
16,2,9,,dislike
17,3,19,,soso
18,5,30,,very like
19,1,0,,very dislike
,2,10,,dislike
,1,1,,very dislike
,4,22,,like
,3,13,,soso
,4,25,,like
,3,17,,soso
,5,28,,very like
,1,2,,very dislike
,5,30,,very like
,5,29,,very like
,2,7,,dislike
,2,8,,dislike
,3,15,,soso
,1,0,,very dislike
,4,24,,like
,4,26,,like
,2,9,,dislike
,3,19,,soso
,5,30,,very like
,1,0,,very dislike
,2,10,,dislike
,1,1,,very dislike
,4,22,,like
,3,13,,soso
,4,25,,like
,3,17,,soso
,5,28,,very like
,1,2,,very dislike
,5,30,,very like
,5,29,,very like
,2,7,,dislike
,2,8,,dislike
,3,15,,soso
,1,0,,very dislike
,4,24,,like
,4,26,,like
,2,9,,dislike
,3,19,,soso
,5,30,,very like
,1,0,,very dislike
,2,10,,dislike
,1,1,,very dislike
,4,22,,like
,3,13,,soso
,4,25,,like
,3,17,,soso
,5,28,,very like
,1,2,,very dislike
,5,30,,very like
,5,29,,very like
,2,7,,dislike
,2,8,,dislike
,3,15,,soso
,1,0,,very dislike
,4,24,,like
,4,26,,like
,2,9,,dislike
,3,19,,soso
,5,30,,very like
,1,0,,very dislike
,2,10,,dislike
,1,1,,very dislike
,4,22,,like
,3,13,,soso
,4,25,,like
,3,17,,soso
,5,28,,very like
,1,2,,very dislike
,5,30,,very like
,5,29,,very like
,2,7,,dislike
,2,8,,dislike
,3,15,,soso
,1,0,,very dislike
,4,24,,like
,4,26,,like
,2,9,,dislike
,3,19,,soso
,5,30,,very like
,1,0,,very dislike
,2,10,,dislike
,1,1,,very dislike
,4,22,,like
,3,13,,soso
,4,25,,like
,3,17,,soso
,5,28,,very like
,1,2,,very dislike
,5,30,,very like
,5,29,,very like
,2,7,,dislike
,2,8,,dislike
,3,15,,soso
,1,0,,very dislike
,4,24,,like
,4,26,,like
,2,9,,dislike
,3,19,,soso
,5,30,,very like
,1,0,,very dislike
,2,10,,dislike
,1,1,,very dislike
,4,22,,like
,3,13,,soso
,4,25,,like
,3,17,,soso
,5,28,,very like
,1,2,,very dislike
,5,30,,very like
,5,29,,very like
,2,7,,dislike
,2,8,,dislike
,3,15,,soso
,1,0,,very dislike
,4,24,,like
,4,26,,like
,2,9,,dislike
,3,19,,soso
,5,30,,very like
,1,0,,very dislike
,2,10,,dislike
,1,1,,very dislike
,4,22,,like
,3,13,,soso
,4,25,,like
,3,17,,soso
,5,28,,very like
,1,2,,very dislike
,5,30,,very like
,5,29,,very like
,2,7,,dislike
,2,8,,dislike
,3,15,,soso
,1,0,,very dislike
,4,24,,like
