i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
0,1,1au9q3wiWxIwXTazIjHdfF,5vPVxHRFg8cUwRr8j7yqXf,3.6805740676752365,3.7280968564065615,3.7043354620408993
0,2,1au9q3wiWxIwXTazIjHdfF,732iQF09gPlc32IlBGoXvv,3.6145635565133993,3.696166944630936,3.6553652505721677
0,3,1au9q3wiWxIwXTazIjHdfF,0JXXNGljqupsJaZsgSbMZV,3.5727676370903683,3.6946640705710494,3.633715853830709
0,4,1au9q3wiWxIwXTazIjHdfF,43kmmgGCdJAMn5oOqOY2kd,3.361117432860232,3.6912877591940254,3.5262025960271286
0,5,1au9q3wiWxIwXTazIjHdfF,4CszVFNslX9JLvjVPTeqaW,3.3480071899194783,3.686271982035313,3.5171395859773957
0,6,1au9q3wiWxIwXTazIjHdfF,5FjhLFw4Zs9wQWIiiQRpgo,3.340095410792318,3.6739000485184894,3.506997729655404
0,7,1au9q3wiWxIwXTazIjHdfF,24Yy3FTpcOkcAbpzRKIFjw,3.296267219555792,3.6652817277430834,3.4807744736494377
0,8,1au9q3wiWxIwXTazIjHdfF,2NxIp9jbmsnaIiAExWOEo0,3.2744003723162685,3.6650577878638835,3.469729080090076
0,9,1au9q3wiWxIwXTazIjHdfF,74sb4Gib0cL3TQeCjYF8vh,3.226378624413412,3.662516227238938,3.444447425826175
0,10,1au9q3wiWxIwXTazIjHdfF,60wtmXbcX9SBhdOe0koasN,3.1757077829497216,3.6546939601305217,3.4152008715401214
0,11,1au9q3wiWxIwXTazIjHdfF,0jDzF53LecgvsnlWmmU2kX,3.1725819873400933,3.6431382901009752,3.407860138720534
0,12,1au9q3wiWxIwXTazIjHdfF,6mfUwnHd7OTYPEWmOsvJsn,3.13837567117256,3.641699115738669,3.3900373934556143
0,13,1au9q3wiWxIwXTazIjHdfF,2Ua5Nq3gQRPAJqnK8Nb8AQ,3.1313904761814646,3.6416918584653213,3.3865411673233927
0,14,1au9q3wiWxIwXTazIjHdfF,5Y4KPoGudwsnrNWtWXrcSi,3.0683555027965337,3.640668793458128,3.3545121481273306
0,15,1au9q3wiWxIwXTazIjHdfF,4T2qnyKCo9UISjERbIeJQg,3.0065732032412518,3.638014273434533,3.3222937383378923
0,16,1au9q3wiWxIwXTazIjHdfF,3sC62j1Cjeea5tAhcyGcs8,2.966946337616849,3.638014273434533,3.302480305525691
0,17,1au9q3wiWxIwXTazIjHdfF,5eP4WD4hvS9sYpQukzX3QG,2.965908848154248,3.6377625154061657,3.301835681780207
0,18,1au9q3wiWxIwXTazIjHdfF,4EWCNWgDS8707fNSZ1oaA5,2.9513466782671536,3.635716280653641,3.2935314794603974
0,19,1au9q3wiWxIwXTazIjHdfF,5E30LdtzQTGqRvNd7l6kG5,2.9366516222981565,3.635097626174709,3.285874624236433
0,20,1au9q3wiWxIwXTazIjHdfF,4JOP8ELK6AaeySe7sKe996,2.93500630227112,3.6345893029088745,3.2847978025899973
1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,3.4751235384197043,4.1454026298677285,3.8102630841437164
1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,3.4674421745772386,4.104798618943539,3.7861203967603885
1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,3.4180435779315217,4.084348992072112,3.751196285001817
1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,3.383846932439801,4.069702250704671,3.726774591572236
1,5,1ExfPZEiahqhLyajhybFeS,1LisgLkjosfSP1WxYXjqKE,3.357265102944338,4.069096992864098,3.713181047904218
1,6,1ExfPZEiahqhLyajhybFeS,6JUnflvdkYvbzsp6zWpaCZ,3.349354874585396,4.046761587057716,3.698058230821556
1,7,1ExfPZEiahqhLyajhybFeS,7EzdQnopwog0YWUoRBEowX,3.337114939098236,4.0330170567940895,3.685065997946163
1,8,1ExfPZEiahqhLyajhybFeS,2UOytD96KzsV0PyDI9uPTu,3.3190407971073204,4.029561225193602,3.674301011150461
1,9,1ExfPZEiahqhLyajhybFeS,0kOgBaBHZMxtFonNgTpFOT,3.3148022815965743,4.028817927460622,3.671810104528598
1,10,1ExfPZEiahqhLyajhybFeS,6PS9AdyOKTPwlDPfLzJ7Ow,3.3109002082112893,4.025402374959191,3.6681512915852403
1,11,1ExfPZEiahqhLyajhybFeS,3VPfc6jUrM7IvgOs9z2jqT,3.310851880259208,4.023339152488498,3.6670955163738532
1,12,1ExfPZEiahqhLyajhybFeS,5mZEmChvCko8MIEP5lLcqP,3.2891135594433334,4.017095863749809,3.653104711596571
1,13,1ExfPZEiahqhLyajhybFeS,0Tb10YKWaSfZBTVM8DjARU,3.2886051998146453,4.012581438942285,3.650593319378465
1,14,1ExfPZEiahqhLyajhybFeS,20sACDEb4IftthrYsPqDCa,3.2859765231786278,4.01229771103494,3.6491371171067835
1,15,1ExfPZEiahqhLyajhybFeS,5ut3LWywhxxSLUWOS7Rlrc,3.2724911831806534,4.007917066121964,3.6402041246513086
1,16,1ExfPZEiahqhLyajhybFeS,6kbRL1WkHrKxHsBrV3ComC,3.2719269108969535,4.006948123531895,3.639437517214424
1,17,1ExfPZEiahqhLyajhybFeS,7Ks4VCY1wFebnOdJrM13t6,3.2537798455891034,4.005762608786581,3.629771227187842
1,18,1ExfPZEiahqhLyajhybFeS,51z0HjEJ8LvJ9doL1qI14j,3.2451548409051494,4.0000682350983565,3.622611538001753
1,19,1ExfPZEiahqhLyajhybFeS,0AHJWgA2mLYz2iFVwbCeod,3.217842228805546,4.0000331337283255,3.608937681266936
1,20,1ExfPZEiahqhLyajhybFeS,2mSjj1apg5WDRw28PttSjs,3.1984578626267886,3.9985340502023465,3.5984959564145678
2,1,1fLlRApgzxWweF1JTf8yM5,5fSgXNTAh3ImNGfh9jsE9N,3.7157196521882714,4.005776900274695,3.860748276231483
2,2,1fLlRApgzxWweF1JTf8yM5,63qgyQv5K7EgD4DiwoqeQ0,3.705687033564395,3.988656098068689,3.847171565816542
2,3,1fLlRApgzxWweF1JTf8yM5,5m9uiFH9sK5wxRZdfN62n9,3.5904864129372798,3.9857480216619368,3.7881172172996083
2,4,1fLlRApgzxWweF1JTf8yM5,7MbII8jWqFiTFYU3MPYEfW,3.5564990161446715,3.9681397792500586,3.762319397697365
2,5,1fLlRApgzxWweF1JTf8yM5,3MgDUrtEiddcZ1Fz9piMhp,3.5379358422597376,3.9679003647515203,3.752918103505629
2,6,1fLlRApgzxWweF1JTf8yM5,2LE8DiTLvygUSU5VLFPbi9,3.5152865897052643,3.9633321862542337,3.739309387979749
2,7,1fLlRApgzxWweF1JTf8yM5,7oQv46c5kSygEcYZ2alEGv,3.4997444714024253,3.957859892117197,3.728802181759811
2,8,1fLlRApgzxWweF1JTf8yM5,4UVyvjXmq9DKWLfhsL3SMS,3.4834689529247487,3.937115390178141,3.710292171551445
2,9,1fLlRApgzxWweF1JTf8yM5,6wDVNn4STCopwfQ9lFO2iR,3.4710613705040534,3.932787901322084,3.701924635913069
