,i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
120,6,1,3S0OXQeoh0w6AY8WQVckRW,1EzrEOXmMH3G43AXT1y7pA,4.999985206516211,3.9902128905961294,4.4950990485561695
40,2,1,1fLlRApgzxWweF1JTf8yM5,5fSgXNTAh3ImNGfh9jsE9N,3.715719652188272,4.005776900274695,3.8607482762314826
41,2,2,1fLlRApgzxWweF1JTf8yM5,63qgyQv5K7EgD4DiwoqeQ0,3.7056870335643954,3.988656098068689,3.847171565816542
20,1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,3.4751235384197043,4.1454026298677285,3.810263084143717
42,2,3,1fLlRApgzxWweF1JTf8yM5,5m9uiFH9sK5wxRZdfN62n9,3.59048641293728,3.9857480216619368,3.788117217299608
21,1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,3.4674421745772386,4.104798618943539,3.786120396760389
43,2,4,1fLlRApgzxWweF1JTf8yM5,7MbII8jWqFiTFYU3MPYEfW,3.5564990161446715,3.9681397792500586,3.7623193976973655
44,2,5,1fLlRApgzxWweF1JTf8yM5,3MgDUrtEiddcZ1Fz9piMhp,3.5379358422597376,3.96790036475152,3.7529181035056287
22,1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,3.4180435779315217,4.084348992072112,3.7511962850018166
45,2,6,1fLlRApgzxWweF1JTf8yM5,2LE8DiTLvygUSU5VLFPbi9,3.5152865897052643,3.9633321862542337,3.7393093879797483
121,6,2,3S0OXQeoh0w6AY8WQVckRW,732iQF09gPlc32IlBGoXvv,3.529673626437916,3.9417113116010407,3.735692469019479
122,6,3,3S0OXQeoh0w6AY8WQVckRW,5KsLlcmWDoHUoJFzRw14wD,3.5281277335878745,3.935616948368741,3.7318723409783083
46,2,7,1fLlRApgzxWweF1JTf8yM5,7oQv46c5kSygEcYZ2alEGv,3.4997444714024253,3.957859892117197,3.728802181759811
23,1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,3.383846932439801,4.069702250704671,3.7267745915722363
123,6,4,3S0OXQeoh0w6AY8WQVckRW,5Y4KPoGudwsnrNWtWXrcSi,3.5151464221887347,3.9303829771689496,3.7227646996788417
24,1,5,1ExfPZEiahqhLyajhybFeS,1LisgLkjosfSP1WxYXjqKE,3.357265102944338,4.069096992864098,3.7131810479042184
47,2,8,1fLlRApgzxWweF1JTf8yM5,4UVyvjXmq9DKWLfhsL3SMS,3.4834689529247487,3.937115390178141,3.7102921715514445
0,0,1,1au9q3wiWxIwXTazIjHdfF,5vPVxHRFg8cUwRr8j7yqXf,3.680574067675237,3.7280968564065615,3.7043354620408993
48,2,9,1fLlRApgzxWweF1JTf8yM5,6wDVNn4STCopwfQ9lFO2iR,3.4710613705040534,3.932787901322084,3.701924635913069
25,1,6,1ExfPZEiahqhLyajhybFeS,6JUnflvdkYvbzsp6zWpaCZ,3.3493548745853965,4.046761587057716,3.6980582308215566
