,i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
199,9,20,4RL77hMWUq35NYnPLXBpih,3u5bTqHMM1P34ZkbwzdckV,2.9885387362950757,1.0,2.9885387362950757
198,9,19,4RL77hMWUq35NYnPLXBpih,67kXYrMTQbS7MVbXyGyxHm,2.9820178820128196,1.0,2.9820178820128196
197,9,18,4RL77hMWUq35NYnPLXBpih,51Bpjq1BdQlS3V852vJCw7,2.9817775030798632,1.0,2.9817775030798632
196,9,17,4RL77hMWUq35NYnPLXBpih,2cfmV1hKK1xlfjW3smgphE,2.9803433309509897,1.0,2.9803433309509897
195,9,16,4RL77hMWUq35NYnPLXBpih,3gDUdpPr7IxAgS31lEhHxU,2.920433218802404,1.0,2.920433218802404
194,9,15,4RL77hMWUq35NYnPLXBpih,2LTsMWvkzisfOjwlWo8KZE,2.9160023482381963,1.0,2.9160023482381963
193,9,14,4RL77hMWUq35NYnPLXBpih,4tOmFSoQA9ji8lTxAbbvq1,2.915819864221728,1.0,2.915819864221728
192,9,13,4RL77hMWUq35NYnPLXBpih,50YQFbfIVk2XMnVFKAuuib,2.9147767372828164,1.0,2.9147767372828164
191,9,12,4RL77hMWUq35NYnPLXBpih,6MJruJh9t1U7kx2C4cNAvr,2.885708598379604,1.0,2.885708598379604
190,9,11,4RL77hMWUq35NYnPLXBpih,2jVLwzrzKVhcI8UmVonVas,2.8671374100551827,1.0,2.8671374100551827
189,9,10,4RL77hMWUq35NYnPLXBpih,55do1f4mkLfM314tQDlyfw,2.8599144017068237,1.0,2.8599144017068237
188,9,9,4RL77hMWUq35NYnPLXBpih,5HDwpB4ZQznZOE9cRlrrJ7,2.8588207917612625,1.0,2.8588207917612625
187,9,8,4RL77hMWUq35NYnPLXBpih,6OMvX7ieloQ1qdSwKb5BRD,2.7304847093324938,1.0,2.7304847093324938
339,16,20,6QPKYGnAW9QozVz2dSWqRg,3mxAHm4zB7RFprLKdgKhI3,2.641801586440316,1.0,2.641801586440316
258,12,19,5E5MqaS6eOsbaJibl3YeMZ,3RWbvxdbGwXFaHQOn6mBl1,2.6274989719432926,1.0,2.6274989719432926
338,16,19,6QPKYGnAW9QozVz2dSWqRg,3LELTbDh9YCJrJIUERcj9p,2.603697162354073,1.0,2.603697162354073
337,16,18,6QPKYGnAW9QozVz2dSWqRg,7pxCM5qnV9SDnnv24rbeFR,2.5997436885202707,1.0,2.5997436885202707
336,16,17,6QPKYGnAW9QozVz2dSWqRg,6NaTklchYJQzaPdWiinSim,2.598614442177825,1.0,2.598614442177825
257,12,18,5E5MqaS6eOsbaJibl3YeMZ,65RAoLmj9ImbRNZHPSJiH0,2.5950819834435235,1.0,2.5950819834435235
256,12,17,5E5MqaS6eOsbaJibl3YeMZ,6X1DiQL7uRQwLXlWSWSN2w,2.590442362865121,1.0,2.590442362865121
