,i,j,survey_track,rec_track,rating,similarity,rankvalue
260,13,1,5uCax9HTNlzGybIStD3vDh,3EDTEI2CNZ3ApCAq45wnkC,5,0.7677550293476418,3.838775146738209
261,13,2,5uCax9HTNlzGybIStD3vDh,2vApTiwyucqeHtHV8y6EAK,5,0.7481286300293626,3.7406431501468127
262,13,3,5uCax9HTNlzGybIStD3vDh,113wHUmXRiuXq1iK2QDoMq,5,0.7368420301064762,3.6842101505323814
263,13,4,5uCax9HTNlzGybIStD3vDh,4BV9SrdzikztIBOi2dVAtL,5,0.6753342412409413,3.3766712062047066
264,13,5,5uCax9HTNlzGybIStD3vDh,6CGf2aPvKj7497cZ6JMmGT,5,0.6573783130552577,3.2868915652762887
265,13,6,5uCax9HTNlzGybIStD3vDh,3dpVSZnUl5iz4ZJJPtN5km,5,0.6560049482966783,3.280024741483392
266,13,7,5uCax9HTNlzGybIStD3vDh,7d3cx47aWj0XbW7mLXXT9u,5,0.6535719229235274,3.267859614617637
267,13,8,5uCax9HTNlzGybIStD3vDh,3leWYnzsmyiqNoRePTFvhV,5,0.6508896738831078,3.254448369415538
268,13,9,5uCax9HTNlzGybIStD3vDh,0DqKMbPXhUIXcgDOVmohiM,5,0.6444873187190907,3.2224365935954538
269,13,10,5uCax9HTNlzGybIStD3vDh,2GlsXuQV0YOOwPy3XKFIS9,5,0.6327915230751011,3.1639576153755056
270,13,11,5uCax9HTNlzGybIStD3vDh,67gzYAhpsyc0FHluUxvLbl,5,0.6210252558055607,3.105126279027804
271,13,12,5uCax9HTNlzGybIStD3vDh,5FPnjikbwlDMULCCCa6ZCJ,5,0.6204834217241597,3.1024171086207986
272,13,13,5uCax9HTNlzGybIStD3vDh,0BP2o4rGe7nkQea1JOWMbl,5,0.6191022302801363,3.095511151400681
273,13,14,5uCax9HTNlzGybIStD3vDh,2p2xmm9GmHZ31BuI6qNiAl,5,0.6154037926404012,3.0770189632020064
274,13,15,5uCax9HTNlzGybIStD3vDh,482bSlBQGKcWoLavrSxCGW,5,0.6139889314943252,3.0699446574716265
275,13,16,5uCax9HTNlzGybIStD3vDh,5oAOK7xCJD8hzp9PuxjULL,5,0.6090466675706615,3.045233337853308
276,13,17,5uCax9HTNlzGybIStD3vDh,3d7pK1CqZaj5xbIGPy85rD,5,0.6069021938113521,3.0345109690567607
240,12,1,5E5MqaS6eOsbaJibl3YeMZ,6FqfwpC2pxpRDyhOy3aVwZ,5,0.602846892532263,3.0142344626613147
277,13,18,5uCax9HTNlzGybIStD3vDh,64H3kZaBMnTErYa4n8UQai,5,0.6005791528449159,3.00289576422458
120,6,1,3S0OXQeoh0w6AY8WQVckRW,1EzrEOXmMH3G43AXT1y7pA,3,0.9999970413032422,2.9999911239097266
