,i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
260,13,1,5uCax9HTNlzGybIStD3vDh,3EDTEI2CNZ3ApCAq45wnkC,3.838775146738209,3.9613518109498633,3.900063478844036
261,13,2,5uCax9HTNlzGybIStD3vDh,2vApTiwyucqeHtHV8y6EAK,3.7406431501468127,3.878621276202385,3.809632213174599
262,13,3,5uCax9HTNlzGybIStD3vDh,113wHUmXRiuXq1iK2QDoMq,3.684210150532381,3.8578535174491853,3.771031833990783
263,13,4,5uCax9HTNlzGybIStD3vDh,4BV9SrdzikztIBOi2dVAtL,3.3766712062047066,3.855464145874036,3.6160676760393713
264,13,5,5uCax9HTNlzGybIStD3vDh,6CGf2aPvKj7497cZ6JMmGT,3.2868915652762887,3.7948223988955054,3.5408569820858977
265,13,6,5uCax9HTNlzGybIStD3vDh,3dpVSZnUl5iz4ZJJPtN5km,3.280024741483392,3.785893057480316,3.5329588994818533
266,13,7,5uCax9HTNlzGybIStD3vDh,7d3cx47aWj0XbW7mLXXT9u,3.267859614617637,3.7852242927575332,3.526541953687585
267,13,8,5uCax9HTNlzGybIStD3vDh,3leWYnzsmyiqNoRePTFvhV,3.254448369415538,3.7692995770127897,3.511873973214164
268,13,9,5uCax9HTNlzGybIStD3vDh,0DqKMbPXhUIXcgDOVmohiM,3.2224365935954538,3.76428944945907,3.4933630215272617
269,13,10,5uCax9HTNlzGybIStD3vDh,2GlsXuQV0YOOwPy3XKFIS9,3.1639576153755056,3.7641068439595897,3.464032229667548
240,12,1,5E5MqaS6eOsbaJibl3YeMZ,6FqfwpC2pxpRDyhOy3aVwZ,3.0142344626613147,3.868019801953312,3.4411271323073134
270,13,11,5uCax9HTNlzGybIStD3vDh,67gzYAhpsyc0FHluUxvLbl,3.1051262790278034,3.754537440392936,3.4298318597103696
241,12,2,5E5MqaS6eOsbaJibl3YeMZ,4RL77hMWUq35NYnPLXBpih,2.9931438213688093,3.864943443266615,3.4290436323177116
271,13,12,5uCax9HTNlzGybIStD3vDh,5FPnjikbwlDMULCCCa6ZCJ,3.1024171086207986,3.7463896764822686,3.4244033925515334
272,13,13,5uCax9HTNlzGybIStD3vDh,0BP2o4rGe7nkQea1JOWMbl,3.095511151400681,3.7376878464883614,3.4165994989445214
273,13,14,5uCax9HTNlzGybIStD3vDh,2p2xmm9GmHZ31BuI6qNiAl,3.0770189632020064,3.7369568580601538,3.4069879106310803
274,13,15,5uCax9HTNlzGybIStD3vDh,482bSlBQGKcWoLavrSxCGW,3.0699446574716265,3.7368305160480113,3.403387586759819
275,13,16,5uCax9HTNlzGybIStD3vDh,5oAOK7xCJD8hzp9PuxjULL,3.0452333378533085,3.7362900752516817,3.3907617065524955
276,13,17,5uCax9HTNlzGybIStD3vDh,3d7pK1CqZaj5xbIGPy85rD,3.0345109690567607,3.730798703400877,3.3826548362288187
277,13,18,5uCax9HTNlzGybIStD3vDh,64H3kZaBMnTErYa4n8UQai,3.0028957642245797,3.7301302406540415,3.3665130024393113
