,i,j,survey_track,rec_track,rating,similarity,rankvalue
260,13,1,5uCax9HTNlzGybIStD3vDh,6vZMx7B4hDTW4QVBx9su0U,5,0.7922703621899726,3.9613518109498633
261,13,2,5uCax9HTNlzGybIStD3vDh,5voU7QFyI9iXw3PZILBbyh,5,0.7757242552404771,3.878621276202385
240,12,1,5E5MqaS6eOsbaJibl3YeMZ,2W38WksrVoQuTWSS98EhEg,5,0.7736039603906624,3.868019801953312
241,12,2,5E5MqaS6eOsbaJibl3YeMZ,6kIe2bKcvHPINOSbjTwkCq,5,0.772988688653323,3.864943443266615
262,13,3,5uCax9HTNlzGybIStD3vDh,7hAZB6Q4sFSYF8JF5OYcJV,5,0.771570703489837,3.857853517449185
263,13,4,5uCax9HTNlzGybIStD3vDh,1UMJ5XcJPmH6ZbIRsCLY5F,5,0.771092829174807,3.8554641458740355
242,12,3,5E5MqaS6eOsbaJibl3YeMZ,7gQ7DfSSc3b8e4cHtFnDxu,5,0.7705766828209477,3.8528834141047374
243,12,4,5E5MqaS6eOsbaJibl3YeMZ,06VlO8s3p1diYRtLeiZ5X5,5,0.7695805902251711,3.8479029511258567
244,12,5,5E5MqaS6eOsbaJibl3YeMZ,2p6XlybsJTLIj6GiYSMDVQ,5,0.7644189795037594,3.822094897518797
245,12,6,5E5MqaS6eOsbaJibl3YeMZ,4klWVvddYrsMSlHEnyzCxl,5,0.7639502931567574,3.819751465783787
246,12,7,5E5MqaS6eOsbaJibl3YeMZ,2NjO4HctLdKKD2tH9ff8hx,5,0.7639502931567574,3.819751465783787
247,12,8,5E5MqaS6eOsbaJibl3YeMZ,28wtawTMXtDrO9lMuBYCah,5,0.7607645967571197,3.803822983785599
248,12,9,5E5MqaS6eOsbaJibl3YeMZ,6AzoBXNEFIIWO8lSmvXRn0,5,0.7605992886313765,3.8029964431568826
249,12,10,5E5MqaS6eOsbaJibl3YeMZ,5K7RDuh2JihPUScuOB76Sq,5,0.7604629949446851,3.8023149747234255
250,12,11,5E5MqaS6eOsbaJibl3YeMZ,4jpaTid9vSFc3fV1WOfitw,5,0.7598842366880042,3.799421183440021
264,13,5,5uCax9HTNlzGybIStD3vDh,0bBerDpgKMPMi3hvB1hv2S,5,0.7589644797791012,3.7948223988955063
251,12,12,5E5MqaS6eOsbaJibl3YeMZ,6l2oxFqwYsLT2VRy2Hx5ri,5,0.7574797011405583,3.7873985057027912
265,13,6,5uCax9HTNlzGybIStD3vDh,7ajLJTOLGdjvXuXtufLqFD,5,0.7571786114960631,3.7858930574803162
266,13,7,5uCax9HTNlzGybIStD3vDh,3gEtuTSd1K4XfSp2ZoQG44,5,0.7570448585515066,3.785224292757533
252,12,13,5E5MqaS6eOsbaJibl3YeMZ,0sFTeQMlO1jJgxyfdDrAZl,5,0.7559391201955756,3.7796956009778784
