,i,j,survey_track,rec_track,rating,similarity,rankvalue
120,6,1,3S0OXQeoh0w6AY8WQVckRW,1EzrEOXmMH3G43AXT1y7pA,5,0.9999970413032422,4.999985206516211
380,19,1,7uRznL3LcuazKpwCTpDltz,1tPgFvReGeVugnooLZDcxP,5,0.7260386816265525,3.6301934081327625
121,6,2,3S0OXQeoh0w6AY8WQVckRW,732iQF09gPlc32IlBGoXvv,5,0.7059347252875832,3.529673626437916
122,6,3,3S0OXQeoh0w6AY8WQVckRW,5KsLlcmWDoHUoJFzRw14wD,5,0.7056255467175749,3.5281277335878745
381,19,2,7uRznL3LcuazKpwCTpDltz,3EermXPNw0ZRp2u4prbnAm,5,0.7053453243227839,3.5267266216139195
123,6,4,3S0OXQeoh0w6AY8WQVckRW,5Y4KPoGudwsnrNWtWXrcSi,5,0.7030292844377469,3.5151464221887347
382,19,3,7uRznL3LcuazKpwCTpDltz,4QEVErTxEByWRe8haofjnP,5,0.6994863095062632,3.4974315475313165
383,19,4,7uRznL3LcuazKpwCTpDltz,5gPvJIm1lXEKiefB0pFmxs,5,0.6994531006328437,3.4972655031642184
20,1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,5,0.6950247076839409,3.4751235384197043
21,1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,5,0.6934884349154478,3.4674421745772386
124,6,5,3S0OXQeoh0w6AY8WQVckRW,1nBpOzhk48RP7WNT2OOw9W,5,0.69078553019803,3.45392765099015
384,19,5,7uRznL3LcuazKpwCTpDltz,5Z3u3g9VTJIIUlOguL3PCh,5,0.6867130395005852,3.4335651975029258
385,19,6,7uRznL3LcuazKpwCTpDltz,55HgyfEki0BiJVPZo2Z2qY,5,0.6850532484335272,3.4252662421676363
22,1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,5,0.6836087155863043,3.4180435779315217
125,6,6,3S0OXQeoh0w6AY8WQVckRW,60wtmXbcX9SBhdOe0koasN,5,0.680402756671423,3.402013783357116
126,6,7,3S0OXQeoh0w6AY8WQVckRW,4CszVFNslX9JLvjVPTeqaW,5,0.6780538937086686,3.3902694685433437
386,19,7,7uRznL3LcuazKpwCTpDltz,6GEa0LYWeQa8L61QNSWRh2,5,0.6769703625666836,3.384851812833418
23,1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,5,0.6767693864879603,3.383846932439801
387,19,8,7uRznL3LcuazKpwCTpDltz,3FfHZSYwGrvfTzagBedIK6,5,0.6756249743933065,3.3781248719665324
388,19,9,7uRznL3LcuazKpwCTpDltz,4L6zBUIPLIqvPacWAjjaDN,5,0.6748970014864317,3.3744850074321584
