,i,j,survey_track,rec_track,rating,similarity,rankvalue
220,11,1,5b88tNINg4Q4nrRbrCXUmg,5SrSCFXjjn76bK13engFQr,5,0.7310832584677553,3.6554162923387765
221,11,2,5b88tNINg4Q4nrRbrCXUmg,40tlsTEclnd2cBglk2QSOY,5,0.7123695803307897,3.5618479016539486
20,1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,5,0.6950247076839409,3.4751235384197043
222,11,3,5b88tNINg4Q4nrRbrCXUmg,7E5PRdbZq6m5PcKskAhPJV,5,0.6944492261575002,3.4722461307875014
21,1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,5,0.6934884349154478,3.4674421745772386
22,1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,5,0.6836087155863043,3.4180435779315217
23,1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,5,0.6767693864879603,3.383846932439801
223,11,4,5b88tNINg4Q4nrRbrCXUmg,7wFH1msd9BVQMc8SJXqEmf,5,0.6754111663018647,3.3770558315093235
24,1,5,1ExfPZEiahqhLyajhybFeS,1LisgLkjosfSP1WxYXjqKE,5,0.6714530205888676,3.357265102944338
25,1,6,1ExfPZEiahqhLyajhybFeS,6JUnflvdkYvbzsp6zWpaCZ,5,0.6698709749170791,3.349354874585396
26,1,7,1ExfPZEiahqhLyajhybFeS,7EzdQnopwog0YWUoRBEowX,5,0.6674229878196472,3.337114939098236
224,11,5,5b88tNINg4Q4nrRbrCXUmg,39LqN754wuVEI5NmRtUS8i,5,0.664967588804186,3.3248379440209304
27,1,8,1ExfPZEiahqhLyajhybFeS,2UOytD96KzsV0PyDI9uPTu,5,0.6638081594214641,3.3190407971073204
28,1,9,1ExfPZEiahqhLyajhybFeS,0kOgBaBHZMxtFonNgTpFOT,5,0.6629604563193149,3.3148022815965743
225,11,6,5b88tNINg4Q4nrRbrCXUmg,5yF33pmtR39xmPI2yHeOgW,5,0.6625066092102665,3.3125330460513327
29,1,10,1ExfPZEiahqhLyajhybFeS,6PS9AdyOKTPwlDPfLzJ7Ow,5,0.6621800416422579,3.3109002082112893
30,1,11,1ExfPZEiahqhLyajhybFeS,3VPfc6jUrM7IvgOs9z2jqT,5,0.6621703760518416,3.310851880259208
31,1,12,1ExfPZEiahqhLyajhybFeS,5mZEmChvCko8MIEP5lLcqP,5,0.6578227118886667,3.2891135594433334
32,1,13,1ExfPZEiahqhLyajhybFeS,0Tb10YKWaSfZBTVM8DjARU,5,0.6577210399629291,3.2886051998146453
33,1,14,1ExfPZEiahqhLyajhybFeS,20sACDEb4IftthrYsPqDCa,5,0.6571953046357255,3.2859765231786278
