,i,j,survey_track,rec_track,rating,similarity,rankvalue
120,6,1,3S0OXQeoh0w6AY8WQVckRW,1EzrEOXmMH3G43AXT1y7pA,5,0.9999970413032422,4.999985206516211
160,8,1,4FCb4CUbFCMNRkI6lYc1zI,6M4gZoCXQKlxZVBKu3JAcQ,5,0.7417468814068252,3.7087344070341266
220,11,1,5b88tNINg4Q4nrRbrCXUmg,5SrSCFXjjn76bK13engFQr,5,0.7310832584677553,3.6554162923387765
221,11,2,5b88tNINg4Q4nrRbrCXUmg,40tlsTEclnd2cBglk2QSOY,5,0.7123695803307897,3.5618479016539486
121,6,2,3S0OXQeoh0w6AY8WQVckRW,732iQF09gPlc32IlBGoXvv,5,0.7059347252875832,3.529673626437916
122,6,3,3S0OXQeoh0w6AY8WQVckRW,5KsLlcmWDoHUoJFzRw14wD,5,0.7056255467175749,3.5281277335878745
123,6,4,3S0OXQeoh0w6AY8WQVckRW,5Y4KPoGudwsnrNWtWXrcSi,5,0.7030292844377469,3.5151464221887347
20,1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,5,0.6950247076839409,3.4751235384197043
222,11,3,5b88tNINg4Q4nrRbrCXUmg,7E5PRdbZq6m5PcKskAhPJV,5,0.6944492261575002,3.4722461307875014
21,1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,5,0.6934884349154478,3.4674421745772386
124,6,5,3S0OXQeoh0w6AY8WQVckRW,1nBpOzhk48RP7WNT2OOw9W,5,0.69078553019803,3.45392765099015
22,1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,5,0.6836087155863043,3.4180435779315217
161,8,2,4FCb4CUbFCMNRkI6lYc1zI,2jAu8NfpemA0BMYRP0WGbx,5,0.6813089460482588,3.406544730241294
125,6,6,3S0OXQeoh0w6AY8WQVckRW,60wtmXbcX9SBhdOe0koasN,5,0.680402756671423,3.402013783357116
126,6,7,3S0OXQeoh0w6AY8WQVckRW,4CszVFNslX9JLvjVPTeqaW,5,0.6780538937086686,3.3902694685433437
162,8,3,4FCb4CUbFCMNRkI6lYc1zI,5wtQLRo9oz9ifiUuc7HWIo,5,0.6776356941402263,3.3881784707011318
23,1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,5,0.6767693864879603,3.383846932439801
223,11,4,5b88tNINg4Q4nrRbrCXUmg,7wFH1msd9BVQMc8SJXqEmf,5,0.6754111663018647,3.3770558315093235
127,6,8,3S0OXQeoh0w6AY8WQVckRW,24Yy3FTpcOkcAbpzRKIFjw,5,0.6745305798673027,3.372652899336513
24,1,5,1ExfPZEiahqhLyajhybFeS,1LisgLkjosfSP1WxYXjqKE,5,0.6714530205888676,3.357265102944338
