i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
0,1,1au9q3wiWxIwXTazIjHdfF,5vPVxHRFg8cUwRr8j7yqXf,2.208344440605142,2.318447867440992,5.119931458896161
0,2,1au9q3wiWxIwXTazIjHdfF,732iQF09gPlc32IlBGoXvv,2.16873813390804,2.2976176605841507,4.982931037649427
0,3,1au9q3wiWxIwXTazIjHdfF,0JXXNGljqupsJaZsgSbMZV,2.143660582254221,2.2883242310775183,4.905390453578075
0,4,1au9q3wiWxIwXTazIjHdfF,43kmmgGCdJAMn5oOqOY2kd,2.0166704597161385,2.263189260112152,4.564106925615
0,5,1au9q3wiWxIwXTazIjHdfF,4CszVFNslX9JLvjVPTeqaW,2.008804313951688,2.2591784344415013,4.538247385092708
0,6,1au9q3wiWxIwXTazIjHdfF,5FjhLFw4Zs9wQWIiiQRpgo,2.0040572464753907,2.2568314993828014,4.522819520412025
0,7,1au9q3wiWxIwXTazIjHdfF,24Yy3FTpcOkcAbpzRKIFjw,1.977760331733475,2.256134554161698,4.4620934242741965
0,8,1au9q3wiWxIwXTazIjHdfF,2NxIp9jbmsnaIiAExWOEo0,1.9646402233897609,2.254681088694607,4.429637157765642
0,9,1au9q3wiWxIwXTazIjHdfF,74sb4Gib0cL3TQeCjYF8vh,1.9358271746480469,2.252113888855496,4.3597032664487605
0,10,1au9q3wiWxIwXTazIjHdfF,60wtmXbcX9SBhdOe0koasN,1.9054246697698332,2.2502540582425232,4.287689595824987
0,11,1au9q3wiWxIwXTazIjHdfF,0jDzF53LecgvsnlWmmU2kX,1.903549192404056,2.2481662748259086,4.279495096834893
0,12,1au9q3wiWxIwXTazIjHdfF,6mfUwnHd7OTYPEWmOsvJsn,1.883025402703536,2.247998086496203,4.233037502101291
0,13,1au9q3wiWxIwXTazIjHdfF,2Ua5Nq3gQRPAJqnK8Nb8AQ,1.8788342857088793,2.2445587631063404,4.217153960412507
0,14,1au9q3wiWxIwXTazIjHdfF,5Y4KPoGudwsnrNWtWXrcSi,1.8410133016779209,2.241076928573768,4.125852435587807
0,15,1au9q3wiWxIwXTazIjHdfF,4T2qnyKCo9UISjERbIeJQg,1.8039439219447504,2.240380065199436,4.041520001462707
0,16,1au9q3wiWxIwXTazIjHdfF,3sC62j1Cjeea5tAhcyGcs8,1.7801678025701095,2.2385226276259944,3.984945907024434
0,17,1au9q3wiWxIwXTazIjHdfF,5eP4WD4hvS9sYpQukzX3QG,1.7795453088925486,2.2357954494383088,3.9786993036912497
0,18,1au9q3wiWxIwXTazIjHdfF,4EWCNWgDS8707fNSZ1oaA5,1.7708080069602925,2.2331217992102235,3.9544299625590384
0,19,1au9q3wiWxIwXTazIjHdfF,5E30LdtzQTGqRvNd7l6kG5,1.761990973378894,2.22932906991756,3.9280576978859063
0,20,1au9q3wiWxIwXTazIjHdfF,4JOP8ELK6AaeySe7sKe996,1.7610037813626718,2.22768442159453,3.9229606901106835
1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,3.4751235384197043,4.063323205311304,14.120550114984315
1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,3.4674421745772386,4.0199320308432505,13.938881862679816
1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,3.4180435779315217,4.009598511439181,13.704982442108482
1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,3.383846932439801,4.0091033682169215,13.566192134374903
1,5,1ExfPZEiahqhLyajhybFeS,1LisgLkjosfSP1WxYXjqKE,3.357265102944338,4.00284122736096,13.438599165245835
1,6,1ExfPZEiahqhLyajhybFeS,6JUnflvdkYvbzsp6zWpaCZ,3.349354874585396,3.9778177690197314,13.323123334878643
1,7,1ExfPZEiahqhLyajhybFeS,7EzdQnopwog0YWUoRBEowX,3.337114939098236,3.972441648804593,13.256494370921837
1,8,1ExfPZEiahqhLyajhybFeS,2UOytD96KzsV0PyDI9uPTu,3.3190407971073204,3.9597096186055296,13.142437768850021
1,9,1ExfPZEiahqhLyajhybFeS,0kOgBaBHZMxtFonNgTpFOT,3.3148022815965743,3.9542611878987066,13.107594007675413
1,10,1ExfPZEiahqhLyajhybFeS,6PS9AdyOKTPwlDPfLzJ7Ow,3.3109002082112893,3.9494843980147736,13.076348715714353
1,11,1ExfPZEiahqhLyajhybFeS,3VPfc6jUrM7IvgOs9z2jqT,3.310851880259208,3.9371631369567215,13.035363974880404
1,12,1ExfPZEiahqhLyajhybFeS,5mZEmChvCko8MIEP5lLcqP,3.2891135594433334,3.932884964893911,12.935705265763382
1,13,1ExfPZEiahqhLyajhybFeS,0Tb10YKWaSfZBTVM8DjARU,3.2886051998146453,3.9319632123679162,12.930674665673026
1,14,1ExfPZEiahqhLyajhybFeS,20sACDEb4IftthrYsPqDCa,3.2859765231786278,3.9273405919838655,12.905148983785436
1,15,1ExfPZEiahqhLyajhybFeS,5ut3LWywhxxSLUWOS7Rlrc,3.2724911831806534,3.925601947643917,12.846497762341519
1,16,1ExfPZEiahqhLyajhybFeS,6kbRL1WkHrKxHsBrV3ComC,3.2719269108969535,3.9195330121052923,12.8244255404563
1,17,1ExfPZEiahqhLyajhybFeS,7Ks4VCY1wFebnOdJrM13t6,3.2537798455891034,3.916632447675959,12.743859720828354
1,18,1ExfPZEiahqhLyajhybFeS,51z0HjEJ8LvJ9doL1qI14j,3.2451548409051494,3.916573000288524,12.709885831644709
1,19,1ExfPZEiahqhLyajhybFeS,0AHJWgA2mLYz2iFVwbCeod,3.217842228805546,3.9139754976299534,12.594555638783866
1,20,1ExfPZEiahqhLyajhybFeS,2mSjj1apg5WDRw28PttSjs,3.1984578626267886,3.913820999223445,12.518191547880063
2,1,1fLlRApgzxWweF1JTf8yM5,5fSgXNTAh3ImNGfh9jsE9N,0.7431439304376541,0.8090297411682181,0.6012255416927076
2,2,1fLlRApgzxWweF1JTf8yM5,63qgyQv5K7EgD4DiwoqeQ0,0.7411374067128791,0.8087467144088915,0.5993924426045673
2,3,1fLlRApgzxWweF1JTf8yM5,5m9uiFH9sK5wxRZdfN62n9,0.7180972825874561,0.8012408428317973,0.5753688719355966
2,4,1fLlRApgzxWweF1JTf8yM5,7MbII8jWqFiTFYU3MPYEfW,0.7112998032289343,0.8010089720975688,0.5697575242376116
2,5,1fLlRApgzxWweF1JTf8yM5,3MgDUrtEiddcZ1Fz9piMhp,0.7075871684519475,0.8000004904236062,0.5660700817790089
