,i,j,survey_track,rec_track,rating,similarity,rankvalue
120,6,1,00bvlMH8B6w5kDWZjNa05M,5LqZeHNc8dSazLXJfaOUUp,5,0.8142029047187154,4.071014523593576
20,1,1,00518PumkDdn560MsfLofT,5EPytk5jah5T1EqOmu1QfP,5,0.8126646410622607,4.063323205311304
320,16,1,00NtVG757yjm3hFVbuJX2Q,7HZOCMa0XEXNFklxUG5kKb,5,0.804784578509565,4.023922892547825
160,8,1,00f9VGHfQhAHMCQ2bSjg3D,6mbrbG9YLUJtmmDRR0aJBm,5,0.8042605082234988,4.021302541117493
21,1,2,00518PumkDdn560MsfLofT,4RuOaq8cJzcA3UMdZ0dQCk,5,0.8039864061686501,4.0199320308432505
321,16,2,00NtVG757yjm3hFVbuJX2Q,72EOe9jvjhUFu3Dw5lhLiV,5,0.803534997682716,4.01767498841358
22,1,3,00518PumkDdn560MsfLofT,0ty17tpqFVt7RK7SJPhGZZ,5,0.8019197022878364,4.009598511439181
23,1,4,00518PumkDdn560MsfLofT,5zEGGvSNvq69CttD8hECQu,5,0.8018206736433845,4.0091033682169215
121,6,2,00bvlMH8B6w5kDWZjNa05M,6It1WT9wp2MlP2XO1rtIIP,5,0.8010679802835641,4.0053399014178215
220,11,1,00JA27dAnIPXljobCwtS36,5em6auotB8rsJgWfpO3wND,5,0.8007555022932353,4.003777511466176
24,1,5,00518PumkDdn560MsfLofT,6I2GT0BGMwYjzcJURK9L9n,5,0.8005682454721919,4.00284122736096
322,16,3,00NtVG757yjm3hFVbuJX2Q,6L62el1OUSq0LH3p3PVgXF,5,0.798354976691109,3.9917748834555447
323,16,4,00NtVG757yjm3hFVbuJX2Q,2NkbRmygVirMQFCjSkyY7Q,5,0.7982010800839129,3.991005400419565
122,6,3,00bvlMH8B6w5kDWZjNa05M,7DSHrh5v3Zt22BfdIWppuk,5,0.796721722760716,3.98360861380358
221,11,2,00JA27dAnIPXljobCwtS36,6fwWKdZi4TQQM4EkpIrp1O,5,0.796407373686163,3.9820368684308147
123,6,4,00bvlMH8B6w5kDWZjNa05M,15baNmdl3WSqSKnT0YDG2v,5,0.7958541774534276,3.9792708872671376
25,1,6,00518PumkDdn560MsfLofT,263uQsqeNAvM20XDH5U1QX,5,0.7955635538039463,3.9778177690197314
324,16,5,00NtVG757yjm3hFVbuJX2Q,68trMAaEDPEUAijiOku96U,5,0.7946873555365338,3.9734367776826693
26,1,7,00518PumkDdn560MsfLofT,6CQnMebNgdhuAkIkEBpHUK,5,0.7944883297609187,3.972441648804593
325,16,6,00NtVG757yjm3hFVbuJX2Q,4UHnLWatT8yZosFSzkPyhx,5,0.7944184367632781,3.9720921838163914
