id,name,audio_vector,lyrics_vector
7qjbpdk0IYijcSuSYWlXO6,Jekyll and Hyde,"[ 1.58110276e-01  4.51696932e-01  1.63176879e-01  2.98078746e-01
  1.33639991e-01  1.07434906e-01  1.55306146e-01  2.31954098e-01
  2.69272029e-01  2.57514030e-01  1.00907348e-01  2.01840445e-01
  2.00310007e-01  3.10447127e-01  3.78458798e-01  1.25817046e-01
 -4.30655241e+00  1.76265984e+01 -1.62703991e+00  8.72087097e+00
  2.57950115e+00 -7.89253533e-01 -1.25443423e+00 -2.46180964e+00
  8.00711918e+00  6.62985802e+00 -7.08942056e-01  4.54184580e+00
 -1.99696505e+00 -9.97630024e+00  1.26087093e+01  2.19611716e+00
  1.24967302e-03  1.93745662e-03  6.30787423e-04 -6.03265233e-04
  2.62923017e-03 -4.26130099e-04 -3.26439337e-03  3.58054297e-03
 -1.60216266e-04  2.17445895e-03  7.79517313e-04  3.30446062e-03
 -1.24019181e-04  3.66863023e-04  9.26631129e-04  5.64548959e-04]",
1pSIQWMFbkJ5XvwgzKfeBv,November Night,"[ 2.21495241e-01  5.48943460e-01  3.09230447e-01  3.64648044e-01
  1.99201614e-01  1.64419815e-01  2.29468435e-01  3.43537122e-01
  3.39731395e-01  3.07300031e-01  1.92519590e-01  2.43465886e-01
  2.05570102e-01  3.80434841e-01  4.22294945e-01  2.20770106e-01
 -3.84606314e+00  1.66635742e+01 -1.54713750e+00  8.24343586e+00
  2.66461086e+00 -8.00154507e-01 -1.35670495e+00 -1.99699450e+00
  7.67136955e+00  6.04645157e+00 -6.90161765e-01  4.71499395e+00
 -2.10498857e+00 -9.22698593e+00  1.17960424e+01  2.02197099e+00
  2.56821437e-03  3.57016539e-03  2.05587335e-03  5.32557516e-03
 -3.35797133e-03  2.99692803e-03  5.22453854e-03 -1.89140847e-03
  2.41801066e-03  3.54041095e-03 -3.32699028e-03 -4.81267770e-04
  1.17215642e-03 -4.31600493e-03 -5.09176295e-03  3.57280761e-03]",
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,"[ 2.57719070e-01  8.09838951e-01  2.31782138e-01  5.78987718e-01
  1.90105289e-01  1.68661237e-01  2.83892155e-01  4.57962155e-01
  4.67264622e-01  5.00931740e-01  1.47926807e-01  2.63147593e-01
  2.84717977e-01  6.12229049e-01  7.08444118e-01  2.37267882e-01
 -3.94062114e+00  1.60078011e+01 -1.47051358e+00  7.59425020e+00
  2.32961798e+00 -6.75718248e-01 -1.64130139e+00 -1.69789481e+00
  7.10293388e+00  5.74461031e+00 -6.49938047e-01  4.53959942e+00
 -2.24508047e+00 -8.76574135e+00  1.16639471e+01  1.52823436e+00
 -3.42949843e-04  2.32850792e-03 -2.20455000e-03  2.97980023e-03
  3.00005359e-03 -1.15053263e-03 -1.07530804e-03  2.55627446e-04
  5.82870255e-04 -2.97698200e-04  2.35657630e-03  2.28129340e-03
 -1.90783082e-03 -4.35263683e-03  4.11898662e-03  1.75733062e-03]",
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,"[ 3.69694442e-01  1.08373332e+00  2.38327473e-01  6.62988603e-01
  2.30713606e-01  1.63433388e-01  3.32465947e-01  4.74923581e-01
  6.01611257e-01  5.57216346e-01  2.24349096e-01  3.53017479e-01
  3.66664797e-01  7.58687913e-01  8.43279779e-01  2.95508236e-01
 -4.00224781e+00  1.57624645e+01 -1.24791098e+00  7.62727642e+00
  2.36848044e+00 -6.06761277e-01 -1.55746377e+00 -1.63746977e+00
  7.12747622e+00  5.73372984e+00 -6.73726976e-01  4.46901226e+00
 -2.21446204e+00 -8.61413860e+00  1.14466066e+01  1.47009838e+00
  1.56661843e-03 -1.90594257e-03 -4.97173677e-04 -6.43438763e-04
 -7.99612867e-04 -2.21435116e-03  1.12794066e-03 -2.75321661e-03
 -2.36630745e-03 -9.37865331e-04  1.42309472e-03 -5.07981349e-04
  3.99916333e-03  2.44667693e-03  7.45259798e-04 -1.29952562e-03]",
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,"[ 2.55261093e-01  8.46737325e-01  2.75706738e-01  5.68098903e-01
  2.41689235e-01  2.13568076e-01  3.39601904e-01  3.75548184e-01
  4.40503299e-01  4.20550287e-01  1.94969341e-01  3.56644958e-01
  2.84630001e-01  5.84585488e-01  6.50563955e-01  2.80343443e-01
 -3.59164906e+00  1.55583105e+01 -1.59217930e+00  7.61619425e+00
  2.19964528e+00 -6.61909640e-01 -1.63078821e+00 -1.74521828e+00
  6.91216469e+00  5.76959848e+00 -6.66176796e-01  4.55340195e+00
 -1.87713099e+00 -8.56352806e+00  1.13635406e+01  1.65662408e+00
 -4.12380593e-04 -1.30126619e-03 -3.06158494e-04 -5.48306693e-04
  1.03995433e-03  6.49089615e-04 -1.87592463e-03 -1.54139343e-03
 -2.63150839e-03 -2.65775888e-03 -6.68089805e-04  8.20968396e-04
 -4.84671348e-04  8.79295871e-05  6.61110267e-04  6.80109629e-04]",
1fLlRApgzxWweF1JTf8yM5,Given Up,"[ 2.24095091e-01  4.68283385e-01  2.22282395e-01  2.80179739e-01
  1.97505280e-01  1.31200045e-01  2.33278409e-01  2.99979180e-01
  2.77080804e-01  2.66746610e-01  1.06159732e-01  2.42585421e-01
  2.53938109e-01  3.03276092e-01  3.85715812e-01  1.22764029e-01
 -4.12977982e+00  1.75356293e+01 -1.63709199e+00  8.76204872e+00
  2.64969802e+00 -8.30537379e-01 -1.09482539e+00 -2.49453855e+00
  8.08871937e+00  6.68199539e+00 -7.88359582e-01  4.52569389e+00
 -1.80224621e+00 -9.95981598e+00  1.25622511e+01  2.20008636e+00
  6.82770696e-04  3.67761677e-03 -6.07424312e-04  5.94089378e-03
  3.04579404e-03  2.52943671e-03 -3.15213815e-04 -2.25235280e-03
 -9.01535026e-04  4.96654225e-03 -4.84984782e-04  1.91598519e-03
  5.83453566e-04 -4.95307466e-03  1.54952718e-03  7.89792364e-04]",
4FCb4CUbFCMNRkI6lYc1zI,Hero,"[ 2.22126454e-01  7.20624208e-01  2.30823398e-01  5.10285258e-01
  1.66708872e-01  1.23534761e-01  2.74539173e-01  3.14732105e-01
  3.98765892e-01  3.96849483e-01  1.46320879e-01  2.78562486e-01
  2.88346618e-01  5.13526917e-01  6.49294615e-01  2.07136735e-01
 -3.77451682e+00  1.58867292e+01 -1.51264811e+00  7.64681673e+00
  2.37983418e+00 -6.54428482e-01 -1.47698760e+00 -1.77594852e+00
  7.12165308e+00  5.74946165e+00 -7.27006733e-01  4.49818945e+00
 -2.14136457e+00 -8.69446087e+00  1.15440130e+01  1.71650684e+00
  2.08560473e-03  1.58696908e-03 -1.27353818e-03  2.10124407e-03
 -4.64815615e-04  2.38077699e-04  4.12039077e-04 -9.69463943e-04
 -1.23980412e-03 -2.80367105e-03  1.22455259e-03 -4.72965403e-06
  8.37560648e-04 -2.14720384e-03 -6.11574222e-04  5.63381574e-04]",
3wF0zyjQ6FKLK4vFxcMojP,Vain,"[ 5.24831474e-01  1.63195264e+00  3.04217905e-01  9.90013361e-01
  3.23449016e-01  1.53830096e-01  3.73592675e-01  4.29754585e-01
  8.61394703e-01  6.92302763e-01  2.05932423e-01  5.19313633e-01
  4.18151736e-01  1.05068612e+00  1.24764824e+00  3.93214434e-01
 -3.50150394e+00  1.48247328e+01 -1.33096898e+00  7.10023642e+00
  2.33396840e+00 -6.82302594e-01 -1.50565040e+00 -1.46786547e+00
  6.55294847e+00  5.20945740e+00 -6.11026347e-01  4.27905703e+00
 -1.84266007e+00 -7.97649479e+00  1.05466528e+01  1.62688851e+00
 -3.33774625e-03  5.87401023e-03 -2.79532914e-03  3.98910504e-03
 -1.81706097e-03 -8.05205037e-04 -1.27443120e-03 -2.07690810e-03
  3.93704370e-03 -1.81120940e-04  6.74188010e-04 -2.88581746e-04
  6.00724250e-04 -2.55747789e-03  6.33878891e-03  3.24330715e-04]",
1ExfPZEiahqhLyajhybFeS,The Lazy Song,"[ 2.72909969e-01  8.44524920e-01  2.53688097e-01  5.58586359e-01
  2.17963830e-01  2.00326830e-01  2.88562447e-01  4.53343064e-01
  4.65566248e-01  4.81249511e-01  1.84667230e-01  3.04114878e-01
  2.94961929e-01  6.00682318e-01  6.70052946e-01  2.50091761e-01
 -4.17759943e+00  1.66712704e+01 -1.41292310e+00  8.13063622e+00
  2.53767514e+00 -6.76522553e-01 -1.45192397e+00 -2.08288431e+00
  7.54889202e+00  6.23102427e+00 -7.65079916e-01  4.56400061e+00
 -2.15626240e+00 -9.24994469e+00  1.20618763e+01  1.67940521e+00
 -2.78050472e-03  1.15609271e-02 -3.45371702e-03  6.09040566e-03
  1.14825648e-03  1.78773657e-04 -5.70897873e-04 -2.64127705e-03
  5.51578224e-03  3.69736476e-03  1.08037169e-03  6.75242681e-04
 -4.01798706e-03 -1.01963934e-02  1.37888611e-02  1.19855465e-03]",
1au9q3wiWxIwXTazIjHdfF,Give Me Something,"[ 3.43441457e-01  1.02611721e+00  2.09786192e-01  6.06503367e-01
  2.22742036e-01  1.16406851e-01  2.76034653e-01  3.46453249e-01
  5.21266818e-01  4.86962408e-01  1.28210500e-01  3.04519743e-01
  2.81055212e-01  6.99496746e-01  7.61422336e-01  3.03375393e-01
 -3.97344971e+00  1.58179035e+01 -1.33673811e+00  7.41621876e+00
  2.52225089e+00 -5.34873843e-01 -1.62109089e+00 -1.55479252e+00
  7.10286522e+00  5.64176559e+00 -6.78770304e-01  4.47849512e+00
 -2.13700128e+00 -8.57626915e+00  1.13332434e+01  1.57084835e+00
  5.98800488e-04 -2.75337390e-03  1.56376606e-04 -1.36418322e-03
 -1.30447338e-03 -8.16072727e-04 -1.38844728e-03  2.20897985e-03
  5.11937671e-05 -4.44531645e-03  3.68325756e-04 -5.48311278e-04
 -1.32208439e-03  1.67613661e-03  7.22383841e-04 -2.90183430e-04]",
