,i,j,survey_track,rec_track,rating,similarity,rankvalue
199,9,20,4RL77hMWUq35NYnPLXBpih,3u5bTqHMM1P34ZkbwzdckV,4,0.7471346840737687,2.9885387362950753
198,9,19,4RL77hMWUq35NYnPLXBpih,67kXYrMTQbS7MVbXyGyxHm,4,0.7455044705032049,2.98201788201282
197,9,18,4RL77hMWUq35NYnPLXBpih,51Bpjq1BdQlS3V852vJCw7,4,0.7454443757699657,2.9817775030798632
196,9,17,4RL77hMWUq35NYnPLXBpih,2cfmV1hKK1xlfjW3smgphE,4,0.7450858327377474,2.9803433309509897
195,9,16,4RL77hMWUq35NYnPLXBpih,3gDUdpPr7IxAgS31lEhHxU,4,0.730108304700601,2.920433218802404
194,9,15,4RL77hMWUq35NYnPLXBpih,2LTsMWvkzisfOjwlWo8KZE,4,0.7290005870595491,2.9160023482381963
193,9,14,4RL77hMWUq35NYnPLXBpih,4tOmFSoQA9ji8lTxAbbvq1,4,0.728954966055432,2.915819864221728
192,9,13,4RL77hMWUq35NYnPLXBpih,50YQFbfIVk2XMnVFKAuuib,4,0.7286941843207041,2.9147767372828164
191,9,12,4RL77hMWUq35NYnPLXBpih,6MJruJh9t1U7kx2C4cNAvr,4,0.7214271495949008,2.885708598379604
190,9,11,4RL77hMWUq35NYnPLXBpih,2jVLwzrzKVhcI8UmVonVas,4,0.7167843525137957,2.8671374100551827
189,9,10,4RL77hMWUq35NYnPLXBpih,55do1f4mkLfM314tQDlyfw,4,0.7149786004267059,2.859914401706824
188,9,9,4RL77hMWUq35NYnPLXBpih,5HDwpB4ZQznZOE9cRlrrJ7,4,0.7147051979403156,2.8588207917612625
187,9,8,4RL77hMWUq35NYnPLXBpih,6OMvX7ieloQ1qdSwKb5BRD,4,0.6826211773331234,2.7304847093324938
339,16,20,6QPKYGnAW9QozVz2dSWqRg,3mxAHm4zB7RFprLKdgKhI3,5,0.5283603172880632,2.641801586440316
258,12,19,5E5MqaS6eOsbaJibl3YeMZ,3RWbvxdbGwXFaHQOn6mBl1,4,0.6568747429858232,2.6274989719432926
338,16,19,6QPKYGnAW9QozVz2dSWqRg,3LELTbDh9YCJrJIUERcj9p,5,0.5207394324708146,2.6036971623540732
337,16,18,6QPKYGnAW9QozVz2dSWqRg,7pxCM5qnV9SDnnv24rbeFR,5,0.5199487377040541,2.5997436885202707
336,16,17,6QPKYGnAW9QozVz2dSWqRg,6NaTklchYJQzaPdWiinSim,5,0.519722888435565,2.5986144421778254
257,12,18,5E5MqaS6eOsbaJibl3YeMZ,65RAoLmj9ImbRNZHPSJiH0,4,0.6487704958608809,2.5950819834435235
256,12,17,5E5MqaS6eOsbaJibl3YeMZ,6X1DiQL7uRQwLXlWSWSN2w,4,0.6476105907162802,2.590442362865121
