,i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
339,16,20,6QPKYGnAW9QozVz2dSWqRg,3mxAHm4zB7RFprLKdgKhI3,2.641801586440316,1.0,2.641801586440316
259,12,20,5E5MqaS6eOsbaJibl3YeMZ,3u5bTqHMM1P34ZkbwzdckV,2.628990240720195,1.0,2.628990240720195
258,12,19,5E5MqaS6eOsbaJibl3YeMZ,3RWbvxdbGwXFaHQOn6mBl1,2.6274989719432926,1.0,2.6274989719432926
338,16,19,6QPKYGnAW9QozVz2dSWqRg,3LELTbDh9YCJrJIUERcj9p,2.603697162354073,1.0,2.603697162354073
337,16,18,6QPKYGnAW9QozVz2dSWqRg,7pxCM5qnV9SDnnv24rbeFR,2.5997436885202707,1.0,2.5997436885202707
336,16,17,6QPKYGnAW9QozVz2dSWqRg,6NaTklchYJQzaPdWiinSim,2.598614442177825,1.0,2.598614442177825
257,12,18,5E5MqaS6eOsbaJibl3YeMZ,65RAoLmj9ImbRNZHPSJiH0,2.5950819834435235,1.0,2.5950819834435235
256,12,17,5E5MqaS6eOsbaJibl3YeMZ,6X1DiQL7uRQwLXlWSWSN2w,2.590442362865121,1.0,2.590442362865121
255,12,16,5E5MqaS6eOsbaJibl3YeMZ,4tOmFSoQA9ji8lTxAbbvq1,2.575327437878121,1.0,2.575327437878121
335,16,16,6QPKYGnAW9QozVz2dSWqRg,6JTzWoKg61bEaUg9tYO6WN,2.5745955949132777,1.0,2.5745955949132777
254,12,15,5E5MqaS6eOsbaJibl3YeMZ,2jVLwzrzKVhcI8UmVonVas,2.567403290847448,1.0,2.567403290847448
253,12,14,5E5MqaS6eOsbaJibl3YeMZ,6koowTu9pFHPEcZnACLKbK,2.5597671475781065,1.0,2.5597671475781065
334,16,15,6QPKYGnAW9QozVz2dSWqRg,3lLyNLrIesR0k07gRIMQfm,2.5507047576488246,1.0,2.5507047576488246
252,12,13,5E5MqaS6eOsbaJibl3YeMZ,1wu5Nyfu06lLsl5mSyOo0p,2.5461441456526623,1.0,2.5461441456526623
251,12,12,5E5MqaS6eOsbaJibl3YeMZ,6OMvX7ieloQ1qdSwKb5BRD,2.5382415671777983,1.0,2.5382415671777983
250,12,11,5E5MqaS6eOsbaJibl3YeMZ,26nXtAXEGkdPfBlrFj2rDg,2.533852869395526,1.0,2.533852869395526
249,12,10,5E5MqaS6eOsbaJibl3YeMZ,6MJruJh9t1U7kx2C4cNAvr,2.530160027977101,1.0,2.530160027977101
248,12,9,5E5MqaS6eOsbaJibl3YeMZ,6PBVYvYHKmqlkTgrMcZu19,2.510548981117186,1.0,2.510548981117186
333,16,14,6QPKYGnAW9QozVz2dSWqRg,178jAWwuJ9M3DXImTdaLOL,2.506767573982707,1.0,2.506767573982707
332,16,13,6QPKYGnAW9QozVz2dSWqRg,6pqNafE84udPaoFLGffd7E,2.497699856082694,1.0,2.497699856082694
