id,a_top1,a_top2,a_top3,a_top4,a_top5,a_top6,a_top7,a_top8,a_top9,a_top10,a_top11,a_top12,a_top13,a_top14,a_top15,a_top16,a_top17,a_top18,a_top19,a_top20
1au9q3wiWxIwXTazIjHdfF,"['5vPVxHRFg8cUwRr8j7yqXf', 0.2638851864649528]","['732iQF09gPlc32IlBGoXvv', 0.27708728869732013]","['0JXXNGljqupsJaZsgSbMZV', 0.28544647258192635]","['43kmmgGCdJAMn5oOqOY2kd', 0.3277765134279538]","['4CszVFNslX9JLvjVPTeqaW', 0.3303985620161042]","['5FjhLFw4Zs9wQWIiiQRpgo', 0.33198091784153627]","['24Yy3FTpcOkcAbpzRKIFjw', 0.3407465560888417]","['2NxIp9jbmsnaIiAExWOEo0', 0.34511992553674625]","['74sb4Gib0cL3TQeCjYF8vh', 0.3547242751173176]","['60wtmXbcX9SBhdOe0koasN', 0.3648584434100557]","['0jDzF53LecgvsnlWmmU2kX', 0.36548360253198137]","['6mfUwnHd7OTYPEWmOsvJsn', 0.372324865765488]","['2Ua5Nq3gQRPAJqnK8Nb8AQ', 0.37372190476370704]","['5Y4KPoGudwsnrNWtWXrcSi', 0.38632889944069315]","['4T2qnyKCo9UISjERbIeJQg', 0.39868535935174976]","['3sC62j1Cjeea5tAhcyGcs8', 0.40661073247663015]","['5eP4WD4hvS9sYpQukzX3QG', 0.40681823036915044]","['4EWCNWgDS8707fNSZ1oaA5', 0.4097306643465692]","['5E30LdtzQTGqRvNd7l6kG5', 0.41266967554036865]","['4JOP8ELK6AaeySe7sKe996', 0.41299873954577604]"
1ExfPZEiahqhLyajhybFeS,"['4piX3WwKpTInJ4KNiAqTI6', 0.3049752923160592]","['6HojDglE8E3EA7SbTLE8VF', 0.30651156508455224]","['2SEXsl9UShqKSc3inzSpIX', 0.3163912844136957]","['5U0tKveVl4lw0DaWvb1Tex', 0.3232306135120398]","['1LisgLkjosfSP1WxYXjqKE', 0.3285469794111324]","['6JUnflvdkYvbzsp6zWpaCZ', 0.33012902508292086]","['7EzdQnopwog0YWUoRBEowX', 0.3325770121803528]","['2UOytD96KzsV0PyDI9uPTu', 0.3361918405785359]","['0kOgBaBHZMxtFonNgTpFOT', 0.3370395436806851]","['6PS9AdyOKTPwlDPfLzJ7Ow', 0.3378199583577421]","['3VPfc6jUrM7IvgOs9z2jqT', 0.3378296239481584]","['5mZEmChvCko8MIEP5lLcqP', 0.3421772881113333]","['0Tb10YKWaSfZBTVM8DjARU', 0.3422789600370709]","['20sACDEb4IftthrYsPqDCa', 0.34280469536427444]","['5ut3LWywhxxSLUWOS7Rlrc', 0.34550176336386923]","['6kbRL1WkHrKxHsBrV3ComC', 0.3456146178206092]","['7Ks4VCY1wFebnOdJrM13t6', 0.3492440308821794]","['51z0HjEJ8LvJ9doL1qI14j', 0.3509690318189701]","['0AHJWgA2mLYz2iFVwbCeod', 0.3564315542388908]","['2mSjj1apg5WDRw28PttSjs', 0.36030842747464226]"
1fLlRApgzxWweF1JTf8yM5,"['5fSgXNTAh3ImNGfh9jsE9N', 0.25685606956234586]","['63qgyQv5K7EgD4DiwoqeQ0', 0.25886259328712097]","['5m9uiFH9sK5wxRZdfN62n9', 0.28190271741254386]","['7MbII8jWqFiTFYU3MPYEfW', 0.28870019677106573]","['3MgDUrtEiddcZ1Fz9piMhp', 0.29241283154805253]","['2LE8DiTLvygUSU5VLFPbi9', 0.2969426820589471]","['7oQv46c5kSygEcYZ2alEGv', 0.30005110571951493]","['4UVyvjXmq9DKWLfhsL3SMS', 0.3033062094150502]","['6wDVNn4STCopwfQ9lFO2iR', 0.30578772589918934]","['1XSJ3mgsnkT9DnhbXl29uf', 0.30904193890783394]","['5Gfrwqe12AAmQjCVuSBktn', 0.31221147015674683]","['7w21gSRNmF17ikI4ovMe6C', 0.3181820146747112]","['7BxQJTzBjhfpx8PVT1qASg', 0.3225752144824008]","['6QHX9Nk5NOTsxrCb7HaA7D', 0.3323864371140028]","['6mCjOSXkABONouTVa6PQOy', 0.3339089000281893]","['16fyms9ErePYphYe6baPVF', 0.33903732822779]","['79oQb66jALYYKX1hn4qs4p', 0.3390650007646158]","['6cAx41vDIMSjtXLZEowJLa', 0.34029328535022835]","['55cz2QhGxrZoiUtddTi0w2', 0.342835415886087]","['5zV1ayoFVbabKpQq0Lqzrg', 0.3433382322431673]"
1pSIQWMFbkJ5XvwgzKfeBv,"['0X5REyeiMlUl1YJqsjXW3w', 0.3958143017670274]","['0mDC5smPSHZGEu3h6WBNeV', 0.3981839085743736]","['6IEc8l3p6Z5OBLMFg6Z2V1', 0.4021825678466093]","['6sMtVUI236JPomVwbp0fSB', 0.40874823348799605]","['1yHT3W5EKcrSuh2MZ89Aor', 0.4168371575387451]","['3y34Ro7gOFpYEv41RbBLHt', 0.42757617019484406]","['5vTAFtqBBWKQjmzhMcdTiy', 0.4364612854698402]","['1Hle8Xb0v0CE4xJR8Ezr89', 0.43938819110549515]","['3bJ2sQrc2PPHkhAOu2Lx3S', 0.4444820234024676]","['1iUcKIj6Bto9W6Ifa13SaY', 0.44621480498712246]","['3GnPPHzsyJcuIkXNMFg8CV', 0.4464895071722125]","['1SH9WY0eACGHxtrmW3QAn1', 0.4465792204550289]","['07KoMN1XZRWx6kmHPwFGxo', 0.44685746097574663]","['6mvUEZjOYQ5QbXlWv9KQ4Y', 0.4480047295197614]","['64Tp4KN5U5rtqrasP5a7FH', 0.44953064527107695]","['6RQy8j94xIPJX8IC1QLF8j', 0.4532991892877149]","['41sjzdjScVwnxnxADElts6', 0.45482960194227623]","['7HPrIdcw3ZbqOVCZnr0zIs', 0.4585848597584562]","['4nym6VwN5oH6YXYwIiNgJA', 0.4594927856005218]","['2G6HrgZpsMhPPv0dS6wYZ8', 0.4595473150499671]"
1UMJ5XcJPmH6ZbIRsCLY5F,"['6IeoP4qHTVbygPaIGNLNQt', 0.3851998402466556]","['1FV0GhHQdhZsWiuBKGMplw', 0.4181616447362813]","['3x4bEEBmXEZUtFiTpXAygx', 0.43990435723058485]","['14Zkkd1eYP3pcNPwLAZikf', 0.4583009859969308]","['75Ec5QN7QaEPWDy6Rd2xE1', 0.4762369314151098]","['4B208pKDVh0ScvZpAdkH8X', 0.48834567633720477]","['6MZSOZ9YGuKilDeGNnqjGy', 0.49729878458309773]","['2gxqozTaq2NYylvS8jd57G', 0.5047670088077278]","['3y79WWh3FyK0bW7xEGNmGa', 0.5053887308624501]","['2e2ODYnQs9b5WHzAfx7fmz', 0.5059109185556085]","['3pWgMi7462TIWqnNTAqpNc', 0.5212502923399494]","['72gqIretiKRMTWBbWwWVXR', 0.5223007865403414]","['5cepAtqnEQ6yVG6088zMMu', 0.5233637747139741]","['41tlnwdeEb2S5ufTu7FQm9', 0.5294749528806972]","['0wzPHTgOtFIDhk2rD3Au4x', 0.5297637141730153]","['1uqukhK8JUrjBnbxB9KlS2', 0.529903896708363]","['15stquSTzv5rORSpjhq9ve', 0.5335137984813468]","['7MzPaOW9KfjLF9vXiZtdnj', 0.5339767189223544]","['4FMxywpaDTmFPhEYarTFOg', 0.5402995711811557]","['3z3AsD4yljn1qwvSOvRRMh', 0.5429156111317263]"
2W2eaLVKv9NObcLXlYRZZo,"['6WNB8NvbbhCPhk9Qlr31VX', 0.3079461344999737]","['0ZORsRVhyIg7XlzgN6dVcV', 0.3430695914425042]","['5qAaYMahTumxvF9LuelRtc', 0.343954291013879]","['4wh0E9OwMCxcaIKTg0Mts9', 0.34543350516523325]","['19mR38avjtoRssdk70QlJM', 0.3495164326645278]","['237RDWxnOvuZ79af6lSZi4', 0.362067284023373]","['1FaRPrUhpdI0yRITecTbLc', 0.3634926014443251]","['4tj6uekOEtNOqJJ8BpBP74', 0.36586702294718687]","['4olNBNSYB0jknut4nO3GvY', 0.36717692420909254]","['6G7URf5rGe6MvNoiTtNEP7', 0.3720302219053205]","['2Du2E8WxSbBNEU0jd9sCCO', 0.3732327407969165]","['4zVqWUET8JgoDHwmWrYP45', 0.3770233753856675]","['5talhpNE8YKyjR2NyBnDqM', 0.37733806986725144]","['6WEsbAAKeg9LjqmYkdFXtc', 0.3802343785072841]","['7pDHM9huHHpRc9CrxZElsW', 0.38196271840246887]","['2QXBh408EhthzKXKO8Lbqk', 0.3834767429034912]","['0cGM5N57Jm8RxnWqrf8VWE', 0.38452324745595007]","['5noQJkpVfHt2D4df2GXieV', 0.3862157647439989]","['7ubIeT81utrNEkEy9Iaeqo', 0.39028405322165866]","['5uARhdcnGgFIC2uijiEhXn', 0.3909847136995548]"
3S0OXQeoh0w6AY8WQVckRW,"['1EzrEOXmMH3G43AXT1y7pA', 2.9586967577912466e-06]","['732iQF09gPlc32IlBGoXvv', 0.2940652747124169]","['5KsLlcmWDoHUoJFzRw14wD', 0.29437445328242506]","['5Y4KPoGudwsnrNWtWXrcSi', 0.2969707155622531]","['1nBpOzhk48RP7WNT2OOw9W', 0.30921446980197]","['60wtmXbcX9SBhdOe0koasN', 0.31959724332857703]","['4CszVFNslX9JLvjVPTeqaW', 0.3219461062913313]","['24Yy3FTpcOkcAbpzRKIFjw', 0.32546942013269725]","['6i7ZCerJICjhpbisBz1Lw4', 0.368582305081718]","['37AgQTDcQzUYPGVmwvAjdC', 0.37214521182393623]","['6b6liLOZhXdOfFBFVN5KNK', 0.372215329617545]","['2PrZtwwm4jY8mtGLoEmvGY', 0.3762754150456017]","['5jyyPsIGM2yqkZN9R3TmvN', 0.37895905322405243]","['5J6OJUHDoj76LWL1N7j3dj', 0.38607621396799235]","['2MMaZgDipxi3ijWeGgVgAR', 0.3866255101667997]","['1LM6t24SjQr2bJHqeGIR4U', 0.39018513696244805]","['5C8tnqzEmG6g6axX4KoKYO', 0.39098966819017933]","['5P1vipFCNi7SiOEVGqCc3s', 0.39235903934796973]","['41CgzGD7xlgnJe14R4cqkL', 0.393944413193429]","['1wwCsgg0Uv6hsSUEL2jFwL', 0.3951624293058534]"
3wF0zyjQ6FKLK4vFxcMojP,"['4tOmFSoQA9ji8lTxAbbvq1', 0.4129609932571231]","['51Bpjq1BdQlS3V852vJCw7', 0.41989575932043505]","['6tsOcBnaKgzK22yEiqRh8P', 0.42519048319574226]","['2LTsMWvkzisfOjwlWo8KZE', 0.42888697738193915]","['7bdYxWPCs46dQ0XLwySOyv', 0.43203455316251904]","['6xgqL1OGWgeWkVDmUDv3fR', 0.4579889577839989]","['5dHMrmmUy4CoarORtGkNCh', 0.46508649150114717]","['3z3AsD4yljn1qwvSOvRRMh', 0.46854717419769354]","['7jYeTVaSlUNwpSoEEzMLXf', 0.4689585415072582]","['3vzT5SNVL3vaDeAgnG9QhF', 0.4790961047425701]","['3pWgMi7462TIWqnNTAqpNc', 0.48044267314592165]","['3lFWMQjk403WVbstfxtscV', 0.4916111567046535]","['7hMKblQ8PFmACSulYElau6', 0.4970586693274329]","['7eCKCUTLW3SFgv8wEE3PaZ', 0.49837078310552124]","['0u2lumqwdITUiJFZuygCYL', 0.5365172515352434]","['5PtoBDWcwPahPDflHJFV6J', 0.5394877365627813]","['6IeoP4qHTVbygPaIGNLNQt', 0.551817595196449]","['3RWbvxdbGwXFaHQOn6mBl1', 0.5542081377459038]","['6r7ayTQwslXYqolO4Zvi6p', 0.5639273138397057]","['1mrPG8snf4maJMoM4Ec8Ag', 0.5651152672908043]"
4FCb4CUbFCMNRkI6lYc1zI,"['6M4gZoCXQKlxZVBKu3JAcQ', 0.2582531185931748]","['2jAu8NfpemA0BMYRP0WGbx', 0.31869105395174124]","['5wtQLRo9oz9ifiUuc7HWIo', 0.3223643058597737]","['1RywwImkBFUEVcRTBmw7vL', 0.35508197071679887]","['5JxJdTFH4pw6Ajn2oN31NT', 0.3614318330921326]","['7E0Vsj8rinTQl50BAsFewF', 0.3621507315206905]","['0NnigMS2Kr2eHTVI7QeMlS', 0.3648360851431601]","['7bhGiUNiNSbtzdrPNtCsmV', 0.36536716816662906]","['3mxAHm4zB7RFprLKdgKhI3', 0.3665278735641894]","['5x28HAIx9KwasQ7vojHvZ0', 0.3691595121734933]","['3dpVSZnUl5iz4ZJJPtN5km', 0.3691833195506101]","['4jrqZ6Ow3eJkabXqwipN0B', 0.3719250565747881]","['3HvxAXWaHkbbAzEhJiUDz4', 0.3719958333242302]","['2xdlISXeaGfWKE8eBEFyUh', 0.3795126759486472]","['3dQtowkCSVxACYPkd2waXq', 0.38200572972280666]","['4xFfDqhvO8Xkl60MmlvzaC', 0.3841296264728665]","['1lGwSKgdYCWXU2LH0P2SZ4', 0.3857599804007337]","['2vApTiwyucqeHtHV8y6EAK', 0.38659395575110717]","['3WobFokfH5oz1u1o28dVQm', 0.388197895900438]","['0pxNyJJiL2zZZ5GgJ4JhsQ', 0.3898844168458661]"
4RL77hMWUq35NYnPLXBpih,"['5E5MqaS6eOsbaJibl3YeMZ', 0.4013712357262381]","['0aSgzAUObtmSSwh1yO6shv', 0.4456650410729227]","['6FqfwpC2pxpRDyhOy3aVwZ', 0.48550484654534987]","['0ZxutHFiw5KFv6mNpIbqLf', 0.5294112641778173]","['3jTAdOh5XLVoSHykKtFc5t', 0.5991577367656747]","['6PBVYvYHKmqlkTgrMcZu19', 0.6050637433496396]","['41TN32U3P4hw4dN0dH6LOo', 0.6082590313943909]","['6OMvX7ieloQ1qdSwKb5BRD', 0.6826211773331234]","['5HDwpB4ZQznZOE9cRlrrJ7', 0.7147051979403156]","['55do1f4mkLfM314tQDlyfw', 0.7149786004267059]","['2jVLwzrzKVhcI8UmVonVas', 0.7167843525137957]","['6MJruJh9t1U7kx2C4cNAvr', 0.7214271495949008]","['50YQFbfIVk2XMnVFKAuuib', 0.7286941843207041]","['4tOmFSoQA9ji8lTxAbbvq1', 0.728954966055432]","['2LTsMWvkzisfOjwlWo8KZE', 0.729000587059549]","['3gDUdpPr7IxAgS31lEhHxU', 0.730108304700601]","['2cfmV1hKK1xlfjW3smgphE', 0.7450858327377474]","['51Bpjq1BdQlS3V852vJCw7', 0.7454443757699657]","['67kXYrMTQbS7MVbXyGyxHm', 0.7455044705032049]","['3u5bTqHMM1P34ZkbwzdckV', 0.7471346840737687]"
