track	trackID	singer	singerID	mp3URL
Still Got Time	000xQL6tZNLJzIrtIgxqSl	ZAYN	5ZsFI1h6hIdQRw2ti0hz81	https://p.scdn.co/mp3-preview/2385471a5d35709ad90e368dacabe4082af4541a?cid=92ac8297791c442aa3ad223eab515b17
When I Go to Sleep at Night	001rKAr9siVsYzpSooZRF0	The Chiffons	05sIdEkXAYDbDDdv3T56Oj	https://p.scdn.co/mp3-preview/1a44e302b507a468bde45f5686961bf7d78dd190?cid=92ac8297791c442aa3ad223eab515b17
The Fuss	00518PumkDdn560MsfLofT	Against The Current	6yhD1KjhLxIETFF7vIRf8B	https://p.scdn.co/mp3-preview/babd97199008c965f3aaa31a3fd31a79f46d51ac?cid=92ac8297791c442aa3ad223eab515b17
Mother Popcorn - Pt. 1	0060dGQA6ctSaxKzQyAAsK	James Brown	7GaxyUddsPok8BuhxN6OUW	https://p.scdn.co/mp3-preview/04cbec38b74472ed14ed04a07bf034d1cd832103?cid=92ac8297791c442aa3ad223eab515b17
Unconditionally	009ImBOrIUlWgla8U05RAC	Katy Perry	6jJ0s89eD6GaHleKKya26X	https://p.scdn.co/mp3-preview/1bb5566bd5f9de3b9ff00b583948768aa6d77fb9?cid=92ac8297791c442aa3ad223eab515b17
The Villain	00AJ22EiTqG74qdgHVKVDM	Hermitude	3fmMaLC5jjf2N4EC2kTx0u	https://p.scdn.co/mp3-preview/c3d7a83c83268242a299773e2a1f023db7a633a1?cid=92ac8297791c442aa3ad223eab515b17
Born in Time	00AlGnzeNVYmilww5OFUw8	Bob Dylan	74ASZWbe4lXaubB36ztrGX	https://p.scdn.co/mp3-preview/c0fd7a53e2103fcb5c1717d25e0f114a57a308fb?cid=92ac8297791c442aa3ad223eab515b17
Diego	00BnfL75e8vHSGCmwUWbEk	Tory Lanez	2jku7tDXc6XoB6MO2hFuqg	https://p.scdn.co/mp3-preview/efd70d21993ecbee839e791e95f9a0311f958f98?cid=92ac8297791c442aa3ad223eab515b17
Detective	00bvlMH8B6w5kDWZjNa05M	No Doubt	0cQbJU1aAzvbEmTuljWLlF	https://p.scdn.co/mp3-preview/e9bf8c04772e18197064c9c4953cc1c97dba9849?cid=92ac8297791c442aa3ad223eab515b17
Caballero	00CD7kbTXQEJbxqZ4hjYIQ	Shamir	7JgXEHI1oEiQICAMeCsKTj	https://p.scdn.co/mp3-preview/9367b0d6274bbf5166eccdc22c0d4496f5450fe8?cid=92ac8297791c442aa3ad223eab515b17
Children of Paul	00E5bAx4Djd6txoIfJKm7Q	Ty Segall	58XGUNsRNu3cVOIOYk5chx	https://p.scdn.co/mp3-preview/54b06e522afe4da53b58941ebe1c62708dfc2973?cid=92ac8297791c442aa3ad223eab515b17
My Life	00EQTISBxvGLzB36hiOYMd	DJ Khaled	0QHgL1lAIqAw0HtD7YldmP	https://p.scdn.co/mp3-preview/5280ee20c79d16c79e5899e2d521221fb52cd01d?cid=92ac8297791c442aa3ad223eab515b17
Soldier	00f9VGHfQhAHMCQ2bSjg3D	James TW	0B3N0ZINFWvizfa8bKiz4v	https://p.scdn.co/mp3-preview/7a252f64c6b42e4466e516095a9c0276de9c1a2e?cid=92ac8297791c442aa3ad223eab515b17
Here I Am (Come and Take Me)	00GNc5ebF0onJaDp9Ey8bn	Seal	5GtMEZEeFFsuHY8ad4kOxv	https://p.scdn.co/mp3-preview/4b395ff38bea618cf6277224f9f78e2a73a9b0c3?cid=92ac8297791c442aa3ad223eab515b17
Devil Slide	00J6muo7cpXzgQxLNIDC8O	Eric Burdon	3miNucraVWk4hdVsIxn7id	https://p.scdn.co/mp3-preview/a65ef49a27efc940982460ecfa273bd15d336423?cid=92ac8297791c442aa3ad223eab515b17
Dance (A$$)	00JA27dAnIPXljobCwtS36	Big Sean	0c173mlxpT3dSFRgMO8XPh	https://p.scdn.co/mp3-preview/a20d61d3256d623ddedf5e95d1ad624c8d18eb34?cid=92ac8297791c442aa3ad223eab515b17
Space Dementia	00jXDm9BLNZdf2QC3Br0r7	Muse	12Chz98pHFMPJEknJQMWvI	https://p.scdn.co/mp3-preview/c4ebdd9b6fa4b39f2cfa83f4e84432fffa1c5709?cid=92ac8297791c442aa3ad223eab515b17
Young God	00kxmCrREn08uWfQnIx7Lv	Jonas Aden	1qq5e02CcWNFqZMbmdrIcj	https://p.scdn.co/mp3-preview/0d9bd056e150dd5adaf1427398ffbe845e1a4a30?cid=92ac8297791c442aa3ad223eab515b17
Sk8er Boi	00Mb3DuaIH1kjrwOku9CGU	Avril Lavigne	0p4nmQO2msCgU4IF37Wi3j	https://p.scdn.co/mp3-preview/c0984bf089f7e7534d6c838fd4204cc40ed87368?cid=92ac8297791c442aa3ad223eab515b17
