num,audio_vector
00001,"[ 5.05697548e-01  1.44482636e+00  2.74840802e-01  8.53326976e-01
  3.28577816e-01  2.09559366e-01  4.17662174e-01  5.17685294e-01
  8.02290022e-01  6.82371557e-01  2.53315330e-01  4.23706621e-01
  4.82048333e-01  9.78470922e-01  1.06081831e+00  3.60882550e-01
 -4.02122498e+00  1.60172806e+01 -1.30307305e+00  7.56712770e+00
  2.47417665e+00 -7.37445414e-01 -1.41483009e+00 -1.94696379e+00
  7.25268412e+00  5.83775997e+00 -7.79839158e-01  4.37523079e+00
 -2.12121367e+00 -8.76901340e+00  1.14338255e+01  1.59783566e+00
 -4.42803314e-03  8.16826841e-03  1.61506915e-03  2.63039067e-03
  1.85188142e-03  6.09139856e-04  7.81271416e-04 -1.57604704e-03
  1.84048521e-03  2.94567224e-03 -1.74999874e-03  2.48541842e-03
 -2.47435621e-03 -4.58502260e-03  1.05750148e-02 -1.48432609e-03]"
00002,"[ 3.18773806e-01  1.10703135e+00  2.73074389e-01  7.64276981e-01
  2.18995228e-01  1.45204693e-01  2.10118368e-01  3.21201533e-01
  6.13611042e-01  5.24219751e-01  1.20009318e-01  3.51943403e-01
  2.10379824e-01  7.64919400e-01  8.36739242e-01  3.57808679e-01
 -3.24592161e+00  1.55949774e+01 -1.70987558e+00  8.19708443e+00
  2.44514799e+00 -9.65906918e-01 -1.34731030e+00 -1.88680673e+00
  7.10687017e+00  5.90398073e+00 -7.57111132e-01  4.44535685e+00
 -1.13406408e+00 -8.76254177e+00  1.09979706e+01  2.55363202e+00
  1.51790080e-03 -3.00629934e-03 -1.19853555e-03 -8.66152282e-06
  5.57104747e-05  1.00283554e-03  2.74177876e-03  2.25530132e-03
 -2.58604176e-03 -4.51392598e-03 -1.50165427e-03 -1.03109056e-03
 -1.96716890e-03 -7.53056290e-04 -9.75974605e-04 -7.98967150e-04]"
00003,"[ 4.21763688e-01  1.39691103e+00  3.11115801e-01  9.19776797e-01
  2.48522297e-01  1.50153786e-01  3.86800766e-01  6.04938209e-01
  7.46541381e-01  7.55335569e-01  1.95728138e-01  3.96742195e-01
  3.25000674e-01  1.00793862e+00  1.06731093e+00  3.72643590e-01
 -3.93607712e+00  1.61999073e+01 -1.42371905e+00  7.87273407e+00
  2.43330073e+00 -7.19200432e-01 -1.30377519e+00 -2.17722845e+00
  7.39444399e+00  6.03894711e+00 -8.94257963e-01  4.36288261e+00
 -2.03932834e+00 -8.96282673e+00  1.16890059e+01  1.75846839e+00
  5.39150401e-03 -9.36405475e-03  2.93688081e-03  2.31027807e-03
 -1.89356519e-03 -4.12553804e-04  3.46935604e-03  1.80118703e-03
 -5.45920979e-03 -4.10905149e-03 -7.42382754e-03 -4.00835836e-03
  4.87432648e-03  1.13493663e-03 -7.40048213e-03  5.21536057e-03]"
00004,"[ 4.76775080e-01  2.19176269e+00  5.10066807e-01  1.45023227e+00
  2.75039941e-01  2.33127162e-01  3.25517476e-01  5.73078454e-01
  1.13514531e+00  9.88346457e-01  1.82194889e-01  5.93872368e-01
  3.44389737e-01  1.55379891e+00  1.64534640e+00  6.67574108e-01
 -3.65680647e+00  1.54781265e+01 -1.32940781e+00  7.58041620e+00
  2.42023087e+00 -7.38506615e-01 -1.36048365e+00 -1.80048513e+00
  6.99455547e+00  5.68459129e+00 -7.73342490e-01  4.25161314e+00
 -1.68482506e+00 -8.49001312e+00  1.09276247e+01  1.82490909e+00
  1.17500096e-02 -4.60929229e-02  5.70666733e-03 -2.58555341e-02
 -4.03649328e-03  3.73719112e-03 -3.54304588e-03  1.35227763e-02
 -2.16448786e-02 -2.13919063e-02  4.08061358e-03 -6.38064971e-03
 -1.19168203e-03  3.15468683e-02 -3.58668077e-02 -7.06767762e-03]"
00005,"[ 1.61179513e-01  3.98338646e-01  1.86677396e-01  3.13139319e-01
  1.42733589e-01  1.31477073e-01  1.88450843e-01  2.63088733e-01
  2.11639166e-01  2.50241905e-01  1.57205075e-01  1.89597979e-01
  2.18490914e-01  2.90554792e-01  3.36054236e-01  2.12828428e-01
 -4.20362282e+00  1.75000038e+01 -1.74038398e+00  8.64957142e+00
  2.68846369e+00 -8.14438462e-01 -1.42088962e+00 -2.36897969e+00
  8.08251381e+00  6.34195900e+00 -6.15640581e-01  4.76223755e+00
 -2.08337235e+00 -9.85243988e+00  1.25246010e+01  2.23723435e+00
 -3.63623281e-03  1.89342866e-03 -2.25703711e-03  1.37615510e-03
  7.72590821e-04 -1.93697520e-03  3.51354098e-04 -1.58647696e-04
 -7.74303053e-04  3.30994272e-05 -5.74937138e-04  2.54476172e-04
 -9.17894463e-04 -4.26697935e-04  6.43465254e-05 -3.23088505e-04]"
00006,"[ 3.00435424e-01  9.14957821e-01  1.92792624e-01  5.92737198e-01
  1.95024475e-01  1.66133076e-01  2.17350766e-01  4.34356660e-01
  5.66351235e-01  4.99282002e-01  1.50006279e-01  2.21357420e-01
  2.28610262e-01  6.92326128e-01  7.00210214e-01  2.42039755e-01
 -4.16998672e+00  1.71369667e+01 -1.46447873e+00  8.50514126e+00
  2.48476958e+00 -8.34384680e-01 -1.09133518e+00 -2.63332820e+00
  7.87127829e+00  6.57156801e+00 -7.83814311e-01  4.49259233e+00
 -1.81691408e+00 -9.67580223e+00  1.23553753e+01  1.92667198e+00
 -5.98435728e-05 -4.69307207e-03  4.40697283e-03 -3.49745791e-03
  1.14140398e-03  7.77272078e-04 -4.36774176e-04  2.26157827e-03
 -3.57721198e-03 -2.12390708e-03 -1.49882190e-03 -1.88650993e-03
  8.91668802e-04  4.15700317e-03 -5.61122405e-03  2.54394942e-03]"
00007,"[ 4.26878422e-01  1.32919765e+00  2.73250163e-01  8.47528577e-01
  2.27676466e-01  1.32765010e-01  2.44498700e-01  4.19280082e-01
  7.71418214e-01  6.71662450e-01  1.19556755e-01  4.27639037e-01
  2.73519546e-01  9.06484306e-01  1.01966143e+00  3.16886067e-01
 -3.41559458e+00  1.47498093e+01 -1.30249894e+00  7.04566669e+00
  2.20622301e+00 -6.54180110e-01 -1.21518838e+00 -1.60343325e+00
  6.52274227e+00  5.40487146e+00 -8.44802499e-01  4.08081913e+00
 -1.63813162e+00 -7.97181749e+00  1.05071011e+01  1.54571784e+00
  2.31054935e-03 -6.63647896e-03  2.03884438e-03 -1.69017478e-03
 -1.61308407e-03 -1.14697288e-03 -2.51183939e-03  2.74018854e-04
 -1.90278200e-03 -3.08025749e-03  3.60531494e-04 -4.00050277e-03
  1.00240162e-03  6.66550999e-03 -9.11609332e-03 -1.55494891e-03]"
00008,"[ 7.04743862e-01  1.75978601e+00  2.93366283e-01  9.48744237e-01
  4.48624074e-01  1.78330526e-01  3.82818699e-01  4.96188015e-01
  9.59852755e-01  6.85742497e-01  2.61675477e-01  4.57996726e-01
  6.01885200e-01  1.11996675e+00  1.25101972e+00  3.92875582e-01
 -4.03648996e+00  1.56524696e+01 -1.27396619e+00  7.25821877e+00
  2.37564182e+00 -6.56180501e-01 -1.52854395e+00 -1.85741615e+00
  6.97106409e+00  5.51644993e+00 -5.76596916e-01  4.28620672e+00
 -2.25246954e+00 -8.51625443e+00  1.11862116e+01  1.43252921e+00
  2.97602960e-03 -1.08840119e-03 -6.86212610e-04 -1.41771074e-03
 -1.26799304e-03  6.63462389e-04 -1.67557804e-03  3.18306608e-03
 -3.11133342e-03  7.26906662e-05 -7.99072110e-04  1.20183647e-03
  4.85715417e-04  2.27963772e-03 -3.32867488e-03 -1.04939963e-03]"
00009,"[ 1.93668962e-01  7.64253378e-01  2.55924970e-01  6.03310943e-01
  1.78051934e-01  1.72466561e-01  2.63159156e-01  4.55518901e-01
  4.91477549e-01  4.75933373e-01  1.92359015e-01  2.80194610e-01
  2.37482831e-01  5.91017723e-01  6.28933191e-01  2.80557752e-01
 -4.25544643e+00  1.71339436e+01 -1.37680137e+00  8.41758537e+00
  2.67053390e+00 -8.52228224e-01 -1.35662413e+00 -2.27279282e+00
  7.96668768e+00  6.34481859e+00 -6.80787385e-01  4.62074614e+00
 -2.15098453e+00 -9.57560730e+00  1.23206272e+01  1.82365656e+00
  1.67572906e-03 -2.71328494e-03  4.90581887e-05 -3.90401763e-03
 -2.05438871e-03  9.03932457e-05  1.36617157e-04  3.79461330e-03
 -1.48492695e-03 -4.65058873e-04  9.86185848e-04  2.68698401e-03
  3.54099987e-04  7.08538243e-04 -3.31174003e-03 -1.70767154e-03]"
00010,"[ 2.90532738e-01  6.43009484e-01  1.87284052e-01  4.39299464e-01
  1.97280437e-01  1.47636965e-01  2.94738829e-01  3.83702219e-01
  4.04632807e-01  4.04578924e-01  1.74822211e-01  2.41416708e-01
  3.04564536e-01  4.67836380e-01  4.80437160e-01  2.16372967e-01
 -4.20501375e+00  1.64993706e+01 -1.34406483e+00  7.87979364e+00
  2.44698572e+00 -6.95139229e-01 -1.14294732e+00 -2.30323577e+00
  7.52124357e+00  6.20280600e+00 -8.95703971e-01  4.23359871e+00
 -1.83069384e+00 -9.26036263e+00  1.18391161e+01  1.87452686e+00
  2.63667514e-03 -7.57708713e-03 -7.70035208e-04 -2.61462652e-03
  2.95114313e-05 -1.86323464e-03  4.86898220e-03  1.46367815e-03
 -3.64629020e-03 -9.68060942e-05 -1.45615612e-04 -1.87853972e-03
  1.33791146e-03  3.32758773e-03 -3.04681827e-03 -3.37158513e-05]"
