lyrics,singer,title,url
"[Verse 1: Troye Sivan]
Young ambition
Say we'll go slow but we never do
Premonition
See me spendin' every night with you[Pre-Chorus: Troye Sivan]
Oh, yeah, under the kitchen lights
You still look like dynamite
And I wanna end up on you
Oh, don't need no place to go
Just put on the radio
You know what I wanna do[Chorus: Troye Sivan]
We can just dance to this
Don't take much to start me
We can just dance to this
Push up on my body, yeah
You know we've already seen all of the parties
We can just dance to this
We can just, we can just
Dance to this
Dance to this
We can just dance to this[Verse 2: Ariana Grande]
Dear beloved
Bring those 501s a bit closer, bit closer
And dear, my lover
Do that thing we never do sober, sober[Pre-Chorus: Troye Sivan & Ariana Grande, Ariana Grande]
Oh, yeah, under the kitchen lights
You still look like dynamite
And I wanna end up on you (yeah)
Oh, we don't need no place to go
Just put on the radio
You know what I wanna do[Chorus: Troye Sivan & Ariana Grande]
We can just dance to this
Don't take much to start me
We can just dance to this
Push up on my body, yeah
You know we've already seen all of the parties
We can just dance to this
We can just, we can just
Dance to this
Dance to this
We can just dance to this[Bridge: Troye Sivan with Ariana Grande]
I don't wanna sleep tonight-night-night-night-night
I just want to take that ride
I don't wanna sleep tonight-night-night-night-night
I just want to take that ride[Chorus: Troye Sivan with Ariana Grande]
We can just dance to this
Don't take much to start me
We can just dance to this
Push up on my body, yeah
You know we've already seen all of the parties
We can just dance to this
We can just...
We can just dance to this
Don't take much to start me
We can just dance to this
Push up on my body, yeah
You know we've already seen all of the parties
We can just dance to this
We can just, we can just
Dance to this[Outro: Troye Sivan & Ariana Grande]
Dance to this, love
Dance to this
We can just, dance to this
Dance to this, dance to this
We can just dance to this
I don't wanna sleep tonight-night-night-night-night
I just wanna take that ride
I don't wanna sleep tonight-night-night-night-night
I just wanna take that ride
We can just... dance to this
I don't wanna sleep tonight-night-night-night-night
I just wanna take that ride
I don't wanna sleep tonight-night-night-night-night
I just wanna take that ride
We can just... dance to this
I don't wanna sleep tonight-night-night-night-night",troye sivan,Dance To This,http://www.metrolyrics.com/dance-to-this-lyrics-troye-sivan.html
"Come on skinny love, just last the year
Pour a little salt, we were never here
My, my, my, my, my, my, my, my
Staring at the sink of blood and crushed veneerI tell my love to wreck it all
Cut out all the ropes and let me fall
My, my, my, my, my, my, my, my
Right at the moment this order's tallAnd I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kindAnd in the morning, I'll be with you
But it will be a different kind
'Cause I'll be holding all the tickets
And you'll be owning all the finesCome on skinny love, what happened here?
Suckle on the hope in light brassiere
My, my, my, my, my, my, my, my
Sullen load is full, so slow on the splitAnd I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kindAnd now all your love is wasted
Then who the hell was I?
'Cause now I'm breaking at the britches
And at the end of all your linesWho will love you?
Who will fight?
Who will fall far behind?Come on skinny love
My, my, my, my, my, my, my, my
My, my, my, my, my, my, my, my",birdy,Skinny Love,http://www.metrolyrics.com/skinny-love-lyrics-birdy.html
"To be young and in love in New York City
Do not know who I am but still know I'm good as long as you're here with me
To be drunk and in love in New York City
Midnight into morning coffee
Burning through the hours talkingDamnI like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time
'Cause I like me better when
I like me better when I'm with youI don't know what it is but I got that feeling
Waking up in this bed next to you, swear the room yeah
It got no ceiling
If we lay, let the day just pass us by
I might get to too much talking, I might have to tell you somethingDamnI like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time
'Cause I like me better when
I like me better when I'm with youStay awhile stay awhile
Stay here with me
Stay awhile stay awhile, oh
Stay awhile stay awhile
Stay here with me
Right here with me
Yeah, yeahI like me better when I'm with you
(yes, I do, yes, I do, babe)
I like me better when I'm with you
I knew from the first time
I'd stay for a long time
'Cause I like me better when
I like me better when I'm with youI like me, I like me
Look who you made me, made me, oh no
Better whenI like me better when I'm with you",lauv,I Like Me Better,http://www.metrolyrics.com/i-like-me-better-lyrics-lauv.html
"The weight
Of a simple human emotion
Weighs me down
More than the tank ever didThe pain
It's determined and demanding
To ache, but I'm okayAnd I don't want to let this go
I don't want to lose control
I just want to see the stars with you
And I don't want to say goodbye
Someone tell me why
I just want to see the stars with youYou lost, a part of your existence
In the war, against yourself
Oh, the lights,
They light up in lights of sadness
Telling you, it's time to goAnd I don't want to let this go
I don't want to lose control
I just want to see the stars with you
And I don't want to say goodbye
Someone tell me why
I just want to see the stars with youDon't give it up just yet
Stay grand for one more minute
Don't give it up just yet
Stay grandNo, don't give it up just yet
Stay grand for one more minute
Don't give it up just yet
Stay grandNo, don't give it up just yet
Stay grand for one more minute
Don't give it up just yet
Stay grandAnd I don't want to let this go
I don't want to lose control
I just want to see the stars with you
And I don't want to say goodbye
Someone tell me why
I just want to see the stars with you
With you",troye sivan,The Fault In Our Stars (MMXIV),http://www.metrolyrics.com/the-fault-in-our-stars-mmxiv-lyrics-troye-sivan.html
"[Verse 1]
Oh, I wanna know just how to love you
The jewel of California
Oh, I wanna skip stones on your skin, boy
And drown me in your water[Pre-Chorus]
And my boy like a queen
Unlike one you've ever seen
He knows how to love me better
A hit of dopamine, higher than I've ever been
He knows how to love me better[Chorus]
'Cause you're safe like spring time
Short days, long nights, boy
Tell me all the ways to love you
'Cause you taste like Lucky Strikes
You drag, I light, boy
Tell me all the ways to love you, yeah
Tell me all the ways to love you, oh
Tell me all the ways to love you[Verse 2]
Oh, I wanna tiptoe through your bliss, boy
Get lost the more I find ya
Oh, don't wanna miss a second of this, boy
Hold tight and love me longer[Pre-Chorus]
And my boy like a queen
Unlike one you've ever seen
He knows how to love me better
(Yeah, he knows how to love me better)
A hit of dopamine, higher than I've ever been
He knows how to love me better[Chorus]
'Cause you're safe like spring time
Short days, long nights, boy
Tell me all the ways to love you
(Tell me all the ways to love you)
'Cause you taste like Lucky Strikes
You drag, I light, boy
Tell me all the ways to love you, yeah
(Tell me all the ways to love you)
Tell me all the ways to love you, oh
Tell me all the ways to love you, yeah
(Tell me all the ways to love you
Tell me all the ways to love you)[Bridge]
Breathe me in, exhale slow
Take me to anywhere you wanna go
Breathe me in, exhale slow
Take me to anywhere you wanna go[Chorus]
'Cause you're safe like spring time
Short days, long nights, boy
Tell me all the ways to love you
(Tell me all the ways to love you)
'Cause you taste like Lucky Strikes
You drag, I light, boy
Tell me all the ways to love you, yeah
(Tell me all the ways to love you)
Tell me all the ways to love you, oh
(Tell me all the ways to love you)
Tell me all the ways to love you, yeah
Tell me all the ways
(Tell me all the ways to love you)
Tell me all the ways
(Tell me all the ways to love you)
(Tell me all the ways to love you)
(Tell me all the ways to love you)",troye sivan,Lucky Strike,http://www.metrolyrics.com/lucky-strike-lyrics-troye-sivan.html
"Wrapped my thoughts around your mind
Wrapped your body around minePlay it back and press rewind
To when you traced your fingers, drew my spine
Lost its beat and so I find
Starve my heart of touch and timeSo what do I do now?
I don't keep love around
What do I do now?
I don't keep love around
What do I do now?
I don't keep love around, love around
Love around, love aroundWhen we tried it, we were a fire with no smoke
Rags to riches but I'm addicted to being broken
Take my breath away, you know I'm bound to choke
When I close my eyes I still see your ghostSo what do I do now?
I don't keep love around
What do I do now?
I don't keep love around
What do I do now?
I don't keep love around, love around
Love around, love aroundI don't keep love around, yeah
I don't keep love around, oh-yeah
I don't keep love around
Love around, love aroundThey can't stand, I handstand
I don't hold on right anymore
Pleased to meet you, I'm kinda' moved
But that last one was my antidoteGreen eyes, become green times
But there is no first or a last chance
They're telling me to turn down
'Cause I'm so lit, recall flashdance?Only A1, and I stay 1
And I'm counting out for that day when
Residuals become imminent
'Cause failure is not pivotalThey just be asking the same
Try switch it up, I switch lanes
No love in this world, I'm still sane
Right? Because that's enough?
When the lights on and you don't keep love""Distance makes the heart grow fonder""
Said by someone stronger than me
So what do I do now?
Do now?So what do I do now?
I don't keep love around anymore
I don't keep love around anymore
I don't keep, I don't keep
Love around",troye sivan,DKLA,http://www.metrolyrics.com/dkla-lyrics-troye-sivan.html
"Shine on, diamond
Don't make me wait another day
'Cause passion is passion
You know it just as well as me
Now, let's stop running from love
Running from love
Let's stop, my baby
Let's stop running from us
Running from us
Let's stop, my baby
Oh my, my, my
I die every night with you
Oh my, my, my
Living for your every move
Spark up, buzz cut
I've got my tongue between your teeth
Go slow, no, no, go fast
You like it just as much as me
Now, let's stop running from love
Running from love
Let's stop, my baby
Let's stop running from us
Running from us
Let's stop, my baby
Oh my, my, my
I die every night with you
Oh my, my, my
Living for your every move
Oh my, my, my
I die every night with you
Oh my, my, my
Living for your every move (your every move)
Oh my, my, my
My, my, my
Should be the last night ever
Should be the last night we're apart
Got my name on this treasure
On this treasure
Oh my, my, my (oh my, my, my)
I die every night with you (I die, I die, I die, I die, yeah yeah)
Oh my, my, my (oh my, my, yeah)
Living for your every move (living for, living for, yeah)
Oh my, my, my
I die every night with you
(Oh my, my, my, oh my, my, my)
Oh my, my, my
Living for your every move
(Living for your every move)
Oh my, my, my",troye sivan,My My My! (Throttle Remix),http://www.metrolyrics.com/my-my-my-throttle-remix-lyrics-troye-sivan.html
"What if
What if we run away
What if
What if we left today
What if
We said goodbye to safe and sound
What if
What if we're hard to find
What if
What if we lost our minds
What if
We let them fall behind, and they're never foundAnd when the lights start flashing like a photo booth
And the stars exploding
We'll be fireproofMy youth
My youth is yours
Trippin' on skies, sippin' waterfalls
My youth
My youth is yours
Run away now and forevermore
My youth
My youth is yours
The truth so loud you can't ignore
My youth, my youth, my youth
My youth is yoursMy youth is yoursMy youth is yoursMy youth is yoursWhat if
What if we start to drive
What if
What if we close our eyes
What if
We're speeding through red lights into paradise
'Cause we've no time for getting old
Mortal bodies, timeless souls
Cross your fingers, here we go
Oh, oh, ohMy youth
My youth is yours
Trippin' on skies, sippin' waterfalls
My youth
My youth is yours
Run away now and forevermore
My youth
My youth is yours
The truth so loud you can't ignore
My youth, my youth, my youth
My youth is yoursMy youth is yoursMy youth is yoursMy youth is yoursMy youth is yoursMy youth is yoursMy youth is yoursMy youth is yoursMy youth is yoursMy youth is yours",troye sivan,YOUTH (Gryffin Remix),http://www.metrolyrics.com/youth-gryffin-remix-lyrics-troye-sivan.html
"Love it's hard, I know
All your lights are red, but I'm green to go
Used to see you high, now you're only low
All your lights are red but I'm green to goI want you, I'll colour me blue
Anything it takes to make you stay
Only seeing myself
When I'm looking up at youI want you, I'll colour me blue
Anything it takes to make you stay
Only seeing myself
When I'm looking up at youI can't say no
Though the lights are on there's nobody home
Swore I'd never lose control
Then I fell in love with a heart that beats so slowI want you, I'll colour me blue
Anything it takes to make you stay
Only seeing myself
When I'm looking up at youI want you, I'll colour me blue
Anything it takes to make you stay
Only seeing myself
When I'm looking up at youI know you're seeing black and white
So I'll paint you a clear blue sky
Without you I am colour-blind
It's raining every time I open my eyesI know you're seeing black and white
So I'll paint you a clear blue sky
Without you I am colour-blind
It's raining every time I open my eyesI want you, I'll colour me blue
Only seeing myself
When I'm looking up at you
When I'm looking up at youI want you, I'll colour me blue
Anything it takes to make you stay (Anything it takes to make you stay)
Only seeing myself
When I'm looking up at you (When I'm looking up at you)I want you, I'll colour me blue
Anything it takes to make you stay
Only seeing myself
When I'm looking up at youI want you, I'll colour me blue
Anything it takes to make you stay
Only seeing myself
When I'm looking up at you",troye sivan,Blue,http://www.metrolyrics.com/blue-lyrics-troye-sivan.html
"Don't you wanna see the world, boy
All the countries and the stars, boy?
Just don't look them in the eyes, boy
You just gotta take their lives, boyLet me take you for a drive, boy
Oh, I swear you'll feel alive boy
All you gotta do is trust that I'm being true
And do it for the people who love youLet's go have fun, you and me in the old jeep
Ride around town with our rifles on the front seat
Fun, you and me in the Middle East
Shooting at rocks, bullets cocked in the midday sun
You and me in the old jeep
Ride around town with our rifles on the front seat
Fun, you and me in the Middle East.
Shooting at rocks, bullets cocked in the midday sunListen to what I tell you
You'll see my sign
Now you know what you gotta do.
Let's go have funWhen you're standing on the line, boy
Don't go looking for goodbye, boy
Yeah you gotta set them free, boy
'Cause you know that's what they need, boy.
Yeah, you're gonna make them cry, boyTil' they put you in the ground, boy.
All you gotta do is trust that I'm being true
And do it for the people who love you.Let's go have fun, you and me in the old jeep.
Ride around town with our rifles on the front seat.
Fun, you and me in the Middle East.
Shooting at rocks, bullets cocked in the midday sun.You and me in the old jeep
Ride around town with our rifles on the front seat
Fun, you and me in the Middle East
Shooting at rocks, bullets cocked in the midday sunListen to what I tell you
You'll see my sign
Now you know what you gotta do
Let's go have fun, let's go have fun.Let's go have fun, you and me in the old jeep.
Ride around town with our rifles on the front seat.
Fun, you and me in the Middle East.
Shooting at rocks, bullets cocked in the midday sunYou and me in the old jeep
Ride around town with our rifles on the front seat.
Fun, you and me in the Middle East
Shooting at rocks, bullets cocked in the midday
Fun, you and me in the old jeep
Ride around town with our rifles on the front seat
Fun, you and me in the Middle East.
Shooting at rocks, bullets cocked in the midday sun.
You and me in the old jeep
Ride around town with our rifles on the front seat
Fun, you and me in the Middle East.
Shooting at rocks, bullets cocked in the midday...",troye sivan,Fun,http://www.metrolyrics.com/fun-lyrics-troye-sivan.html
