"name","artist_id","artist_name","id"
Still Got Time,"5ZsFI1h6hIdQRw2ti0hz81",ZAYN,"000xQL6tZNLJzIrtIgxqSl"
When I Go to Sleep at Night,"05sIdEkXAYDbDDdv3T56Oj",The Chiffons,"001rKAr9siVsYzpSooZRF0"
The Fuss,"6yhD1KjhLxIETFF7vIRf8B",Against The Current,"00518PumkDdn560MsfLofT"
Mother Popcorn - Pt. 1,"7GaxyUddsPok8BuhxN6OUW",James Brown,"0060dGQA6ctSaxKzQyAAsK"
Unconditionally,"6jJ0s89eD6GaHleKKya26X",Katy Perry,"009ImBOrIUlWgla8U05RAC"
The Villain,"3fmMaLC5jjf2N4EC2kTx0u",Hermitude,"00AJ22EiTqG74qdgHVKVDM"
Born in Time,"74ASZWbe4lXaubB36ztrGX",Bob Dylan,"00AlGnzeNVYmilww5OFUw8"
Diego,"2jku7tDXc6XoB6MO2hFuqg",Tory Lanez,"00BnfL75e8vHSGCmwUWbEk"
Detective,"0cQbJU1aAzvbEmTuljWLlF",No Doubt,"00bvlMH8B6w5kDWZjNa05M"
Caballero,"7JgXEHI1oEiQICAMeCsKTj",Shamir,"00CD7kbTXQEJbxqZ4hjYIQ"
Children of Paul,"58XGUNsRNu3cVOIOYk5chx",Ty Segall,"00E5bAx4Djd6txoIfJKm7Q"
My Life,"0QHgL1lAIqAw0HtD7YldmP",DJ Khaled,"00EQTISBxvGLzB36hiOYMd"
Soldier,"0B3N0ZINFWvizfa8bKiz4v",James TW,"00f9VGHfQhAHMCQ2bSjg3D"
Here I Am (Come and Take Me),"5GtMEZEeFFsuHY8ad4kOxv",Seal,"00GNc5ebF0onJaDp9Ey8bn"
Devil Slide,"3miNucraVWk4hdVsIxn7id",Eric Burdon,"00J6muo7cpXzgQxLNIDC8O"
Dance (A$$),"0c173mlxpT3dSFRgMO8XPh",Big Sean,"00JA27dAnIPXljobCwtS36"
Space Dementia,"12Chz98pHFMPJEknJQMWvI",Muse,"00jXDm9BLNZdf2QC3Br0r7"
Young God,"1qq5e02CcWNFqZMbmdrIcj",Jonas Aden,"00kxmCrREn08uWfQnIx7Lv"
Sk8er Boi,"0p4nmQO2msCgU4IF37Wi3j",Avril Lavigne,"00Mb3DuaIH1kjrwOku9CGU"
Secrets,"1Xyo4u8uXC1ZmMpatF05PJ",The Weeknd,"00NAQYOP4AmWR549nnYJZu"
Lieben,"12VaqyEhgwDRuFfEqbnrpz",PJ Harvey,"00njljpUWnL8hmp0pMk24B"
Joanne,"1HY2Jd0NmPuamShAr6KMms",Lady Gaga,"00nKdBKPs0F7nJ0xzWbccg"
Done With You,"4RddZ3iHvSpGV4dvATac9X",Papa Roach,"00NtVG757yjm3hFVbuJX2Q"
Left Outside Alone - M*A*S*H Radio Mix,"2siHvYaxjaW5rKVRiIrMYH",Anastacia,"00oskkxpsWUiE9Qwq4pI1Z"
Howling At The Moon,"1l9d7B8W0IHy3LqWsxP2SH",Phantogram,"00RYw42tKwXecTaVay3BKl"
Beg for the Night,"6fLrPFLWLSCrp7gcTZXcKb",Twin Shadow,"00SbVevsdFCgVm4IrSbuVJ"
The Daisy Chain,"5a2EaR3hamoenG9rDuVn8j",Prince,"00Tv62iZ42zDjrWYu8Rxjp"
Whip,"6vXTefBL93Dj5IqAWq6OTv",French Montana,"00uOdxbHi5mDYMUbtDUALm"
Hold Me (with Teddy Pendergrass),"6XpaIBNiVzIetEPCWDvAFP",Whitney Houston,"00W1p1EeD140DHSrVjhhlR"
Slime,"1URnnhqYAYcrqrcwql10ft","21 Savage","00WFoR7tPga5Wj92MSR3eD"
Say Youre Sorry,"2Sqr0DXoaYABbjBo9HaMkM",Sara Bareilles,"011Dg8Hkelamb0hAuaijWd"
Tartara,"5MlfccEEOw6kihsT8eQtbh",Joe Cuba,"011SSyv0dSAIx28bPYf4yT"
Strange Birds,"2WX2uTcsvV5OnS0inACecP",Birdy,"013AKdJ8Xw3I61kSpwvnEN"
Panic,"5rSXSAkZ67PYJSvpUpkOr7",Backstreet Boys,"013KZvh7N5p7Jsr3hQ0YYC"
i dont know what to say,"1Ffb6ejR6Fe5IamqA5oRUF",Bring Me The Horizon,"013TFRzJWkT41RRSgSenfI"
Never Let You Go,"1uNFoZAHBGtllmzznpCI3s",Justin Bieber,"01BlGnXpLuC0BjgUxVYZFb"
sweet sweet,"0Y5tJX1MQlPlqiwlOH1tJY",Travis Scott,"01Ch5LzVStxCFPKkT1xg6k"
Which Way To Paradise,"5szdY7KaSi7epwyffrbV8c",Poolside,"01DrXj5EAlZOeRUXihgtQE"
Bridge and the Wall,"6wKxOKEA3K6R2UZ3COLXEY",Elohim,"01evkpWgrMKEt5QLjIpAir"
My Favorite Things,"3BmGtnKgCSGYIUhmivXKWX",Kelly Clarkson,"01i3BDtgXG4mXQ3lXIWfqj"
If Youre Over Me,"5vBSrE1xujD2FXYRarbAXc",Years & Years,"01k24g94i1JvkFLQmVEdCd"
Brimstone and Fire,"2BTZIqw0ntH9MvilQ3ewNY",Cyndi Lauper,"01miFu8j1i5gb1OOELFxg2"
Days I Will Remember,"5zeCSgiRyezbfLiGOpKAsR",Tyrone Wells,"01MVOl9KtVTNfFiBU9I7dc"
Skit,"6vXTefBL93Dj5IqAWq6OTv",French Montana,"01N9aQAk1MU3qXNeZER5rG"
"4 Me","2jku7tDXc6XoB6MO2hFuqg",Tory Lanez,"01NaNxAEmbxcmbfvCFQduv"
I Like The Music Pumping (Radio Mix) - Radio Mix,"3k5CKYmmh2MjzAl9Xo5tpt",Central Line,"01NV9xSm8LkvumBRY8Ln1h"
Baby Mine - From Dumbo,"3kjuyTCjPG1WMFCiyc5IuB",Arcade Fire,"01p0uqHY29PwU7XydROfhs"
Bella Luna,"4phGZZrJZRo4ElhRtViYdl",Jason Mraz,"01pgHbtziFmLnaIdTbz3FK"
Could I Have This Kiss Forever,"7qG3b048QCHVRO5Pv1T5lw",Enrique Iglesias,"01qCxvpyyIm0a0RG3uYxEm"
True Love,"3PhoLpVuITZKcymswpck5b",Elton John,"01qYEGYCRYzMSNOj8idCmk"
Last Night,"31TPClRtHm23RisEBtV3X7",Justin Timberlake,"01r1q2OykW2e3L17kB5bi3"
Rollin and Tumblin,"74ASZWbe4lXaubB36ztrGX",Bob Dylan,"01RpOO0qxTsn2eFtyu1N34"
Baptiize,"1RyvyyTE3xzB2ZywiAwp0i",Future,"01sjbEk3X7KNXFvXXXN5MY"
Brahms Lullaby,"6ewMqjrF31lC8ywRsvm073",Nick Lachey,"01uwmQU4sbcMnFwklgKMVc"
Morph,"3YQKmKGau1PzlVlkL1iodx",Twenty One Pilots,"01vv2AjxgP4uUyb8waYO5Y"
Cry a While,"74ASZWbe4lXaubB36ztrGX",Bob Dylan,"01WZpX9Ss7ZexSFX6ntYeO"
With The Thought Of Us,"0qzzGu8qpbXYpzgV52wOFT",Bibio,"01XXqto5GNPwbUuYLMxNBz"
White Lies (feat. Jenni Potts),"21mKp7DqtSNHhCAU2ugvUw",ODESZA,"01YmDEvbiVb5q5eCGNlB6U"
Nobody but You,"5rSXSAkZ67PYJSvpUpkOr7",Backstreet Boys,"024v6TtQuwzaudtdWFEOuM"
Run Away With Me (Instrumental),"5zeCSgiRyezbfLiGOpKAsR",Tyrone Wells,"024VOzOBCmiBeMZQHNVXUW"
Panic Room - Avatar Sessions,"7MC5zmK3iZHzPqGZEVSROe",Autre Ne Veut,"024yTOp4qWSIohpMBPwcMw"
Come On Then,"13saZpZnCDWOI9D4IJhp1f",Lily Allen,"0258EtxjiL6jPMPcqyVSEQ"
Superblind,"2HcwFjNelS49kFbfvMxQYw",Robbie Williams,"028mt96NkZsFoMv4B0Fa7t"
Hum Hallelujah,"4UXqAaa6dQYAk18Lv7PEgX",Fall Out Boy,"028njLMKzGg4gAVSgMeOhm"
"911","2BTZIqw0ntH9MvilQ3ewNY",Cyndi Lauper,"029xoQnXFfmb0krWdM5gGa"
Seaweed Song,"7gjAu1qr5C2grXeQFFOGeh",Passion Pit,"02Bj0KWmT8OznkcfKyDSDc"
Oh My Love,"0ukgSx1gUt5rUihbNh46qy",Christopher Owens,"02BkvIGCgvoQBWuf9b15CT"
Her Mercy,"3Caot8EtHX6wLpNF2wRzS0",Glen Hansard,"02ckSWja0a1uutSiZ2enQG"
Bosses and Workers (feat. Don Q and Trap Manny),"31W5EY0aAly4Qieq6OFu6I",A Boogie Wit da Hoodie,"02CQH5capUYovYSiSiwKgX"
Its Too Bad,"2P560DaOMNDUACoH8ZhOCR",The Jam,"02IE3TGmexPJuL64O4RgpD"
Violent Dreams,"7K3zpFXBvPcvzhj7zlGJdO",Crystal Castles,"02ihGyi1NUZrhIYPUzyWyP"
Faded (Interlude),"7vk5e3vY1uw9plTHJAMwjN",Alan Walker,"02Jk9LuQmKe6YYFfcRdXpY"
"18 Wheeler","1KCSPY1glIKqW2TotWuXOR",P!nk,"02KXGtTWStBwmOLzFIUivK"
RoboCop,"5K4W6rqBFWDnAN6FQUkS6x",Kanye West,"02LAK7qT1wya0klSeNO96f"
Paths of Victory,"6G7OerKc3eBO9sVkRNopFC",Cat Power,"02LoOMR6Nv7eqfQKefnDXk"
Caramelo Duro (Spanish Version) (feat. Kali Uchis),"360IAlyVv4PCEVjgyMZrxK",Miguel,"02MQQqrcVAiWJlb1JYvxnL"
Abra Ka Dabra,"0x83OBqixqdCHnStP5VMcn",The Shirelles,"02MxF4ePwelHj5ZZKypjup"
Happy Days,"0MponVSpW81oLvJZ53vYZH",The Marvelettes,"02OLxGHArzpAzeWaAngBtE"
Salsa Ahi Na Ma,"5MlfccEEOw6kihsT8eQtbh",Joe Cuba,"02Pis9YKbM7wpRH8JcrFKT"
Tommy TRAPEZOiD (feat. Ghetty),"31IZdHrCZ5pRhLz4zBxN3o",Riff Raff,"02QJA7BMXMFstfmNRILkYA"
January Tape Part 5,"4EENT7N7rCBwrddM3s0vFS",Cut Copy,"02rGt5DENBD8lzhwcv1Bv2"
Trick Or Treat,"1gkSl4XpHIHI4I1WQbfXOE",Peaches,"02rPdvr7RK2HzYGccNm59k"
Silver Bells,"5o206eFLx38glA2bb4zqIU",Bright Eyes,"02sfVWVut85SfmTa6p2kLF"
Relay,"68kEuyFKyqrdQQLLsmiatm",Vince Staples,"02sObHgWwieFWa9zWIi6gF"
London Traffic,"2P560DaOMNDUACoH8ZhOCR",The Jam,"02xIb431TygqxO5TdgJhbB"
Paparazzi,"1HY2Jd0NmPuamShAr6KMms",Lady Gaga,"02XnQdf7sipaKBBHixz3Zp"
Feelin Sad,"1eYhYunlNJlDoQhtYBvPsi",Ray Charles,"02yHEEVqz8UkPn0uyi36Ro"
I Dont Need No Hassle,"3miNucraVWk4hdVsIxn7id",Eric Burdon,"02ZsVeGXAGpMWd9lMzrxZ9"
Screenager,"12Chz98pHFMPJEknJQMWvI",Muse,"033IZMP0kKR0RC1h4Z2NVy"
Time Waits for No One,"5zaXYwewAXedKNCff45U5l",Dusty Springfield,"038dB4x8tAfC8EGzyYMD8n"
You Know Me,"2HcwFjNelS49kFbfvMxQYw",Robbie Williams,"038Vsed713O0nzsuN4UOBG"
Patience,"6ewMqjrF31lC8ywRsvm073",Nick Lachey,"03afTjDbQDPNM6oEPZ8Y1m"
Head On Backwards - Band Track,"2g3PKH7Z1Ofn5oGR6oDjLy",The Sonics,"03aW7RtxLtwxtkocY0Gz7W"
Disproportioned Head,"4AqIRTZF6DDmKmdorgFug6",The Vandals,"03b9zENbNuruQGuVChsSgo"
Rockstar,"1RyvyyTE3xzB2ZywiAwp0i",Future,"03CQEGBmT3ev8bLF98DYUZ"
A Higher Place,"4bYPcJP5jwMhSivRcqie2n",Adam Levine,"03ensJD4vIcC4qFSqJfEOG"
Outside,"23NIwARd4vPbxt3wwNnJ6k",Parquet Courts,"03esnE5CZwxCLie5NedKRo"
La Temperatura (feat. Eli Palacios),"1r4hJ1h58CWwUQe3MxPuau",Maluma,"03f28Kmu5AlIdKAfEJiI8F"
