lyrics,all,id,x
1,1,000xQL6tZNLJzIrtIgxqSl,0
3,2,001rKAr9siVsYzpSooZRF0,1
5,3,00518PumkDdn560MsfLofT,2
6,4,0060dGQA6ctSaxKzQyAAsK,3
7,5,009ImBOrIUlWgla8U05RAC,4
8,6,00AJ22EiTqG74qdgHVKVDM,5
9,7,00AlGnzeNVYmilww5OFUw8,6
12,8,00BnfL75e8vHSGCmwUWbEk,7
13,9,00bvlMH8B6w5kDWZjNa05M,8
14,10,00CD7kbTXQEJbxqZ4hjYIQ,9
15,11,00E5bAx4Djd6txoIfJKm7Q,10
16,12,00EQTISBxvGLzB36hiOYMd,11
17,13,00f9VGHfQhAHMCQ2bSjg3D,12
19,14,00GNc5ebF0onJaDp9Ey8bn,13
20,15,00J6muo7cpXzgQxLNIDC8O,14
22,16,00JA27dAnIPXljobCwtS36,15
23,17,00jXDm9BLNZdf2QC3Br0r7,16
25,18,00kxmCrREn08uWfQnIx7Lv,17
26,19,00Mb3DuaIH1kjrwOku9CGU,18
27,20,00NAQYOP4AmWR549nnYJZu,19
29,21,00njljpUWnL8hmp0pMk24B,20
30,22,00nKdBKPs0F7nJ0xzWbccg,21
33,23,00NtVG757yjm3hFVbuJX2Q,22
34,24,00oskkxpsWUiE9Qwq4pI1Z,23
35,25,00RYw42tKwXecTaVay3BKl,24
36,26,00SbVevsdFCgVm4IrSbuVJ,25
37,27,00Tv62iZ42zDjrWYu8Rxjp,26
38,28,00uOdxbHi5mDYMUbtDUALm,27
39,29,00W1p1EeD140DHSrVjhhlR,28
40,30,00WFoR7tPga5Wj92MSR3eD,29
42,31,011Dg8Hkelamb0hAuaijWd,30
48,32,011SSyv0dSAIx28bPYf4yT,31
49,33,013AKdJ8Xw3I61kSpwvnEN,32
50,34,013KZvh7N5p7Jsr3hQ0YYC,33
51,35,013TFRzJWkT41RRSgSenfI,34
52,36,01BlGnXpLuC0BjgUxVYZFb,35
53,37,01Ch5LzVStxCFPKkT1xg6k,36
54,38,01DrXj5EAlZOeRUXihgtQE,37
55,39,01evkpWgrMKEt5QLjIpAir,38
56,40,01i3BDtgXG4mXQ3lXIWfqj,39
57,41,01k24g94i1JvkFLQmVEdCd,40
58,42,01miFu8j1i5gb1OOELFxg2,41
59,43,01MVOl9KtVTNfFiBU9I7dc,42
60,44,01N9aQAk1MU3qXNeZER5rG,43
62,45,01NaNxAEmbxcmbfvCFQduv,44
63,46,01NV9xSm8LkvumBRY8Ln1h,45
64,47,01p0uqHY29PwU7XydROfhs,46
65,48,01pgHbtziFmLnaIdTbz3FK,47
66,49,01qCxvpyyIm0a0RG3uYxEm,48
67,50,01qYEGYCRYzMSNOj8idCmk,49
68,51,01r1q2OykW2e3L17kB5bi3,50
71,52,01RpOO0qxTsn2eFtyu1N34,51
73,53,01sjbEk3X7KNXFvXXXN5MY,52
74,54,01uwmQU4sbcMnFwklgKMVc,53
75,55,01vv2AjxgP4uUyb8waYO5Y,54
76,56,01WZpX9Ss7ZexSFX6ntYeO,55
82,57,01XXqto5GNPwbUuYLMxNBz,56
83,58,01YmDEvbiVb5q5eCGNlB6U,57
85,59,024v6TtQuwzaudtdWFEOuM,58
86,60,024VOzOBCmiBeMZQHNVXUW,59
87,61,024yTOp4qWSIohpMBPwcMw,60
89,62,0258EtxjiL6jPMPcqyVSEQ,61
90,63,028mt96NkZsFoMv4B0Fa7t,62
91,64,028njLMKzGg4gAVSgMeOhm,63
92,65,029xoQnXFfmb0krWdM5gGa,64
94,66,02Bj0KWmT8OznkcfKyDSDc,65
96,67,02BkvIGCgvoQBWuf9b15CT,66
97,68,02ckSWja0a1uutSiZ2enQG,67
100,69,02CQH5capUYovYSiSiwKgX,68
101,70,02IE3TGmexPJuL64O4RgpD,69
102,71,02ihGyi1NUZrhIYPUzyWyP,70
103,72,02Jk9LuQmKe6YYFfcRdXpY,71
104,73,02KXGtTWStBwmOLzFIUivK,72
105,74,02LAK7qT1wya0klSeNO96f,73
