trackID,track,singer,lyrics
6rUp7v3l8yC4TKxAAR5Bmx,I Hate Everything About You,Three Days Grace,"Every time we lie awake
After every hit we take
Every feeling that I get
But I haven't missed you yet
Every roommate kept awake by
Every sigh and scream we make
All the feelings that I get
But I still don't miss you yet
Only when I start to think about it
I hate everything about you
Why do I love you
You hate everything about me
Why do you love me
Every time we lie awake
After every hit we take
Every feeling that I get
But I haven't missed you yet
Only when I stop to think about it
I hate everything about you
Why do I love you
I hate everything about you
Why do I love you
Only when I start to think about you I know
Only when you start to think about me do you know
I hate everything about you
Why do I love you
You hate everything about me
Why do you love me
I hate
You hate
I hate
You love me
I hate everything about you
Why do I love you"
4FCb4CUbFCMNRkI6lYc1zI,Hero,Mariah Carey,"There's a hero
If you look inside your heart
You don't have to be afraid
Of what you are
There's an answer
If you reach into your soul
And the sorrow that you know
Will melt away
And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you
It's a long road 
When you face the world alone
No one reaches out a hand
For you to hold
You can find love
If you search within yourself
And that emptiness you felt 
Will disappear
And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you, oh, oh
Lord knows
Dreams are hard to follow
But don't let anyone
Tear them away, hey yeah 
Hold on
There will be tomorrow
In time you'll find the way
And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you
That a hero lies in you
Mmm, that a hero lies in you"
1UMJ5XcJPmH6ZbIRsCLY5F,Old Flame,Tom Speight,"I saw you starin' at each other
I saw your eyes begin to glow
And I could tell you once were lovers
But you ain't hidin' nothin' that I don't know.
There's an old flame burnin' in your eyes
That tears can't drown and make-up can't disguise
Now that old flame might not be stronger
But it's been burnin' longer
Than any spark I might have started in your eyes.
You said it ended when he left you
You say your love for me is strong
But those old memories still upset you
Well, I might be a memory before too long.
'Cause there's an old flame burnin' in your eyes
That tears can't drown and make-up can't disguise
Now that old flame might not be stronger
But it's been burnin' longer
Than any spark I might have started in your eyes.
There's an old flame burnin' in your eyes
That tears can't drown and make-up can't disguise
Now that old flame might not be stronger
But it's been burnin' longe"
3wF0zyjQ6FKLK4vFxcMojP,Vain,KIRBY,"Something tells me that after I do this
I won't feel the same
It ain't drugs, It ain't lust
But it feels like it's numbing my pain
I've been hurt for so long
I forgot how to love is that strange?
Something tells me you know what I mean
And you feel the same
There ain't no choir
But I hear that angels sing
Holy as water
Falling from heaven's feet
Oh baby there ain't no alter
But I can't help but pray
Baby tell me this feeling
I'm feeling is not in vain
Cause you
You seen inside me
And you
You stood beside me
I ain't easy to love
I won't I won't
Promise I'll change
Something tells me you know what I've been through
And you feel the same
Same, same
And there ain't no choir
But I hear that angels sing
Holy as water
Falling from heaven's feet
Oh baby there ain't no alter
But I can't help but pray
Baby tell me this feeling
I'm feeling is not in vain
Vain, vain baby
Vain, vain, vain
Vain, vain baby"
1fLlRApgzxWweF1JTf8yM5,Given Up,Linkin Park,"Wake in a sweat again
Another day's been laid to waste
In my disgrace
Stuck in my head again
Feels like I'll never leave this place
There's no escape
I'm my own worst enemy
I've given up
I'm sick of feeling
Is there nothing you can say?
Take this all away
I'm suffocating!
Tell me what the fuck is wrong with me!
I don't know what to take
Thought I was focused, but I'm scared
I'm not prepared
I hyperventilate
Looking for help somehow, somewhere
And no one cares
I'm my own worst enemy
I've given up
I'm sick of feeling
Is there nothing you can say?
Take this all away
I'm suffocating!
Tell me what the fuck is wrong with me
God!
Put me out of my misery
Put me out of my misery
Put me out of my
Put me out of my fucking misery
I've given up
I'm sick of feeling
Is there nothing you can say?
Take this all away
I'm suffocating!
Tell me what the fuck is wrong with me"
7uRznL3LcuazKpwCTpDltz,Mr. Know It All,Kelly Clarkson,"Mr Know It All
Well ya think you know it all
But ya don't know a thing at all
Ain't it something y'all
When somebody tells you something bout you
Think that they know you more than you do
So you take it down another pill to swallow
Mr bring me down
Well ya like to bring me down don't ya
But I ain't laying down, baby
I ain't going down
Can't nobody tell me how it's gonna be
Nobody gonna make a fool out of me
Baby you should know that I lead not follow
Oh you think that you know me, know me
That's why I'm leaving you lonely, lonely
'Cause baby you don't know a thing about me
You don't know a thing about me
You ain't got the right to tell me
When and where to go, no right to tell me
Acting like you own me lately
Yeah baby you don't know a thing about me
You don't know a thing about me
Mr Play Your Games
Only got yourself to blame
When you want me back again
But I ain't falling back again
'Cause I'm living my truth without your lies
Let's be clear baby this is goodbye
I ain't coming back tomorrow
Oh you think that you know me, know me
That's why I'm leaving you lonely, lonely
'Cause baby you don't know a thing about me
You don't know a thing about me
You ain't got the right to tell me
When and where to go, no right to tell me
Acting like you own me lately
Yeah baby you don't know a thing about me
You don't know a thing about me
So what, you've got the world at your feet
And you know everything about everything
But you don't
You still think I'm coming back but baby you'll see
Oh you think that you know me, know me
That's why I'm leaving you lonely, lonely
'Cause baby you don't know a thing about me
You don't know a thing about me
You ain't got the right to tell me
When and where to go, no right to tell me
Acting like you own me lately
Yeah baby you don't know a thing about me
You don't know a thing about me
Mr Know It All
Well ya think you know it all
But ya don't know a thing at all
Yeah baby you don't know a thing about me
You don't know a thing about me"
5b88tNINg4Q4nrRbrCXUmg,Happy,Pharrell Williams,"It might seem crazy what I'm 'bout to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care baby by the way
Huh, because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do
Here come bad news, talking this and that
(Yeah) Well, give me all you got, and don't hold it back 
(Yeah) Well, I should probably warn you I'll be just fine 
(Yeah) No offense to you, don't waste your time
Here's why
Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do
Hey, come on, uh
Bring me down, can't nuthin' (happy)
Bring me down
My level is too high to bring me down (happy)
Can't nuthin', bring me down (happy)
I said, let me tell you now, unh (happy)
Bring me down, can't nuthin', bring me down (happy, happy, happy)
My level is too high to bring me down (happy, happy, happy)
Can't nuthin' bring me down (happy, happy, happy)
I said
Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do
Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do
Come on, unh bring me down can't nuthin' (happy, happy, happy)
Bring me down my level is too high (happy, happy, happy)
Bring me down can't nuthin' (happy, happy, happy)
Bring me down, I said
Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you, eh eh eh 
Because I'm happy
Clap along if you feel like that's what you wanna do
Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth
Because I'm happy
Clap along if you know what happiness is to you, eh hey
Because I'm happy
Clap along if you feel like that's what you wanna do, heh come on"
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,"Well you done done me and you bet I felt it
I tried to be chill but you're so hot that I melted
I fell right through the cracks
And now I'm trying to get back
Before the cool done run out
I'll be giving it my best-est
And nothing's going to stop me but divine intervention
I reckon it's again my turn
To win some or learn some
But I won't hesitate no more, no more
It cannot wait, I'm yours
Well open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find love love love love
Listen to the music of the moment people dance and sing 
We are just one big family
And it's our God-forsaken right to be loved loved loved loved loved
So I won't hesitate no more, no more
It cannot wait I'm sure
There's no need to complicate
Our time is short
This is our fate, I'm yours
I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed
I guess what I been saying is there ain't no better reason
To rid yourself of vanity and just go with the seasons
It's what we aim to do
Our name is our virtue
But I won't hesitate no more, no more
It cannot wait I'm yours
Well open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find the sky is yours
So please don't please don't please don't 
There's no need to complicate
'Cause our time is short
This, oh this, this is our fate, I'm yours"
5E5MqaS6eOsbaJibl3YeMZ,Homesick,Dua Lipa,"Here, where the sky's falling
I'm covered in blue
I'm running and I'm crawling
Fighting for you
When the rain stops
Then, darling, what will I do
And I know I go all in
But why do I
You give me a reason
Something to believe in
I know, I know, I know
You give me a meaning
Something I can breathe in
I know, I know, I know
It's a bittersweet feeling
Longing and I'm leaving
I go, I go, I go
But I wish I was there with you
Oh, I wish I was there with you
There's a crack in my window
A bird in my room
Angels all over
That watch over you
When I'm walking on water
All my dreams have come true
Still, nothing means nothing
Without you, you
You give me a reason
Something to believe in
I know, I know, I know
You give me a meaning
Something I can breathe in
I know, I know, I know
It's a bittersweet feeling
Longing and I'm leaving
I go, I go, I go
Tell my heart to lie
But I know deep inside it's true
That I wish I was there with you
That I wish I was there with you
Oh, I wish I was there with you
You give me a reason
Something to believe in
I know, I know, I know
You give me a meaning
Something I can breathe in
I know, I know, I know
It's a bittersweet feeling
Longing and I'm leaving
I go, I go, I go
Tell my heart to lie
But I know deep inside it's true
That I wish I was there with you
That I wish I was there with you
Oh, I wish I was there with you"
1au9q3wiWxIwXTazIjHdfF,Give Me Something,Seafret,"I called your number about a hundred times
And I know, that you know that it's me
I sat and listened for hours and hours
When the world got you down on your knees
All that I wanna do is to hold you tight
Love you until you're back on your feet
But it's hard when I'm laying my heart in your hands
And you don't hand yours back to me
Just give me something
I don't need to know but you're giving nothing
I'll take anything at all
Just give me something
'Cause all that I need is you
And you're giving nothing
Just give me something
I left you flowers outside your door
I see them dyin and it's killing me
Feel like a man on a walking wire
'Cause every change you get you're pushing me
You can break every bone, I'm still standing here
Wait until you can finally see
You know all that we had, it was magic
Now tragically I'm begging you please
Just give me something
I don't need to know but you're giving nothing
I'll take anything at all
Just give me something
'Cause all that I need is you
And you're giving nothing
Just give me something
Just give me something
Oh, just give me something
Oh, just give me something
I don't know how many nights
I can sit here waiting for you to come home
Just give me something
I don't need to know but you're giving nothing
I'll take anything at all
Just give me something
'Cause all that I need is you
And you're giving nothing
Just give me something
And I don't need to know but you're giving nothing
I'll take anything at all
Just give me something
'Cause all that I need is you
And you're giving nothing
Just give me something
Just give me something
Oh, just give me something
Oh, just give me something"
