,1UMJ5XcJPmH6ZbIRsCLY5F
1UMJ5XcJPmH6ZbIRsCLY5F,0.0
6D2ZD1yIFU1c1R7GdHsrtD,1.9198058300041572
5wPUcLaC9VaAi2xx03Tazu,1.9345297201061262
7lriEP4hVzkqlHXmKRTnhR,1.9467933574945484
59SW7roE9fhRn7vCE3fNii,1.9889760454060652
3LdHeVhIzbjrdCWhzrvVuM,1.9950389174699814
4EC81w5nKG5tZlkHyKT2vO,2.006840423066686
4KcMrJ5PNTp9xUGOrRJIlM,2.0111438621096296
02Bj0KWmT8OznkcfKyDSDc,2.020738320453658
6G7URf5rGe6MvNoiTtNEP7,2.0237046826010747
1pSIQWMFbkJ5XvwgzKfeBv,2.0282764679289604
00nKdBKPs0F7nJ0xzWbccg,2.034239418766215
3w2Q7jDtkP5aNIvW8UJpFn,2.0520273647564
6uLumOytyfcMIab643YuHA,2.0593276293800002
6YU2t4IIDqHE0rbCWvEURA,2.0597666404585797
7ySbfLwdCwl1EM0zNCJZ38,2.0670821848439025
7gI8dIpsIjhkQTRbMnf0Zl,2.0698980406149827
48nnqkmwmjZ7ohyShSyKAm,2.0756609376221857
4BiiOzZCrXEzHRLYcYFiD5,2.0777019004230994
0VYv3TN9UjT8WEYXiZANJF,2.081992231983352
0tHbQRjL5phd8OoYl2Bdnd,2.0898784514970283
