,1au9q3wiWxIwXTazIjHdfF
1au9q3wiWxIwXTazIjHdfF,0.0
5Y4KPoGudwsnrNWtWXrcSi,2.543806287186877
0YywjDvFudcaHG74NuWISy,2.6076661107381267
0VynP1BIPpD4yvZmxrwi9e,2.6106718588578994
1NgCWYuBLfqBDA3b8MgSVU,2.617424481611947
2yrTLEzRVYrdt7lZomgs98,2.6274560359293737
2btp3MGBPjqziVdLA6y9zj,2.652199902963019
0uIGzK6ukV0A5yWoCxPkRL,2.669436544513834
2fhwvSptDeBj8Yw9FufioZ,2.6698844242722344
5ddXMXmXZ2FN4iliTG20nO,2.6749675455221245
4VBNdFbYwM0pZzeVLSUarj,2.690612079738957
4hIzUNbS7khuw9BvKyvGTo,2.71372341979805
2FZo4dT395lkdb0ntNOtMz,2.716601768522662
44yi3VSeP3uWM7A1OtYm6Y,2.7166162830693588
5EYrDfvpGNc6P2x1Ask1SJ,2.7186624130837447
3hzKGcILdE4296zSpPaphU,2.7239714531309334
5ECJyZc2IJxCcsJAKXmE3Y,2.7239714531309334
3HkrEKcOPMBmUemERvy8pq,2.724474969187668
1VZLEW5ZfcAbKZ94XQiSZF,2.7285674386927172
3VPfc6jUrM7IvgOs9z2jqT,2.7298047476505816
6jH4bmYIRZpur97sZZAV4m,2.7308213941822514
