,1fLlRApgzxWweF1JTf8yM5
1fLlRApgzxWweF1JTf8yM5,0.0
6D2ZD1yIFU1c1R7GdHsrtD,1.9884461994506113
5uClqnsvwVKrWg39vuRMJg,2.022687803862622
0ye9d7udmu8c1r333w3cEa,2.0285039566761265
1HNywa8Bk0TmzRwQrzhtPo,2.0637204414998824
18gcgxBSF2UUAs32mHWwen,2.0641992704969603
2cdMeMq02C8OYHcMqm1OW5,2.0733356274915313
5GqdHpVk6fVjzsPTv3HUhE,2.0842802157656064
5o0iUgoa6t7cHWIZfqnKNh,2.1257692196437192
5wIXla4rVSXjK4bpi6ZwnH,2.1344241973558318
7HZx6xnAjZjKpbFn9AcmQA,2.137401203009171
3tw7RtgcB2E9lofmRdZLAx,2.1505311455677742
3DCqtMFJtMHMVXSbZTcSjZ,2.1538301220638276
7DJmn7YiwwpU2QTwycq6Lt,2.157898955743509
3udju5u3FFn03eSfGfrWFN,2.1584285572318143
3nIkuSK2a9ROaMGSm82rvO,2.16117951011171
2TezZTKVASPv5htyXo5G4T,2.1663028207273887
4vCL6z6O4bnmCI4IcktEmS,2.1704262342685485
5xh8yaN8U7H0nkkesxUax4,2.1742052328981516
4mutzbUMVDO8eQXzzCp94J,2.17595530572078
7hPrWUKzS3a3nnPQGbj1y5,2.1794061101958997
