,1pSIQWMFbkJ5XvwgzKfeBv
1pSIQWMFbkJ5XvwgzKfeBv,0.0
1UMJ5XcJPmH6ZbIRsCLY5F,2.0282764679289604
6D2ZD1yIFU1c1R7GdHsrtD,2.0300418426825555
7gI8dIpsIjhkQTRbMnf0Zl,2.046300759349403
4aebBr4JAihzJQR0CiIZJv,2.070480068635163
6RFhskPzAjQd8Z184DPZKD,2.076414938560605
2x1Mo4Ok627VFTqR5XWJmg,2.084822679229776
0ye9d7udmu8c1r333w3cEa,2.101321540884139
59SW7roE9fhRn7vCE3fNii,2.1064978277468787
394hU2YNpI3cotY8NZCmpI,2.107508211280964
1dVXpeJQI9K2lsWx5bAEF0,2.107681570791973
5OiaAaIMYlCZONyDBxqk4G,2.115362921667728
5wPUcLaC9VaAi2xx03Tazu,2.146353706446341
3Ns8AyoKZ12U5E0qtwquM9,2.1601396839509954
3I7OmVsk4Hm5LBbs2GmhlD,2.16682917721193
7kHU3Re5YQd45PLwGRbGvE,2.1797556045440167
6ZgaHk6yrHBbHrbTmKl2pZ,2.181375096794078
0hAMkY2kwdXPPDfQ1e3BmJ,2.1821398793538767
48nnqkmwmjZ7ohyShSyKAm,2.182689269710898
4esS3584y3Mjvbqg0FE6Uj,2.1845292754787553
3RgR3cFZ6xh7MlB9DURK6e,2.187010359606247
