,2W2eaLVKv9NObcLXlYRZZo
2W2eaLVKv9NObcLXlYRZZo,0.0
3UWjRHybauXUnb9AGp59gI,1.6485496785170155
5m4X2HQ0eiviwuKPoREanT,1.6826262863837176
6ueKoWHXKBwsnhFjTORjHl,1.6840391377160655
4LBJyazzdzUGcH9Zw5pWuB,1.7380648466787432
50wUeScMbLhQKBMJe6cr0x,1.7655133539144539
0FRCItQsKhyIge8dB6v81o,1.7834976032422116
3gl1RenSXn1biKijZ1qvky,1.7876188039545855
38m7S5viVdH0RIf1jGuQOA,1.7881096664083234
2TWSilrWcTrgVKcP8kfEfg,1.7892083194958932
2MHFmOFvXC1m1MwAwjsDpw,1.79061092954934
41GKe1Q2JojWTcCflcZLzA,1.7919960477634502
3cPOyCp3luWrEQwWM3C5TK,1.792794148105361
1BnJGRM23RWirvx7kpL6Sp,1.7984672476991623
6o4nVtywF4F75RkOcDxrtd,1.8041375446151624
5sEovJiXqhiD1lzptxnttF,1.808060000968369
26z7KohM7bJTyP5z3ETe24,1.8156507644128606
3ilPTn5Jj7k4cP97wllXoh,1.824112447243181
7C2mabQpdnNZko0IuyHqAp,1.833830639254597
11SB3yglKUxKMidlcb5vmz,1.8392821846549061
4Kt3cZW0z7wZFGMl7k1lAn,1.8393230483687482
