,3S0OXQeoh0w6AY8WQVckRW
3S0OXQeoh0w6AY8WQVckRW,0.0
6taGfamu0Y0cSuWgZ969UC,2.0195742188077412
6wOr3b3fPUoiUkvto1ab4q,2.116577376797919
4KqBoq7MoDJeVsvUHTjXCM,2.1287661032625183
26cOIhUpwYFkH6sWayGLuN,2.1392340456621004
7sPbp28sThpD4opAhQsMTx,2.1499669948355766
6O0AQznbWNrRNPnEY6iWGA,2.1550333059781113
2ebpxlqluo8isfWJWrJeMv,2.162673453954139
4gdH8mfTgmEgFyts0eq2a6,2.180045957855918
7daBwTiPNOVgoMUG4SICgh,2.181642304517208
73ql1yhK21ea2u2XbaIyqL,2.1952651566951333
5ov3wsjZkqpRtPZcCobLG6,2.1975896503168904
6J9OWimIY9mZ9Bsz6HIh9I,2.2023718810466084
5INKIG4QNuD4xq7qZcfPzp,2.2111437944393226
7ahUp4ahvEBztaCxTXXmu2,2.211764829330689
5X0avuWAAeVQIQ8uzYKhNv,2.220106676052552
30O2LILRUDHmfLa9scND3k,2.224972425818564
46MflIkesm3B6GVp1uLW4e,2.2260727083613663
50FJV3U4K9reve96pN45cq,2.2318485567094704
2gxqozTaq2NYylvS8jd57G,2.2320756598919207
4ash6uB3gtnOoiSJUFhGDW,2.2365935588298367
