,3wF0zyjQ6FKLK4vFxcMojP
3wF0zyjQ6FKLK4vFxcMojP,0.0
1HNywa8Bk0TmzRwQrzhtPo,1.8870604739735597
2pobfLH9dJs6mVTQlLEkx1,2.0890419717957043
7qjbpdk0IYijcSuSYWlXO6,2.1917360119884783
4oFH5vGRucmVFp9mhWDwSo,2.201748131470955
6uLumOytyfcMIab643YuHA,2.202856284550958
1UMJ5XcJPmH6ZbIRsCLY5F,2.2080275377086926
0VGEITKt7tVbr15w1hUqSC,2.209103651264191
7rJ6F4JGL9tixHzu0Y8fiP,2.2107895645238824
5WqcLwanx87IgXy3WxYxY2,2.23142024535627
3IR2OrBS1mdp6kyFiZJrZ4,2.2473164342755143
6G7URf5rGe6MvNoiTtNEP7,2.2491142889231392
0Qw5Bv1MSGeYA23mbLw2D1,2.251888002432848
5uClqnsvwVKrWg39vuRMJg,2.2523610425749694
2GEbT7c42a421zC8iYACRS,2.2653986198034626
24AljyKuKotlF2cypaBler,2.266205841525213
0To5xGI3oTXYD20z7pCQ0n,2.2667772766434533
7gnpun7jTjILqKuRvilQjM,2.267815819045707
5zHnJf3q8i6nmPi8CtHCKm,2.267815819045707
70ihkWuXHvsWs1a2NByYJ8,2.2719964124354686
7DJmn7YiwwpU2QTwycq6Lt,2.282907528853469
