,4FCb4CUbFCMNRkI6lYc1zI
4FCb4CUbFCMNRkI6lYc1zI,0.0
4gDBc1RxPAvinJrZzZ9nYX,2.3711816189876167
3FLtmn8HRQJMThfQzq0pTl,2.4309044462545106
2BT3luyOePuRIR1aZ6aEDK,2.46884407597045
6FGfXPvZ8sMpq1xd75FHXp,2.5209783101527643
3CxEwJdQOrHWzr7F2ZxP2g,2.527029907964845
5e5NGCN350zUvrNwQKN8d4,2.5591998565328367
2igfp8RJrZCJwJa8DYBApH,2.585571426193942
1gePK7D2pfZXYyEH6jR64Z,2.5893958557508205
6A4TEPVYAmMIexKFZYsiph,2.596825657801796
5pztwVl6brVgqYjYQ93us6,2.5981626624640066
0dJL53qS9Vc4hLONKPJ7tj,2.6002669397710108
6oO10y1h2VyxJQfomG4CtH,2.6244233157290933
6F18ZWknjidRGotCPw2vOe,2.6319600352159744
2GEbT7c42a421zC8iYACRS,2.634198180291097
5U6WGP7J9SNH8OHBlg95A8,2.6477928354107165
4m4lcGLd74L2XtwLxzAEPW,2.655160098624838
1V2woX1DSh6bhfvLigBKu2,2.6586742042727582
2q1KVUPMs9unSAKHFAaQFg,2.659798895853159
6knpk0XMCrNQtQmRU6fS6E,2.6747950933007263
3b5Li4QKDVBx1x7fQuu54a,2.6757636433932803
