,52UWtKlYjZO3dHoRlWuz9S
52UWtKlYjZO3dHoRlWuz9S,0.0
5voU7QFyI9iXw3PZILBbyh,1.8035561206595259
31fLslS3QRCSKwTJ3RiMSW,1.98989770724313
1nO357XsHkXI63l6Sn2dJd,2.0848195432421086
7J6Auul8h9o1P8JacRy0ly,2.086127087150006
1yqMgZNrevsWMLWfO2PRp5,2.0940911040838293
1T7C5hQqIA7O4vgkXWaUTJ,2.1245357321844707
4W4epbCvrPEes3IzY27Nso,2.135678086583285
06whM3ZB44hpOnF55ysOpc,2.172969647087601
153rxo1nisvrb9z6bJwFyU,2.1998605128507625
4cGNEByoQ3adGfq9rFGH2t,2.2131406179120083
5NqYo7el2XVOHXkMSrS9jH,2.2198574867149703
7FzDV525bb2RtAGwjGYqwD,2.2334827853332535
4zWhyw2S48Gt6ij1psUhYW,2.234996208410915
23DfvYoXdZ6eSuN5MUpZgQ,2.2368296321758385
2IemL6UgkbZXdpHNhsO1Dp,2.24351960917477
0UvVZwaKrd4JRXS03D59p0,2.2437327080554073
6QEuuJ8Ohusd0vW2EZJWvj,2.2442605499672053
5eP4WD4hvS9sYpQukzX3QG,2.2448641947354018
4WTEEdY8026kdpoH9UUjxZ,2.247309155972457
7fpA9YE636NyRXnP9OhKTT,2.2511881443770196
