,5E5MqaS6eOsbaJibl3YeMZ
5E5MqaS6eOsbaJibl3YeMZ,0.0
2W38WksrVoQuTWSS98EhEg,2.263960396093376
6kIe2bKcvHPINOSbjTwkCq,2.270113113466769
7gQ7DfSSc3b8e4cHtFnDxu,2.294233171790523
06VlO8s3p1diYRtLeiZ5X5,2.3041940977482893
2p6XlybsJTLIj6GiYSMDVQ,2.3558102049624066
4klWVvddYrsMSlHEnyzCxl,2.360497068432426
2NjO4HctLdKKD2tH9ff8hx,2.360497068432426
28wtawTMXtDrO9lMuBYCah,2.3923540324288033
6AzoBXNEFIIWO8lSmvXRn0,2.3940071136862353
5K7RDuh2JihPUScuOB76Sq,2.3953700505531494
4jpaTid9vSFc3fV1WOfitw,2.4011576331199582
6l2oxFqwYsLT2VRy2Hx5ri,2.4252029885944166
0sFTeQMlO1jJgxyfdDrAZl,2.4406087980442437
6LApXqlEgoA9OyoMATUyuI,2.453993626500661
53t9WEdHQFT3XQeY1j68Vr,2.4615933156562497
5zaDOajG0eKIKSqUZsQvJS,2.4653785192039765
3Rw6shHCDFRWv3g2WmEFKv,2.4705925544704344
536bkD2pabwDI6kHCzHv5T,2.4713751745664925
75GGj5LsU7t5JqVBl95v8x,2.477239518250543
5y8hl8FzwzRgtgRgAU9pu3,2.4778574876623556
