,5WLSak7DN3LY1K71oWYuoN
5WLSak7DN3LY1K71oWYuoN,0.0
4RL77hMWUq35NYnPLXBpih,1.7837394250197176
4djz9dpEMMCYwkADOvrCZL,1.9327235291935945
4wDSofUnHomqRK8n5GHGai,1.9487523477273743
4JwOBVIlajGrkE0LXhAFvZ,1.976381830035416
1tWvhDzU8FSJSoc3zWniwM,1.9876260876803449
4bPkBHKLKd9WHizsvM2zV3,2.0025953193917494
4RKkYBpfzwdUecdC1XxUvs,2.044015880640163
2W6kVW3UZ3hwr4qbfCDp6B,2.0653689185615796
77cfHbRoHkHelQFWODXlVr,2.066987450512236
5Y8IMaCAPl996kjC4uo9Tx,2.094394926060248
4fpw5HAONttQfdqEtAhP0f,2.0949358053676908
1KDI8xmjrDyFl863SWPK7a,2.1103462045521066
4nDEirAHqPKVfakSlvJOCn,2.1113074614447234
0cGHpVKe23cOiXnown4yDi,2.112700908251737
4WTEEdY8026kdpoH9UUjxZ,2.122695439383766
0cCJ8mOuvpqb3Ic2FAooW6,2.1325639054119057
5J47US3xIritcjXjVVFzMh,2.1376687932178666
2zuOOTaQm1nO2rquzEJRmb,2.138915106544467
3IIKIDmoMgNnxx7c6OTTQv,2.1490041486146114
6gOh5evhaZga7Frki5A5r0,2.1503316674849793
