,5b88tNINg4Q4nrRbrCXUmg
5b88tNINg4Q4nrRbrCXUmg,0.0
21N2YK2VhdEqHoY433WPQF,2.292762848297214
4dzhjz48caiKIqij76pKH6,2.4120115138295186
4ZJPwET9Jrgpkqi4Vo3Yg8,2.4256942312811907
7xyvMaJZA7thwtPQv6OCbc,2.4382399747144836
29Srmzqyig5Tg5EitFXsb8,2.450616005572134
6Na5uKk5SsqZimk0hAWo8y,2.451612057175728
4yZKWgjUG6KvQ1F8V0Duxw,2.4601153210495963
4uoumbAMEMaKdtiv763jKz,2.4603989300838682
5RJhYnzGZlOfmD4QmWnU8o,2.4711211698066275
7LjkxXHsHDBiExi5ALZLI7,2.475834332007029
0XcLiStVVOAiZ5a3cBtEqv,2.477350769970562
0S4RKPbRDA72tvKwVdXQqe,2.493201999690325
6yL2kTsdVwYnGwPkKGtMd5,2.4949285765537743
3LIGS2KScSoi6O7XT0NQRv,2.504607896762654
2EgIkNeq1Tsx1JamvF6JWg,2.5088890582244865
6KfZLbHhQ2qwG8H5lIYqUH,2.5134027601746927
0Bb7PJp9s4Dmx6LbLh8uKc,2.5291271996030917
31adnbEEiHwy6DDQ82F3HP,2.5313547082948564
6gP19WE3a58uwWKaGlaKuo,2.5356677203769196
7c7GjJ06qigBbOdwXIFvbD,2.545803709787058
