,5uCax9HTNlzGybIStD3vDh
5uCax9HTNlzGybIStD3vDh,0.0
6vZMx7B4hDTW4QVBx9su0U,2.077296378100274
5voU7QFyI9iXw3PZILBbyh,2.2427574475952294
7hAZB6Q4sFSYF8JF5OYcJV,2.2842929651016295
1UMJ5XcJPmH6ZbIRsCLY5F,2.28907170825193
0bBerDpgKMPMi3hvB1hv2S,2.4103552022089882
7ajLJTOLGdjvXuXtufLqFD,2.4282138850393684
3gEtuTSd1K4XfSp2ZoQG44,2.4295514144849344
39mDnhzALmRUS3T3nJg0Gh,2.461400845974421
5OiaAaIMYlCZONyDBxqk4G,2.47142110108186
34vTFoYaYFJ6HRXoONcbdT,2.4717863120808206
2lqM0mzXPyJVMhHkGpVAMU,2.490925119214129
0x6BxubgPxIrBVxdptCd2G,2.5072206470354623
3kZUXRHM7uuC3zKVcgRxqt,2.5246243070232777
6cX1zmXxkfhSvHW82U5CW6,2.5260862838796903
7apwDovXT0NUglP5Nxtiia,2.526338967903978
4R6lfH6Veeuk5T7tgAoFp5,2.5274198494966362
6NgbuHxKfp8xMadGf6qPYk,2.5384025931982457
6D2ZD1yIFU1c1R7GdHsrtD,2.5397395186919143
0VYv3TN9UjT8WEYXiZANJF,2.547406163389241
5ZxIQNPTQmxsgjBdf1ZmmQ,2.550183233560179
