,6G7URf5rGe6MvNoiTtNEP7
6G7URf5rGe6MvNoiTtNEP7,0.0
1UMJ5XcJPmH6ZbIRsCLY5F,2.0237046826010747
3bMIwStTKsCHjfcPCzLpE0,2.230029205474199
21glyDZgmAOLyKMWZVf1hw,2.2378218703260253
3wF0zyjQ6FKLK4vFxcMojP,2.2491142889231392
6CcJMwBtXByIz4zQLzFkKc,2.249881356612202
7lriEP4hVzkqlHXmKRTnhR,2.261225642474575
3Fj47GNK2kUF0uaEDgXLaD,2.27830696118041
00nKdBKPs0F7nJ0xzWbccg,2.282763207302921
0yhxBvedRdGxsPZHJNI4VA,2.291499396298141
7xrwGUa11hnnxXWeTIzcHf,2.32255561407301
4DPeoiIGRS5hWe3cliQbRH,2.3311291823133806
02Bj0KWmT8OznkcfKyDSDc,2.3390062167990484
1dW8fVf7Tln1uWNdpKou0B,2.3396167684468083
6rsKeGcs5kLKCnLQGUM0Bo,2.33993528885066
3olJJc8MQ1kYi3xqHxzqtN,2.346791698993406
38Mcs20e1U7qkIPGj4udPF,2.348264106649689
6zR5rIivVSMFkgzIkVp8l9,2.348733076975064
3EwQuOcTRtLRgcYPwGnLM9,2.3715338137638384
4xxZrLv85WVn0MfUKfcoJZ,2.372043853557579
7qK88XdPut8m3pKKuoyzHO,2.3746528053824574
