,6QPKYGnAW9QozVz2dSWqRg
6QPKYGnAW9QozVz2dSWqRg,0.0
4UYpnpm7ZDdo0hyyZNXSpl,1.8335424639250957
3w2Q7jDtkP5aNIvW8UJpFn,1.9679873978330054
7gI8dIpsIjhkQTRbMnf0Zl,2.0264245464044577
4wjI7mkqh0Ivjj1q3kE2J3,2.061111654004664
0UiNjVXzijaiX0uKPisDT6,2.1134387356036197
6XNui7ZUhCAZq3oKHUmDeA,2.117523095494695
0VYv3TN9UjT8WEYXiZANJF,2.1177279022219113
6wcWYONsa1wGcmhu3WX7SK,2.1608079905633653
4BiiOzZCrXEzHRLYcYFiD5,2.1782657479365137
3vaEUJwqNMJHuNJEeW3DGc,2.194089476256882
12wAQ0HNbJWVrVJA3woXDb,2.2007586998881212
2GCCFm4IUNvWLyPEdk5U73,2.2147430104740113
1UMJ5XcJPmH6ZbIRsCLY5F,2.23297064786586
4xnYVh0vKAk40sBp3CZgw4,2.2331953891980993
6pQadiopoIsS4x78tjSkJt,2.2360726015012067
2mTdLqlnoccdoyKW2wVFJl,2.2384496729352295
48jd71gnyIlLdXOYX2qJ6p,2.245120841241261
2UVPkh6lrARjYDK42jC6kD,2.2553078875483585
5voU7QFyI9iXw3PZILBbyh,2.2567505496000972
3XQDvvdeVznf9GDYCtpEVq,2.25990419786052
