,6rUp7v3l8yC4TKxAAR5Bmx
6rUp7v3l8yC4TKxAAR5Bmx,0.0
3wqPinf9whHeT7y9EApaPM,2.502513626320255
4l2Edgdj4vla02GCh7YyAv,2.564838374423677
5gPvJIm1lXEKiefB0pFmxs,2.6073915481467096
3Fj47GNK2kUF0uaEDgXLaD,2.61505393054436
1qFC4ot7cbcSLjY8uCKEdt,2.638846057736058
2NWpl1PcsgTDECFtOee4V2,2.653704413660843
0KBrrDeIdYNQgeK46AgMEY,2.689221594387394
5BCwU5Bdcr3g0GqrqJ3FWg,2.7451175532560073
0EfsDEYaSjGYd66Pr881nq,2.7459685898800803
1pbue6khgOfJVEZ1zoFTXL,2.752899288408799
7xyvMaJZA7thwtPQv6OCbc,2.7574106051129816
1pHELafx5XouPAJDU0YHMX,2.770799826407455
0aeZzfSoZAcETjba8MCvco,2.772240083503862
4VDbibQjEBIK74HRVTxO07,2.7753678072909684
4K9xSSAsjDeMM4IGU61wSu,2.7759900463722302
49sqQIS868rKIy5NBUmJV6,2.779476806302643
0iimfONtiPErGN4s3ROsMM,2.782517341422749
0dRhSF9LV0HR8Jwd3MMMKJ,2.7896224204909466
4sJgJzUf3ak55g4saTTXOy,2.7896338090053043
2sRCL7XSiyN29CX9fIefq5,2.7959078883169575
