,7qjbpdk0IYijcSuSYWlXO6
7qjbpdk0IYijcSuSYWlXO6,0.0
6uLumOytyfcMIab643YuHA,1.9055830782215477
4oFH5vGRucmVFp9mhWDwSo,1.920239906951424
39o2EPjZ1BAIFlSdJeX0jg,2.00134769156095
0To5xGI3oTXYD20z7pCQ0n,2.050375045894781
2oG793j2f1XoHkxURBtHyc,2.064481959909035
7BxQJTzBjhfpx8PVT1qASg,2.0683890844803337
6CslDj0QtrjM27epCh7xVo,2.071880855837706
3CjTfVN316nCl2NRIVaAYV,2.077424244379725
0OcTupzUqeoSWXx1HOuHfY,2.0777765892140114
40WWDaK7arn7ilmufbHmdo,2.0830497755073227
038Vsed713O0nzsuN4UOBG,2.0931811667023767
013AKdJ8Xw3I61kSpwvnEN,2.102796836476581
2k9VkRK3xRW1THgajCC7Yt,2.106129234400786
1T2xJAu9rV3BCceu3YXkRw,2.1072970768053714
3rEkgHocUFNhVB3b7arnTf,2.109925191218761
7lriEP4hVzkqlHXmKRTnhR,2.112301816064859
2mUFodFEiKVMINyXAYKqAb,2.114585020434605
3UaFnnUo80mv431WHEzaj9,2.115170507016134
0VGEITKt7tVbr15w1hUqSC,2.1191874580014565
5iqdPeaqFcNeZMObcUjqFU,2.128298843370642
