id,a_top1,a_top2,a_top3,a_top4,a_top5,a_top6,a_top7,a_top8,a_top9,a_top10,a_top11,a_top12,a_top13,a_top14,a_top15,a_top16,a_top17,a_top18,a_top19,a_top20
1au9q3wiWxIwXTazIjHdfF,"['5Y4KPoGudwsnrNWtWXrcSi', 2.543806287186877]","['0YywjDvFudcaHG74NuWISy', 2.6076661107381267]","['0VynP1BIPpD4yvZmxrwi9e', 2.6106718588578994]","['1NgCWYuBLfqBDA3b8MgSVU', 2.617424481611947]","['2yrTLEzRVYrdt7lZomgs98', 2.6274560359293737]","['2btp3MGBPjqziVdLA6y9zj', 2.652199902963019]","['0uIGzK6ukV0A5yWoCxPkRL', 2.669436544513834]","['2fhwvSptDeBj8Yw9FufioZ', 2.6698844242722344]","['5ddXMXmXZ2FN4iliTG20nO', 2.6749675455221245]","['4VBNdFbYwM0pZzeVLSUarj', 2.690612079738957]","['4hIzUNbS7khuw9BvKyvGTo', 2.71372341979805]","['2FZo4dT395lkdb0ntNOtMz', 2.716601768522662]","['44yi3VSeP3uWM7A1OtYm6Y', 2.7166162830693588]","['5EYrDfvpGNc6P2x1Ask1SJ', 2.7186624130837447]","['3hzKGcILdE4296zSpPaphU', 2.7239714531309334]","['5ECJyZc2IJxCcsJAKXmE3Y', 2.7239714531309334]","['3HkrEKcOPMBmUemERvy8pq', 2.724474969187668]","['1VZLEW5ZfcAbKZ94XQiSZF', 2.7285674386927172]","['3VPfc6jUrM7IvgOs9z2jqT', 2.7298047476505816]","['6jH4bmYIRZpur97sZZAV4m', 2.7308213941822514]"
1ExfPZEiahqhLyajhybFeS,"['4hwIdoCJDUXBxpy9Fp3C7n', 1.709194740264543]","['6JfmjCGy7nYztlgmWrXdsE', 1.7904027621129224]","['2MHFmOFvXC1m1MwAwjsDpw', 1.831302015855777]","['0nxBdJl2uCLMAyJm0z7a6e', 1.8605954985906583]","['3DedixZcTdBl7rSjuexrVA', 1.8618060142718054]","['7bLbuKipY5RHQW9q2xhxoh', 1.9064768258845677]","['6vENFEcoDykmITfyGBu8Zn', 1.9339658864118199]","['3R73Y7X53MIQZWnKloWq5i', 1.940877549612797]","['2URDbWGmPz3vhagl25p8OC', 1.9423641450787559]","['2Otog0kg568dNJf7HC60JK', 1.9491952500816196]","['4qKn9uhP0rsrEknDVsimHV', 1.9533216950230028]","['6AIccJIWHGK26xi34FAkwl', 1.9658082725003816]","['24p7XIQ1B1JeysNHQilpmc', 1.9748371221154288]","['7BynqHgYlWeLRFETJuoipQ', 1.9754045779301213]","['4moFg5eyN4zeN9u9g4Xgb4', 1.9841658677560727]","['1WlU4jsJ8AoTB96dgd8LJA', 1.9861037529362096]","['4l8w4n7LMANl0YR4ZZLUD8', 1.9884747824268376]","['0YcoYLnG1MxZrV5SEoKyfn', 1.9998635298032894]","['6ueKoWHXKBwsnhFjTORjHl', 1.9999337325433515]","['0MAior6fZ9hfPgzjphQLXk', 2.0029318995953056]"
1fLlRApgzxWweF1JTf8yM5,"['6D2ZD1yIFU1c1R7GdHsrtD', 1.9884461994506113]","['5uClqnsvwVKrWg39vuRMJg', 2.022687803862622]","['0ye9d7udmu8c1r333w3cEa', 2.0285039566761265]","['1HNywa8Bk0TmzRwQrzhtPo', 2.0637204414998824]","['18gcgxBSF2UUAs32mHWwen', 2.0641992704969603]","['2cdMeMq02C8OYHcMqm1OW5', 2.0733356274915313]","['5GqdHpVk6fVjzsPTv3HUhE', 2.0842802157656064]","['5o0iUgoa6t7cHWIZfqnKNh', 2.1257692196437192]","['5wIXla4rVSXjK4bpi6ZwnH', 2.1344241973558318]","['7HZx6xnAjZjKpbFn9AcmQA', 2.137401203009171]","['3tw7RtgcB2E9lofmRdZLAx', 2.1505311455677742]","['3DCqtMFJtMHMVXSbZTcSjZ', 2.1538301220638276]","['7DJmn7YiwwpU2QTwycq6Lt', 2.157898955743509]","['3udju5u3FFn03eSfGfrWFN', 2.1584285572318143]","['3nIkuSK2a9ROaMGSm82rvO', 2.16117951011171]","['2TezZTKVASPv5htyXo5G4T', 2.1663028207273887]","['4vCL6z6O4bnmCI4IcktEmS', 2.1704262342685485]","['5xh8yaN8U7H0nkkesxUax4', 2.1742052328981516]","['4mutzbUMVDO8eQXzzCp94J', 2.17595530572078]","['7hPrWUKzS3a3nnPQGbj1y5', 2.1794061101958997]"
1pSIQWMFbkJ5XvwgzKfeBv,"['1UMJ5XcJPmH6ZbIRsCLY5F', 2.0282764679289604]","['6D2ZD1yIFU1c1R7GdHsrtD', 2.0300418426825555]","['7gI8dIpsIjhkQTRbMnf0Zl', 2.046300759349403]","['4aebBr4JAihzJQR0CiIZJv', 2.070480068635163]","['6RFhskPzAjQd8Z184DPZKD', 2.076414938560605]","['2x1Mo4Ok627VFTqR5XWJmg', 2.084822679229776]","['0ye9d7udmu8c1r333w3cEa', 2.101321540884139]","['59SW7roE9fhRn7vCE3fNii', 2.1064978277468787]","['394hU2YNpI3cotY8NZCmpI', 2.107508211280964]","['1dVXpeJQI9K2lsWx5bAEF0', 2.107681570791973]","['5OiaAaIMYlCZONyDBxqk4G', 2.115362921667728]","['5wPUcLaC9VaAi2xx03Tazu', 2.146353706446341]","['3Ns8AyoKZ12U5E0qtwquM9', 2.1601396839509954]","['3I7OmVsk4Hm5LBbs2GmhlD', 2.16682917721193]","['7kHU3Re5YQd45PLwGRbGvE', 2.1797556045440167]","['6ZgaHk6yrHBbHrbTmKl2pZ', 2.181375096794078]","['0hAMkY2kwdXPPDfQ1e3BmJ', 2.1821398793538767]","['48nnqkmwmjZ7ohyShSyKAm', 2.182689269710898]","['4esS3584y3Mjvbqg0FE6Uj', 2.1845292754787553]","['3RgR3cFZ6xh7MlB9DURK6e', 2.187010359606247]"
1UMJ5XcJPmH6ZbIRsCLY5F,"['6D2ZD1yIFU1c1R7GdHsrtD', 1.9198058300041572]","['5wPUcLaC9VaAi2xx03Tazu', 1.9345297201061262]","['7lriEP4hVzkqlHXmKRTnhR', 1.9467933574945484]","['59SW7roE9fhRn7vCE3fNii', 1.9889760454060652]","['3LdHeVhIzbjrdCWhzrvVuM', 1.9950389174699814]","['4EC81w5nKG5tZlkHyKT2vO', 2.006840423066686]","['4KcMrJ5PNTp9xUGOrRJIlM', 2.0111438621096296]","['02Bj0KWmT8OznkcfKyDSDc', 2.020738320453658]","['6G7URf5rGe6MvNoiTtNEP7', 2.0237046826010747]","['1pSIQWMFbkJ5XvwgzKfeBv', 2.0282764679289604]","['00nKdBKPs0F7nJ0xzWbccg', 2.034239418766215]","['3w2Q7jDtkP5aNIvW8UJpFn', 2.0520273647564]","['6uLumOytyfcMIab643YuHA', 2.0593276293800002]","['6YU2t4IIDqHE0rbCWvEURA', 2.0597666404585797]","['7ySbfLwdCwl1EM0zNCJZ38', 2.0670821848439025]","['7gI8dIpsIjhkQTRbMnf0Zl', 2.0698980406149827]","['48nnqkmwmjZ7ohyShSyKAm', 2.0756609376221857]","['4BiiOzZCrXEzHRLYcYFiD5', 2.0777019004230994]","['0VYv3TN9UjT8WEYXiZANJF', 2.081992231983352]","['0tHbQRjL5phd8OoYl2Bdnd', 2.0898784514970283]"
2W2eaLVKv9NObcLXlYRZZo,"['3UWjRHybauXUnb9AGp59gI', 1.6485496785170155]","['5m4X2HQ0eiviwuKPoREanT', 1.6826262863837176]","['6ueKoWHXKBwsnhFjTORjHl', 1.6840391377160655]","['4LBJyazzdzUGcH9Zw5pWuB', 1.7380648466787432]","['50wUeScMbLhQKBMJe6cr0x', 1.7655133539144539]","['0FRCItQsKhyIge8dB6v81o', 1.7834976032422116]","['3gl1RenSXn1biKijZ1qvky', 1.7876188039545855]","['38m7S5viVdH0RIf1jGuQOA', 1.7881096664083234]","['2TWSilrWcTrgVKcP8kfEfg', 1.7892083194958932]","['2MHFmOFvXC1m1MwAwjsDpw', 1.79061092954934]","['41GKe1Q2JojWTcCflcZLzA', 1.7919960477634502]","['3cPOyCp3luWrEQwWM3C5TK', 1.792794148105361]","['1BnJGRM23RWirvx7kpL6Sp', 1.7984672476991623]","['6o4nVtywF4F75RkOcDxrtd', 1.8041375446151624]","['5sEovJiXqhiD1lzptxnttF', 1.808060000968369]","['26z7KohM7bJTyP5z3ETe24', 1.8156507644128606]","['3ilPTn5Jj7k4cP97wllXoh', 1.824112447243181]","['7C2mabQpdnNZko0IuyHqAp', 1.833830639254597]","['11SB3yglKUxKMidlcb5vmz', 1.8392821846549061]","['4Kt3cZW0z7wZFGMl7k1lAn', 1.8393230483687482]"
3S0OXQeoh0w6AY8WQVckRW,"['6taGfamu0Y0cSuWgZ969UC', 2.0195742188077412]","['6wOr3b3fPUoiUkvto1ab4q', 2.116577376797919]","['4KqBoq7MoDJeVsvUHTjXCM', 2.1287661032625183]","['26cOIhUpwYFkH6sWayGLuN', 2.1392340456621004]","['7sPbp28sThpD4opAhQsMTx', 2.1499669948355766]","['6O0AQznbWNrRNPnEY6iWGA', 2.1550333059781113]","['2ebpxlqluo8isfWJWrJeMv', 2.162673453954139]","['4gdH8mfTgmEgFyts0eq2a6', 2.180045957855918]","['7daBwTiPNOVgoMUG4SICgh', 2.181642304517208]","['73ql1yhK21ea2u2XbaIyqL', 2.1952651566951333]","['5ov3wsjZkqpRtPZcCobLG6', 2.1975896503168904]","['6J9OWimIY9mZ9Bsz6HIh9I', 2.2023718810466084]","['5INKIG4QNuD4xq7qZcfPzp', 2.2111437944393226]","['7ahUp4ahvEBztaCxTXXmu2', 2.211764829330689]","['5X0avuWAAeVQIQ8uzYKhNv', 2.220106676052552]","['30O2LILRUDHmfLa9scND3k', 2.224972425818564]","['46MflIkesm3B6GVp1uLW4e', 2.2260727083613663]","['50FJV3U4K9reve96pN45cq', 2.2318485567094704]","['2gxqozTaq2NYylvS8jd57G', 2.2320756598919207]","['4ash6uB3gtnOoiSJUFhGDW', 2.2365935588298367]"
3wF0zyjQ6FKLK4vFxcMojP,"['1HNywa8Bk0TmzRwQrzhtPo', 1.8870604739735597]","['2pobfLH9dJs6mVTQlLEkx1', 2.0890419717957043]","['7qjbpdk0IYijcSuSYWlXO6', 2.1917360119884783]","['4oFH5vGRucmVFp9mhWDwSo', 2.201748131470955]","['6uLumOytyfcMIab643YuHA', 2.202856284550958]","['1UMJ5XcJPmH6ZbIRsCLY5F', 2.2080275377086926]","['0VGEITKt7tVbr15w1hUqSC', 2.209103651264191]","['7rJ6F4JGL9tixHzu0Y8fiP', 2.2107895645238824]","['5WqcLwanx87IgXy3WxYxY2', 2.23142024535627]","['3IR2OrBS1mdp6kyFiZJrZ4', 2.2473164342755143]","['6G7URf5rGe6MvNoiTtNEP7', 2.2491142889231392]","['0Qw5Bv1MSGeYA23mbLw2D1', 2.251888002432848]","['5uClqnsvwVKrWg39vuRMJg', 2.2523610425749694]","['2GEbT7c42a421zC8iYACRS', 2.2653986198034626]","['24AljyKuKotlF2cypaBler', 2.266205841525213]","['0To5xGI3oTXYD20z7pCQ0n', 2.2667772766434533]","['7gnpun7jTjILqKuRvilQjM', 2.267815819045707]","['5zHnJf3q8i6nmPi8CtHCKm', 2.267815819045707]","['70ihkWuXHvsWs1a2NByYJ8', 2.2719964124354686]","['7DJmn7YiwwpU2QTwycq6Lt', 2.282907528853469]"
4FCb4CUbFCMNRkI6lYc1zI,"['4gDBc1RxPAvinJrZzZ9nYX', 2.3711816189876167]","['3FLtmn8HRQJMThfQzq0pTl', 2.4309044462545106]","['2BT3luyOePuRIR1aZ6aEDK', 2.46884407597045]","['6FGfXPvZ8sMpq1xd75FHXp', 2.5209783101527643]","['3CxEwJdQOrHWzr7F2ZxP2g', 2.527029907964845]","['5e5NGCN350zUvrNwQKN8d4', 2.5591998565328367]","['2igfp8RJrZCJwJa8DYBApH', 2.585571426193942]","['1gePK7D2pfZXYyEH6jR64Z', 2.5893958557508205]","['6A4TEPVYAmMIexKFZYsiph', 2.596825657801796]","['5pztwVl6brVgqYjYQ93us6', 2.5981626624640066]","['0dJL53qS9Vc4hLONKPJ7tj', 2.6002669397710108]","['6oO10y1h2VyxJQfomG4CtH', 2.6244233157290933]","['6F18ZWknjidRGotCPw2vOe', 2.6319600352159744]","['2GEbT7c42a421zC8iYACRS', 2.634198180291097]","['5U6WGP7J9SNH8OHBlg95A8', 2.6477928354107165]","['4m4lcGLd74L2XtwLxzAEPW', 2.655160098624838]","['1V2woX1DSh6bhfvLigBKu2', 2.6586742042727582]","['2q1KVUPMs9unSAKHFAaQFg', 2.659798895853159]","['6knpk0XMCrNQtQmRU6fS6E', 2.6747950933007263]","['3b5Li4QKDVBx1x7fQuu54a', 2.6757636433932803]"
4RL77hMWUq35NYnPLXBpih,"['2UIpBt74IpnaIIzPqRTy7A', 1.7355253046993935]","['4wDSofUnHomqRK8n5GHGai', 1.7361386466212791]","['4N4lcyJb7enxrNdbNajFHv', 1.7601982111474161]","['1FtCIt8zecbYf4mKvqJ029', 1.7725112255473303]","['3LKGi5hi5jPeQLJQSi9N8E', 1.7791946886622663]","['2vaoKrieU38LtJAYWXpeju', 1.783697205231213]","['5WLSak7DN3LY1K71oWYuoN', 1.7837394250197176]","['4u2JQ1rzBirJVn6Ka2aQ5l', 1.7913378380113703]","['74nRP0WLAwoIVavzYDoHty', 1.7966988956824423]","['26Lf790qcmVs1pqVaBrGZ0', 1.807688739344282]","['4g3ULPAoEln8FCONL7cwsx', 1.8184985725139915]","['1L209N6WHxTyzljrKhRKN4', 1.8389628963202622]","['3hCMJXNzBc6vuotESHGqKp', 1.8396997255621474]","['15RP4bsiHwMV9wbhR8RHEa', 1.8452882098972387]","['1khfmZTlbEsCi0VXylEJSQ', 1.8483214081561121]","['7IuEjrhTNqxzm3dcINDH7V', 1.8554735787762258]","['3CJdDqehVinU810wsTjt6v', 1.8588006771292866]","['2xdlISXeaGfWKE8eBEFyUh', 1.8665490669739893]","['2lupLXIjueA5t4Pq4XUNcG', 1.8666497300582918]","['4CqC0TRduwFc3pcdgLazqY', 1.867292881856258]"
