,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,you,still,girl,got,time,know,aw,yeah,lookin,something,stop,play,places,could,be,bored,equally,wasting,it,give,love,just,been,waste,for,come,and,babe,ah,matter,smile,gon,young,this,away,me,wanna,to,let,see,truthfully,day,some,by,if,fabric,tell,material,diggin,re
3,fuss,everybody,suss,temperament,zoning,the,themwhat,about,again,floating,here,off,tryna,what,doubt,out,going,rough,just,words,give,scene,feeling,it,been,roundcan,roundbad,operativei,something,outwhat,leavei,nowwhat,tragedies,ve,60,degrees,000,wound,me,all,thinks,to,repeat,teeth,or,too,stuck,for,and,yeah
5,unconditionally,will,love,begin,open,you,free,fear,let,just,your,youunconditional,timeunconditional,unconditionallycome,heartacceptance,unconditionallyso,unconditional,and,be,laundry,heart,insecurities,worthy,no,apologies,up,blink,is,did,oh,there,go,truly,now,the,key,storm,almost,it,dirty,all,are,do,me,because,days,close,bad,walk,to
6,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff,playboywhoa,playboy,plata,plate,plateadas,plateau,plated,platedand,platei,plates,platetime,platform,platforms,platinum,platinumi,platinumtriple,platoon,platted,platter,plause
7,were,you,pressed,born,the,in,where,of,bridge,striped,babe,takes,truer,reelin,revealing,foggy,skill,time,not,shaky,more,tried,stardust,me,blinking,web,curve,thru,nerve,pale,we,left,spoken,made,married,nature,much,hearing,destiny,hills,law,mystery,plain,rising,test,smokin,slide,blowing,record,flame
8,nigga,tony,montana,diego,know,100,movin,they,the,nuevo,my,margiela,just,move,kels,on,knowi,niggas,camera,check,hip,jealous,30,made,shit,new,call,it,need,understand,got,and,smokin,say,that,me,you,we,show,pinkish,gaines,franchize,moretony,guiseppe,neyo,reverent,berretta,residents,ponicsharper,gree
9,sneak,peek,hearted,snoop,you,liar,broken,pants,about,caught,red,detectivepeek,detectivehey,hands,your,save,call,are,fire,in,now,his,gonna,girl,out,detectivei,thoughtspeek,inpeek,realhey,unawareso,outpeek,rummaging,the,detective,see,destructive,can,imagining,aches,on,hey,mebut,cotton,and,back,failed,closet,confidence,ve,again
12,ayo,na,life,gotta,taste,oh,my,wanna,gain,khaled,the,risk,dice,road,you,of,no,child,story,nothin,breath,already,roll,easy,all,comes,yeah,want,good,take,pain,stronger,price,they,believe,money,longer,muzik,lavished,hard,everything,damnyou,hold,your,this,beforeoh,spoils,lifebut,it,konvict
13,soldier,brave,we,not,you,shoulders,darkest,carry,ve,but,yeah,worth,wanna,re,nowi,ll,living,fight,us,of,our,days,the,grown,proud,day,there,in,life,do,aroundhow,dothrough,doonly,disapprovals,single,and,beautifuloh,way,me,make,doyeah,every,crumbled,rumours,be,through,frightening,stumbled,all,it
14,am,me,take,baby,here,downhere,troubles,hand,you,come,layin,and,won,teach,lovin,by,show,doin,cannot,worry,halfour,explosionit,streethere,love,canbut,hideour,youhere,nowjust,the,babywhen,that,helpin,makes,babyit,round,darkened,everybody,believe,joe,inside,squeeze,always,begging,world,tough,my,cup,ends,been,burning
15,devil,his,loose,he,the,on,and,slide,brand,of,beaujolais,preserves,enigmatic,new,polishing,cauldron,sebastian,to,stirring,we,cellular,knows,loans,gleam,eric,prays,spain,in,japanese,bark,jar,big,waving,horns,fork,pitch,re,muddy,flavor,bliss,san,tail,you,slipped,excited,sunny,never,remains,recall,order
16,ass,shake,stupid,girls,wobble,that,hammer,go,motherfucker,dy,stop,tippy,look,like,drop,pay,tip,got,crew,make,it,tall,bitch,they,you,roundest,dick,girlies,anorexic,piñata,yaya,colossal,grotto,pootie,up,pageant,necks,boomerang,time,today,ecstatic,gaga,tay,gymnastics,white,tang,dada,woop,ing,now
17,dementia,arise,meaningless,us,tear,painspace,coexist,peace,and,mespace,make,apart,againyou,helps,ooooh,tricks,me,destroy,adore,your,twisted,chill,gives,you,eyes,games,dirty,will,sick,cut,in,because,die,name,play,the,for,again,all,world,heart,wanna,need,feel,want,one,ll,love,this,with
19,skater,boy,she,he,later,see,her,slamming,the,was,girl,said,his,studio,more,obvious,wasn,pretty,guitar,super,you,good,friends,stage,wrote,enough,show,singing,clotheshe,earthfive,mtvshe,insidehe,endstoo,face,star,up,worth,does,at,downhe,we,ballet,that,wanted,baggy,be,ll,any,secretly,after
20,talking,keep,secrets,you,hear,lust,re,your,sleep,when,talk,that,the,lie,eyesi,love,in,guys,every,my,talkingwipe,dividedi,talkingyou,behindit,catch,time,those,close,loveit,desires,told,eyes,realize,wants,worry,can,one,not,see,hide,behind,ask,me,everybody,mine,him,left,about,only,too
22,goin,you,where,think,girl,re,do,soargirl,joanne,thingirl,dogirl,grin,aching,stay,promised,honestly,angels,needs,know,moving,voice,anymore,goodbye,heaven,wouldn,gets,part,both,see,ready,my,work,if,wait,hand,and,can,than,even,things,every,that,more,still,heart,could,baby,way,take,say
23,me,save,help,end,done,you,am,liver,near,tell,apart,broken,the,comfort,is,that,special,with,here,spent,count,ve,couldn,miserable,days,maintain,caused,bad,and,so,salvation,tearing,completely,drove,edge,heart,realize,cannot,finally,loved,have,oh,got,because,pain,we,alone,made,your,always
25,howling,at,moon,the,howl,didn,knowat,45s,moonand,moonsay,goodbye,alive,inventory,stars,night,crucified,cry,and,to,know,crashing,shooting,seeing,asleep,cars,future,sea,save,cut,throw,see,past,if,dreams,friends,side,sun,last,run,fall,show,turn,face,can,made,again,everything,into,your,all
26,arts,anymore,hurt,lost,again,here,won,doori,comes,need,absurd,you,belongs,youwhen,your,goes,me,this,own,pre,burn,lips,chorus,be,knowwhen,ll,kiss,if,soul,it,on,will,when,cherish,walk,the,let,knowi,love,beg,to,every,night,through,with,ran,warm,just,know,shake
27,daisy,chain,givin,ahoo,girl,ooh,flow,white,why,up,black,cheques,idea,no,vibrate,he,the,it,oww,ohh,narrow,headache,scream,down,never,going,ain,mm,with,her,repeat,name,if,switchen,triesbless,chainmake,whiplashed,nashing,crease,upgirls,blame,leave,uptell,7x,takes,goin,ohhi,teeny,save,nickname
29,hold,arms,tonight,appears,your,me,in,treasure,ours,mornin,precious,pleasure,woman,make,ll,touch,fill,waste,something,sun,you,eyes,moment,forever,together,our,this,last,we,there,see,find,my,when,and,life,way,with,let,time,not,won,betray,baby,honesty,granted,the,begun,pure,surrender
30,slime,niggas,ion,nigga,lot,mommas,start,cryin,hunned,nudy,word,all,lyin,he,ya,slaughter,we,dyin,drippin,seen,pussy,the,talking,pull,think,apartments,extendo,they,know,young,of,play,walking,on,solid,imma,lame,fine,wipe,savage,round,gon,bout,bitch,up,shout,money,got,gang,stabber
33,no,loved,wounded,prettyoh,ugly,always,beating,stranger,wings,strange,birds,want,ve,fly,the,heard,you,ghost,inside,into,invisibly,gaps,oh,world,nooh,still,noyou,unlike,halls,to,perfectly,me,sees,meyou,little,now,youyou,climb,my,listening,be,fill,walls,meant,your,most,make,beautiful,three,pretty
