,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,you,still,girl,got,time,know,aw,yeah,lookin,something,stop,play,places,could,be,bored,equally,wasting,it,give,love,just,been,waste,for,come,and,babe,ah,matter
3,fuss,everybody,suss,temperament,zoning,the,themwhat,about,again,floating,here,off,tryna,what,doubt,out,going,rough,just,words,give,scene,feeling,it,been,roundcan,roundbad,operativei,something,outwhat
5,unconditionally,will,love,begin,open,you,free,fear,let,just,your,youunconditional,timeunconditional,unconditionallycome,heartacceptance,unconditionallyso,unconditional,and,be,laundry,heart,insecurities,worthy,no,apologies,up,blink,is,did,oh
6,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff
7,were,you,pressed,born,the,in,where,of,bridge,striped,babe,takes,truer,reelin,revealing,foggy,skill,time,not,shaky,more,tried,stardust,me,blinking,web,curve,thru,nerve,pale
8,nigga,tony,montana,diego,know,100,movin,they,the,nuevo,my,margiela,just,move,kels,on,knowi,niggas,camera,check,hip,jealous,30,made,shit,new,call,it,need,understand
9,sneak,peek,hearted,snoop,you,liar,broken,pants,about,caught,red,detectivepeek,detectivehey,hands,your,save,call,are,fire,in,now,his,gonna,girl,out,detectivei,thoughtspeek,inpeek,realhey,unawareso
12,ayo,na,life,gotta,taste,oh,my,wanna,gain,khaled,the,risk,dice,road,you,of,no,child,story,nothin,breath,already,roll,easy,all,comes,yeah,want,good,take
13,soldier,brave,we,not,you,shoulders,darkest,carry,ve,but,yeah,worth,wanna,re,nowi,ll,living,fight,us,of,our,days,the,grown,proud,day,there,in,life,do
14,am,me,take,baby,here,downhere,troubles,hand,you,come,layin,and,won,teach,lovin,by,show,doin,cannot,worry,halfour,explosionit,streethere,love,canbut,hideour,youhere,nowjust,the,babywhen
15,devil,his,loose,he,the,on,and,slide,brand,of,beaujolais,preserves,enigmatic,new,polishing,cauldron,sebastian,to,stirring,we,cellular,knows,loans,gleam,eric,prays,spain,in,japanese,bark
