song	singer
1979	Smashing Pumpkins
1-800-273-8255	Logic
24K Magic	Bruno Mars
7 rings	Ariana Grande
A Million Dreams	Ziv Zaifman
A Thousand Years	Christina Perri
Acamar	Frankey
Accelerate	Jungle
Accidentally In Love	Counting Crows
Affection	Crystal Castles
Ahora Dice	Chris Jeday
Ain't No Love In The Heart Of The City - Single Version	"Bobby ""Blue"" Bland"
All Day	Kanye West
All Day And All Of The Night	The Kinks
All I Need	Tim Halperin
All Night	The Vamps
All of Me	John Legend
All of the Stars	Ed Sheeran
All These Things That I've Done	The Killers
Alone	Alan Walker
Alright	Kendrick Lamar
Always Be My Baby	Tim Halperin
Always Remember Us This Way	Lady Gaga
Amazing	Westlife
Amsterdam	Coldplay
Annie	Neon Indian
Anything New	Bibio
Attention	Charlie Puth
Awake	Tycho
Bad and Boujee (feat. Lil Uzi Vert)	Migos
bad idea	Ariana Grande
Bad Liar	Imagine Dragons
Bad Things	Machine Gun Kelly
Bam Bam	Sister Nancy
Bang That	Disclosure
Bang! Bang!	Joe Cuba
Bank Account	21 Savage
Be A Body	Grimes
Be Alright	Dean Lewis
Be My Baby	The Ronettes
Beach House	The Chainsmokers
Believer	Imagine Dragons
Best Friend	Young Thug
Better	Khalid
Better Man	Little Big Town
Better Now	Post Malone
Better Than Today	Rhys Lewis
Big Plans	Why Don't We
Big Rings	Drake
Billie Holiday	Warpaint
Binge	Papa Roach
Black Mags	The Cool Kids
Black Out Days	Phantogram
Bless My Soul	Nightmares On Wax
Blood On The Leaves	Kanye West
Blood On the Money	Future
Body Like A Back Road	Sam Hunt
Bounce Back	Big Sean
Bouncin	Chief Keef
Bruises	Lewis Capaldi
Burn	Nine Inch Nails
bury a friend	Billie Eilish
California Nights	Best Coast
Candy Cane Lane	Sia
Capitol	TR/ST
Careless	Dusky
Castle on the Hill	Ed Sheeran
Cemalim	Erkin Koray
Chained To The Rhythm	Katy Perry
Chances	Backstreet Boys
Chandelier	Sia
Changes	Chris Lake 
Chantaje	Shakira
Char	Crystal Castles
Chasing Heaven	Bassnectar
Check	Young Thug
Childs Play	Drake
Chlorine	Twenty One Pilots
Closer	The Chainsmokers
Cocaine Model	ZHU
Cold	Maroon 5
Cold In LA	Why Don't We
Cold Water	Major Lazer
Colors And The Kids	Cat Power
Come Save Me	Jagwar Ma
comethru	Jeremy Zucker
Coming Home	Leon Bridges
Confess To Me	Disclosure
Congratulations	Post Malone
Counting	Autre Ne Veut
Crosstown Traffic	Jimi Hendrix
Cry Like A Ghost	Passion Pit
Danger and Dread	Brown Bird
Dark Matter	Feathers
Delicate	Taylor Swift
Demon	Shamir
Digital Animal	Honey Claws
DNA.	Kendrick Lamar
Don't Call Me Up	Mabel
Don't Let Me Down	The Chainsmokers
Don't Miss	The Alexanders
Don't Move	Phantogram
Don't Wanna Know	Maroon 5
