track,singer,trackID,,,,
I Hate Everything About You,Three Days Grace,https://open.spotify.com/track/6rUp7v3l8yC4TKxAAR5Bmx,A,,Angry,A
Breathe Me,Sia,https://open.spotify.com/track/7jqzZyJJLrpkRFYGpkqSK6,R,,Relax,R
Yellow,Coldplay,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,R,,Happy,H
Angels,The xx,https://open.spotify.com/track/1zuKjpp4t7BS8JPKi6mkQr,S,,Sad,S
Given Up,Linkin Park,https://open.spotify.com/track/1fLlRApgzxWweF1JTf8yM5,A,,,
Bye / Die,PAIN,https://open.spotify.com/track/0aYOKkWIGYJqPEOsNGfedt,A,,,
Happy,Pharrell Williams,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,H,,,
I'm Yours,Jason Mraz,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,H,,,
Homesick,Dua Lipa,https://open.spotify.com/track/5E5MqaS6eOsbaJibl3YeMZ,R,,,
My all,Mariah Carey,https://open.spotify.com/track/3RSpK5Y0y5tl25qvssrwJ6,S,,,
Shake It Off,Taylor Swiff,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD,H,,,
Feels Like This,Maisie Peters,https://open.spotify.com/track/53Wsf11ElpPr1WAGtRQlcx,R,,,
So What,Metallica,https://open.spotify.com/track/16RFzt9hlQ3OCPQf5AmhpU,A,,,
Coffee & Cream,A. Wesley Chung,https://open.spotify.com/track/361i9LxQlJzGbOeVvQkpGg,R,,,
Happy Together,Turtles,https://open.spotify.com/track/1JO1xLtVc8mWhIoE3YaCL0,H,,,
Dying in the sun,The Cranberries,https://open.spotify.com/track/6Bmgo9pvPcx2qedb1ZUhrv,S,,,
It's My Life,Bon Jovi,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,A,,,
The Lazy Song,Bruno Mars,https://open.spotify.com/track/1ExfPZEiahqhLyajhybFeS,H,,,
Because of You,Kelly Clarkson,https://open.spotify.com/track/0gJvqi9QyASOCtJu99tytc,S,,,
November Night,Groove Coverage,https://open.spotify.com/track/1pSIQWMFbkJ5XvwgzKfeBv,S,,,
,,,,,,
,,,,,,
,,,,,,
"Take Me Home, Country Roads",Mountain Main,R,R,,,
