track,singer,trackID,singerID,label,mp3URL
Wake Me Up,Avicii,4h8VwCb1MTGoLKueQ1WgbD,1vCWHaC5f2uS3yhpwWbIA6,H,
Breathe Me,Sia,7jqzZyJJLrpkRFYGpkqSK6,5WUlDfRSoLAfcVSX1WnrxN,R,
Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,R,https://p.scdn.co/mp3-preview/c119ca773ef844108da21c4679dc54c007cf0926?cid=774b29d4f13844c495f206cafdad9c86
Skinny Love,Birdy,4RL77hMWUq35NYnPLXBpih,2WX2uTcsvV5OnS0inACecP,S,https://p.scdn.co/mp3-preview/fa2ee949327d85e7bd22385f00737744ebf87d60?cid=774b29d4f13844c495f206cafdad9c86
Give Me Love,Ed Sheeran,0SuG9kyzGRpDqrCWtgD6Lq,6eUKZXaKkcviH0Ku9w2n3V,S,https://p.scdn.co/mp3-preview/b0e38982098a56852a392bcd3d3bbb22813aa03d?cid=774b29d4f13844c495f206cafdad9c86
Shake It Off,Taylor Swift,0cqRj7pUJDkTCEsJkx8snD,06HL4z0CvFAxyc27GXpf02,H,
Someone Like You,Adele,6QPKYGnAW9QozVz2dSWqRg,4dpARuHxo51G3z768sgnrY,S,https://p.scdn.co/mp3-preview/ba52dd35393f5936ed277cf375128feecd111d26?cid=774b29d4f13844c495f206cafdad9c86
I'm Yours,Jason Mraz,3S0OXQeoh0w6AY8WQVckRW,4phGZZrJZRo4ElhRtViYdl,H,https://p.scdn.co/mp3-preview/c58f1bc9160754337b858a4eb824a6ac2321041d?cid=774b29d4f13844c495f206cafdad9c86
Homesick,Dua Lipa,5E5MqaS6eOsbaJibl3YeMZ,6M2wZ9GZgrQXHCFfjv46we,R,https://p.scdn.co/mp3-preview/47eb20c4409683df486f8bb518b2e6abf4e617a5?cid=774b29d4f13844c495f206cafdad9c86
My all,Mariah Carey,3RSpK5Y0y5tl25qvssrwJ6,4iHNK0tOyZPYnBU7nGAgpQ,S,https://p.scdn.co/mp3-preview/2c6321dc1f89cf87bf063b0ee0da992dcfa6ca99?cid=774b29d4f13844c495f206cafdad9c86
Just a Feeling,Maroon 5,3JPbZa3mr7zul9ZRqo7pmN,04gDigrS5kc9YWfZHwBETP,R,
Hero,Mariah Carey,4FCb4CUbFCMNRkI6lYc1zI,4iHNK0tOyZPYnBU7nGAgpQ,R,https://p.scdn.co/mp3-preview/cc03494b6954237706d6f2ac7b9ce189014f840a?cid=774b29d4f13844c495f206cafdad9c86
Waves,Kanye West,3nAq2hCr1oWsIU54tS98pL,5K4W6rqBFWDnAN6FQUkS6x,A,
Baby,Justin Bieber,6epn3r7S14KUqlReYr77hA,1uNFoZAHBGtllmzznpCI3s,H,
Low Life,Future,71SDPonZOsIKNtqnaX8LXj,1RyvyyTE3xzB2ZywiAwp0i,A,
Mr. Know It All,Kelly Clarkson,7uRznL3LcuazKpwCTpDltz,3BmGtnKgCSGYIUhmivXKWX,A,https://p.scdn.co/mp3-preview/0af54fd78b3b5e2c115b75aa43d0567eefe0a137?cid=774b29d4f13844c495f206cafdad9c86
Everything Back But You,Avril Lavigne,4IiIwxFT8y2cR0zLqrLeFv,0p4nmQO2msCgU4IF37Wi3j,A,
The Lazy Song,Bruno Mars,1ExfPZEiahqhLyajhybFeS,0du5cEVh5yTK9QJze8zA0C,H,https://p.scdn.co/mp3-preview/6dda0f582db7db112f377d36df313cf04e706f27?cid=774b29d4f13844c495f206cafdad9c86
Because of You,Kelly Clarkson,0gJvqi9QyASOCtJu99tytc,3BmGtnKgCSGYIUhmivXKWX,S,https://p.scdn.co/mp3-preview/03db8b137ab547129fe5dbf57181a16ea092563f?cid=774b29d4f13844c495f206cafdad9c86
You're So Dark,Arctic Monkeys,40DwUg5zPX8H23WpTdD2iW,7Ln80lUS6He07XvHI8qqHH,A,https://p.scdn.co/mp3-preview/417c21a5c51e3df7290660b76051a0c38ec03751?cid=774b29d4f13844c495f206cafdad9c86
