track,singer,trackID,singerID
Wake Me Up,Avicii,4h8VwCb1MTGoLKueQ1WgbD,1vCWHaC5f2uS3yhpwWbIA6
Breathe Me,Sia,7jqzZyJJLrpkRFYGpkqSK6,5WUlDfRSoLAfcVSX1WnrxN
Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU
Skinny Love,Birdy,4RL77hMWUq35NYnPLXBpih,2WX2uTcsvV5OnS0inACecP
Give Me Love,Ed Sheeran,0SuG9kyzGRpDqrCWtgD6Lq,6eUKZXaKkcviH0Ku9w2n3V
Shake It Off,Taylor Swift,0cqRj7pUJDkTCEsJkx8snD,06HL4z0CvFAxyc27GXpf02
Someone Like You,Adele,6QPKYGnAW9QozVz2dSWqRg,4dpARuHxo51G3z768sgnrY
I'm Yours,Jason Mraz,3S0OXQeoh0w6AY8WQVckRW,4phGZZrJZRo4ElhRtViYdl
Homesick,Dua Lipa,5E5MqaS6eOsbaJibl3YeMZ,6M2wZ9GZgrQXHCFfjv46we
My all,Mariah Carey,3RSpK5Y0y5tl25qvssrwJ6,4iHNK0tOyZPYnBU7nGAgpQ
Just a Feeling,Maroon 5,3JPbZa3mr7zul9ZRqo7pmN,04gDigrS5kc9YWfZHwBETP
Hero,Mariah Carey,4FCb4CUbFCMNRkI6lYc1zI,4iHNK0tOyZPYnBU7nGAgpQ
Waves,Kanye West,3nAq2hCr1oWsIU54tS98pL,5K4W6rqBFWDnAN6FQUkS6x
Baby,Justin Bieber,6epn3r7S14KUqlReYr77hA,1uNFoZAHBGtllmzznpCI3s
Low Life,Future,71SDPonZOsIKNtqnaX8LXj,1RyvyyTE3xzB2ZywiAwp0i
Mr. Know It All,Kelly Clarkson,7uRznL3LcuazKpwCTpDltz,3BmGtnKgCSGYIUhmivXKWX
Everything Back But You,Avril Lavigne,4IiIwxFT8y2cR0zLqrLeFv,0p4nmQO2msCgU4IF37Wi3j
The Lazy Song,Bruno Mars,1ExfPZEiahqhLyajhybFeS,0du5cEVh5yTK9QJze8zA0C
Because of You,Kelly Clarkson,0gJvqi9QyASOCtJu99tytc,3BmGtnKgCSGYIUhmivXKWX
You're So Dark,Arctic Monkeys,40DwUg5zPX8H23WpTdD2iW,7Ln80lUS6He07XvHI8qqHH
