track,singer,trackID,singerID,URL
I Hate Everything About You,Three Days Grace,6rUp7v3l8yC4TKxAAR5Bmx,2xiIXseIJcq3nG7C8fHeBj,https://open.spotify.com/track/6rUp7v3l8yC4TKxAAR5Bmx?si=CQcpnUcsTVKUzMLgN8OrIA
Breathe Me,Sia,7jqzZyJJLrpkRFYGpkqSK6,5WUlDfRSoLAfcVSX1WnrxN,https://open.spotify.com/track/7jqzZyJJLrpkRFYGpkqSK6?si=y4Q0k0nxQhmaMH6Ur8mecw
Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg?si=FnnycWnoRN2GCk58zj8xlQ
Angels,The xx,1zuKjpp4t7BS8JPKi6mkQr,3iOvXCl6edW5Um0fXEBRXy,https://open.spotify.com/track/1zuKjpp4t7BS8JPKi6mkQr?si=fqERzbr-RM2UiI6d3eoQVg
Given Up,Linkin Park,1fLlRApgzxWweF1JTf8yM5,6XyY86QOPPrYVGvF9ch6wz,https://open.spotify.com/track/1fLlRApgzxWweF1JTf8yM5?si=EZCIoAc8REiFUkeYZih-7w
Bye / Die,Pain,0aYOKkWIGYJqPEOsNGfedt,0hGpZy6ws8FofByMkt0CV1,https://open.spotify.com/track/0aYOKkWIGYJqPEOsNGfedt?si=X-y1TpnPQHStAuc7FIKbcw
Happy,Pharrell Williams,5b88tNINg4Q4nrRbrCXUmg,2RdwBSPQiwcmiDo9kixcl8,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg?si=FKoh25CkRc2SG9rIKhIL_Q
I'm Yours,Jason Mraz,3S0OXQeoh0w6AY8WQVckRW,4phGZZrJZRo4ElhRtViYdl,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA?si=aqCblr3hT_aap8Ug5KWrrg
Homesick,Dua Lipa,5E5MqaS6eOsbaJibl3YeMZ,6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/track/5E5MqaS6eOsbaJibl3YeMZ?si=Jj1uIKcrRIOuphs6jksKEw
My all,Mariah Carey,3RSpK5Y0y5tl25qvssrwJ6,4iHNK0tOyZPYnBU7nGAgpQ,https://open.spotify.com/track/3RSpK5Y0y5tl25qvssrwJ6?si=E8PwjxSqTamajt0bmd1jwQ
Shake It Off,Taylor Swiff,0cqRj7pUJDkTCEsJkx8snD,06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD?si=1jvHFJeFT_mvXB12JR8Rug
Feels Like This,Maisie Peters,53Wsf11ElpPr1WAGtRQlcx,2RVvqRBon9NgaGXKfywDSs,https://open.spotify.com/track/53Wsf11ElpPr1WAGtRQlcx?si=-FDFL8ntTLu1XYgHCGxFVA
So What,Metallica,16RFzt9hlQ3OCPQf5AmhpU,2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/track/16RFzt9hlQ3OCPQf5AmhpU?si=9xI568iBQ4qwpirfysfIJw
Coffee & Cream,A. Wesley Chung,361i9LxQlJzGbOeVvQkpGg,4ussEfHz9vH7vvtN78qJ1i,https://open.spotify.com/track/361i9LxQlJzGbOeVvQkpGg?si=Y1O77wHwQDaRZ4JQxsM_nQ
Happy Together,Turtles,1JO1xLtVc8mWhIoE3YaCL0,2VIoWte1HPDbZ2WqHd2La7,https://open.spotify.com/track/1JO1xLtVc8mWhIoE3YaCL0?si=Ct9o49tvQg6jULKVgp8QDg
Dying in the sun,The Cranberries,6Bmgo9pvPcx2qedb1ZUhrv,7t0rwkOPGlDPEhaOcVtOt9,https://open.spotify.com/track/6Bmgo9pvPcx2qedb1ZUhrv?si=ccuKkFUyTiKp-Ax7m8kMmQ
It's My Life,Bon Jovi,0v1XpBHnsbkCn7iJ9Ucr1l,58lV9VcRSjABbAbfWS6skp,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l?si=uNBKwpZZTyi23HYNbFnh2g
The Lazy Song,Bruno Mars,1ExfPZEiahqhLyajhybFeS,0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/track/1ExfPZEiahqhLyajhybFeS?si=fy3iPt-FRGqly6m_i16POQ
Because of You,Kelly Clarkson,0gJvqi9QyASOCtJu99tytc,3BmGtnKgCSGYIUhmivXKWX,https://open.spotify.com/track/3f3omU8n47Mqyab5nCaGyT?si=C-OyVkyVSF6vJC5fn7rp8w
November Night,Groove Coverage,1pSIQWMFbkJ5XvwgzKfeBv,1yWjNh9SRE7C59A3LDIwVW,https://open.spotify.com/track/4X2Tjj0MqatwWIZChec6NU?si=b_XPdHP6S3-hVoeLFKWywQ
