Mask Off,Future,150.062,0.434,-8.795,0.833,0.281,0.0102,10.0,36.666666666666664,23.333333333333332,30.0,1
Redbone,Childish Gambino,160.143,0.347,-11.174,0.743,0.572,0.167,37.0,14.666666666666666,23.333333333333332,25.0,0
Xanny Family,Future,75.044,0.412,-7.148,0.838,0.166,0.0344,0.0,36.666666666666664,23.333333333333332,40.0,3
Master Of None,Beach House,86.485,0.344,-15.259,0.492,0.247,0.674,60.0,10.0,20.0,10.0,0
Parallel Lines,Junior Boys,174.004,0.561,-11.648,0.678,0.906,0.18,35.83333333333333,10.0,32.5,21.666666666666664,0
Childs Play,Drake,80.03,0.472,-11.204,0.739,0.289,0.0145,32.5,10.0,15.833333333333332,41.666666666666664,3
"""Ive Seen Footage""",Death Grips,130.035,0.944,-3.626,0.603,0.418,0.0481,6.666666666666667,40.0,33.333333333333336,20.0,1
Digital Animal,Honey Claws,99.994,0.603,-7.792,0.836,0.388,0.00208,10.0,20.0,10.0,60.0,3
Subways - In Flagranti Extended Edit,The Avalanches,111.951,0.855,-7.372,0.525,0.517,0.0572,16.666666666666664,16.666666666666664,30.0,36.666666666666664,3
Cemalim,Erkin Koray,128.042,0.434,-13.479,0.615,0.618,0.445,20.0,10.0,30.0,40.0,3
One Night,Lil Yachty,130.007,0.476,-12.686,0.762,0.375,0.366,28.500000000000004,19.0,32.5,20.0,2
Oh lala,PNL,125.011,0.603,-8.317,0.662,0.352,0.44,24.166666666666664,0.0,42.5,33.333333333333336,2
Char,Crystal Castles,100.04,0.837,-6.615,0.646,0.326,0.018,20.0,10.0,40.0,30.0,2
World In Motion,New Order,123.922,0.955,-4.111,0.603,0.787,0.0239,6.666666666666667,40.0,23.333333333333332,30.0,1
One Nation Under a Groove,Funkadelic,122.431,0.777,-8.434,0.782,0.872,0.304,37.5,20.0,12.5,30.0,0
Bouncin,Chief Keef,140.061,0.611,-6.702,0.713,0.793,0.314,13.333333333333334,0.0,46.666666666666664,40.0,2
C O O L - Radio Edit,Le Youth,109.982,0.759,-6.914,0.735,0.77,0.0242,10.0,26.666666666666668,10.0,53.333333333333336,3
Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,128.049,0.719,-9.335,0.854,0.469,0.000702,27.500000000000004,30.0,2.5,40.0,3
House of Jealous Lovers,The Rapture,130.014,0.747,-4.249,0.733,0.764,0.000502,6.666666666666667,50.0,13.333333333333334,30.0,1
Imma Ride,Young Thug,139.922,0.401,-8.553,0.854,0.42,0.118,10.0,46.666666666666664,23.333333333333332,20.0,1
Girlfriend,Ty Segall,138.022,0.925,-1.71,0.224,0.378,0.000596,6.666666666666667,30.0,33.333333333333336,30.0,2
If I Gave You My Love,Myron & E,94.498,0.564,-5.892,0.512,0.395,0.279,6.666666666666667,20.0,57.61904761904761,15.714285714285714,2
This Ready Flesh,TR/ST,109.977,0.795,-6.758,0.781,0.8,0.00219,10.0,20.0,20.0,50.0,3
Lose My Mind,A-Trak,120.011,0.855,-4.795,0.701,0.751,0.0786,6.666666666666667,60.0,3.3333333333333335,30.0,1
Char,Crystal Castles,100.04,0.837,-6.615,0.646,0.326,0.018,20.0,10.0,40.0,30.0,2
Look Alive,Rae Sremmurd,120.024,0.583,-7.415,0.786,0.229,0.0552,13.333333333333334,26.666666666666668,30.0,30.0,2
Please Stop Making Fake Versace,Father,128.983,0.397,-12.776,0.736,0.297,0.272,25.0,6.666666666666667,33.33333333333333,35.0,3
Milly Rock,2milly,135.45,0.449,-12.037,0.45,0.139,0.00791,20.0,0.0,60.0,20.0,2
Best Friend,Young Thug,127.029,0.598,-5.534,0.959,0.408,0.0358,20.0,30.0,10.0,40.0,3
Hercules,Young Thug,146.923,0.559,-5.876,0.742,0.431,0.0324,10.0,46.666666666666664,23.333333333333332,20.0,1
Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,119.999,0.687,-7.771,0.805,0.679,0.118,10.0,20.0,20.0,50.0,3
Check,Young Thug,110.953,0.581,-5.164,0.667,0.368,0.0428,10.0,46.666666666666664,33.333333333333336,10.0,1
"""Poppin My Collar""",Three 6 Mafia,146.747,0.795,-4.579,0.729,0.856,0.354,2.5,45.0,32.5,20.0,1
Jumpman,Drake,142.072,0.553,-7.286,0.852,0.656,0.0563,0.0,40.0,20.0,40.0,1
"""Somebodys Watching Me""",Rockwell,124.091,0.712,-4.128,0.767,0.804,0.0409,6.666666666666667,40.0,13.333333333333334,40.0,1
Bang That,Disclosure,125.008,0.852,-6.08,0.731,0.611,0.00041,10.0,30.0,20.0,40.0,3
"""I Dont Sell Molly No More""",ILoveMakonnen,147.026,0.497,-5.309,0.74,0.067,0.00555,10.0,36.666666666666664,33.333333333333336,20.0,1
Versace Python,Riff Raff,139.94,0.792,-5.33,0.624,0.325,0.00156,16.666666666666664,20.0,33.333333333333336,30.0,2
Monster,Kanye West,124.791,0.692,-5.64,0.628,0.0964,0.00244,6.666666666666667,20.0,43.33333333333333,30.0,2
OOOUUU,Young M.A.,166.072,0.847,-3.152,0.635,0.568,0.533,6.0,70.0,20.0,4.0,1
Return Of The Mack - C & J Street Mix,Mark Morrison,95.487,0.833,-5.379,0.715,0.612,0.00631,6.666666666666667,40.0,13.333333333333334,40.0,1
Fantastic Man,William Onyeabor,114.28,0.756,-10.714,0.7,0.944,0.00182,27.500000000000004,10.0,22.5,40.0,3
Right Place Wrong Time,Dr. John,104.595,0.573,-11.876,0.794,0.881,0.326,22.5,40.0,12.5,25.0,1
Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,129.008,0.86,-6.202,0.796,0.973,0.375,20.0,20.0,30.0,30.0,2
Odofo Nyi Akyiri Biara,Ebo Taylor,106.714,0.957,-4.814,0.716,0.93,0.183,16.666666666666664,60.0,3.3333333333333335,20.0,1
Annie,Neon Indian,95.98,0.848,-6.246,0.739,0.875,0.0227,10.0,30.0,20.0,40.0,3
