id,title,a_name,tempo,energy,danceability,loudness,valence,acousticness
1,Accidentally In Love,Counting Crows,138.017,0.926,-3.613,0.555,0.771,0.0484
2,Ahora Dice,Chris Jeday,144.045,0.69,-5.451,0.704,0.402,0.249
3,All Night,The Vamps,144.997,0.803,-5.194,0.54,0.501,0.00403
4,Always Remember Us This Way,Lady Gaga,129.976,0.502,-5.972,0.553,0.296,0.299
5,Amazing,Westlife,97.023,0.705,-4.407,0.617,0.669,0.109
6,Anything New,Bibio,88.237,0.642,-4.276,0.651,0.696,0.0101
7,Bad and Boujee (feat. Lil Uzi Vert),Migos,127.076,0.665,-5.313,0.927,0.175,0.061
8,bad idea,Ariana Grande,137.998,0.579,-5.314,0.847,0.569,0.0268
9,Bam Bam,Sister Nancy,165.998,0.605,-6.07,0.722,0.709,0.825
10,Bank Account,21 Savage,75.016,0.346,-8.228,0.884,0.376,0.0151
11,Better Man,Little Big Town,143.888,0.836,-3.663,0.514,0.501,0.112
12,Big Plans,"""Why Dont We""",75.014,0.604,-5.279,0.693,0.651,0.0668
13,Black Mags,The Cool Kids,172.035,0.577,-6.446,0.749,0.459,0.0984
14,Black Out Days,Phantogram,92.215,0.799,-3.641,0.542,0.421,0.00471
15,Bounce Back,Big Sean,81.477,0.567,-5.698,0.77,0.26,0.105
16,Bouncin,Chief Keef,140.061,0.611,-6.702,0.713,0.793,0.314
17,bury a friend,Billie Eilish,120.046,0.389,-14.505,0.905,0.196,0.74
18,California Nights,Best Coast,81.108,0.786,-3.626,0.294,0.118,0.000392
19,Check,Young Thug,110.953,0.581,-5.164,0.667,0.368,0.0428
20,Cold,Maroon 5,99.836,0.717,-6.346,0.693,0.412,0.14
21,Cold In LA,"""Why Dont We""",109.986,0.624,-5.731,0.676,0.726,0.133
22,comethru,Jeremy Zucker,93.967,0.188,-11.957,0.794,0.64,0.601
23,Counting,Autre Ne Veut,79.925,0.538,-5.828,0.618,0.308,0.0249
24,Dark Matter,Feathers,108.99,0.758,-7.859,0.644,0.758,0.000259
25,DNA.,Kendrick Lamar,139.913,0.523,-6.664,0.638,0.422,0.00454
26,"""Dont Call Me Up""",Mabel,98.994,0.881,-2.853,0.674,0.234,0.296
27,"""Dont Move""",Phantogram,99.977,0.642,-5.206,0.558,0.482,7.19E-05
28,Double Bubble Trouble,M.I.A.,144.084,0.912,-1.157,0.767,0.498,0.0411
29,El Amante,Nicky Jam,179.91,0.691,-5.535,0.683,0.732,0.243
30,"""Every 1s A Winner""",Hot Chocolate,107.845,0.539,-7.36,0.721,0.929,0.0584
31,Fake Love,Drake,133.987,0.488,-9.433,0.927,0.605,0.108
32,Fantastic Man,William Onyeabor,114.28,0.756,-10.714,0.7,0.944,0.00182
33,Feels,Calvin Harris,101.018,0.745,-3.105,0.893,0.872,0.0642
34,FOOLISH,Meghan Trainor,107.885,0.563,-5.155,0.645,0.555,0.0285
35,Free Stress Test,Professor Murder,141.262,0.825,-9.343,0.652,0.695,0.0164
36,Friends,Justin Bieber,104.977,0.733,-5.337,0.743,0.622,0.00402
37,Galway Girl,Ed Sheeran,99.943,0.876,-3.374,0.624,0.781,0.0735
38,Girlfriend,Ty Segall,138.022,0.925,-1.71,0.224,0.378,0.000596
39,Goody Two Shoes,Duck Sauce,128.024,0.901,-5.398,0.774,0.77,0.0414
40,goosebumps,Travis Scott,130.049,0.728,-3.37,0.841,0.43,0.0847
41,Hannah Montana,Migos,135.95,0.744,-3.484,0.901,0.593,0.105
42,Head Above Water,Avril Lavigne,129.921,0.694,-5.351,0.578,0.268,0.0112
43,Hello My Love,Westlife,121.96,0.717,-4.548,0.679,0.255,0.0971
44,Hello My Love,Westlife,121.96,0.717,-4.548,0.679,0.255,0.0971
45,Hit the Road Jack,Ray Charles,172.741,0.618,-11.831,0.613,0.94,0.568
46,Ho Ho Ho,Sia,129.014,0.742,-5.103,0.716,0.879,0.0338
47,Hold My Girl,George Ezra,121.941,0.527,-6.374,0.614,0.354,0.597
48,Hot Blur,How Sad,154.008,0.824,-8.569,0.683,0.918,0.0249
49,House of Jealous Lovers,The Rapture,130.014,0.747,-4.249,0.733,0.764,0.000502
50,I Miss You,Clean Bandit,105.002,0.624,-7.482,0.693,0.369,0.299
51,If I Gave You My Love,Myron & E,94.498,0.564,-5.892,0.512,0.395,0.279
52,"""Im the One""",DJ Khaled,80.924,0.668,-4.284,0.609,0.811,0.0552
53,Immortals,Fall Out Boy,108.038,0.874,-3.594,0.613,0.543,0.00139
54,In My Blood,Shawn Mendes,140.025,0.712,-7.321,0.622,0.487,0.0573
55,In My Feelings,Drake,91.03,0.626,-5.833,0.835,0.35,0.0589
56,In the End,Family of the Year,121.061,0.775,-4.145,0.528,0.517,0.00145
57,International Players Anthem,Swishahouse,128.289,0.548,-9.682,0.734,0.724,0.0213
58,Issues,Julia Michaels,114.205,0.415,-6.855,0.686,0.446,0.39
59,Issues,Julia Michaels,114.205,0.415,-6.855,0.686,0.446,0.39
60,"""Ive Seen Footage""",Death Grips,130.035,0.944,-3.626,0.603,0.418,0.0481
61,Jumpman,Drake,142.072,0.553,-7.286,0.852,0.656,0.0563
62,Just Hold On,Steve Aoki,114.991,0.932,-3.515,0.647,0.374,0.00383
63,Last Hurrah,Bebe Rexha,84.259,0.618,-4.585,0.514,0.401,0.175
64,Let Me Down Slowly,Alec Benjamin,150.073,0.557,-5.714,0.652,0.483,0.74
65,Let Me Love You,DJ Snake,100.023,0.713,-5.311,0.652,0.152,0.0771
66,Look Alive,Rae Sremmurd,120.024,0.583,-7.415,0.786,0.229,0.0552
67,Look At Wrist,Father,127.975,0.606,-5.471,0.876,0.259,0.00672
68,Lovefool,The Cardigans,111.87,0.602,-7.902,0.64,0.951,0.0646
69,Magnets,Disclosure,92.005,0.628,-7.882,0.704,0.654,0.0626
70,medicine,Bring Me The Horizon,97.038,0.858,-3.3,0.615,0.323,0.00393
71,Mercy,Kanye West,140.086,0.545,-8.536,0.737,0.443,0.0855
72,Mi Gente,J Balvin,104.666,0.704,-4.838,0.548,0.288,0.0168
73,Midnight City,M83,105.004,0.741,-5.345,0.525,0.294,0.0153
74,Monster,Kanye West,124.791,0.692,-5.64,0.628,0.0964,0.00244
75,More Than You Know,Axwell /\\ Ingrosso,123.07,0.741,-4.959,0.644,0.547,0.0261
76,My Brain Tells My Body,The Vandals,175.822,0.981,-2.451,0.304,0.782,0.000371
77,My Sundown,Jimmy Eat World,95.989,0.489,-10.29,0.545,0.188,0.0758
