id,title,a_name,tempo,energy,danceability,loudness,valence,acousticness
1,Accelerate,Jungle,101.029,0.781,-7.433,0.653,0.5,0.106
2,"""Aint No Love In The Heart Of The City - Single Version""","Bobby ""Blue"" Bland",79.638,0.656,-8.699,0.559,0.679,0.257
3,All Day And All Of The Night,The Kinks,136.921,0.86,-7.839,0.551,0.723,0.262
4,All of Me,John Legend,119.93,0.264,-7.064,0.422,0.331,0.922
5,Bad Liar,Imagine Dragons,177.913,0.637,-6.993,0.383,0.0827,0.0722
6,Be Alright,Dean Lewis,126.684,0.586,-6.319,0.553,0.443,0.697
7,Be My Baby,The Ronettes,129.657,0.769,-7.032,0.511,0.818,0.181
8,Better,Khalid,97.565,0.585,-10.332,0.442,0.116,0.0984
9,Better Than Today,Rhys Lewis,78.65,0.234,-8.861,0.387,0.408,0.736
10,Blood On the Money,Future,146.003,0.431,-7.893,0.704,0.346,0.185
11,Body Like A Back Road,Sam Hunt,98.963,0.469,-7.226,0.731,0.631,0.463
12,Bruises,Lewis Capaldi,110.922,0.319,-6.206,0.572,0.359,0.963
13,Burn,Nine Inch Nails,89.919,0.912,-6.81,0.592,0.647,0.00146
14,Chances,Backstreet Boys,109.835,0.755,-6.255,0.551,0.296,0.0178
15,Changes,Chris Lake ,126.996,0.672,-7.508,0.844,0.228,0.000815
16,Chasing Heaven,Bassnectar,128.044,0.645,-6.24,0.443,0.139,0.0127
17,Childs Play,Drake,80.03,0.472,-11.204,0.739,0.289,0.0145
18,Come Save Me,Jagwar Ma,123.973,0.836,-7.682,0.466,0.0517,7.70E-05
19,Confess To Me,Disclosure,123.918,0.79,-7.938,0.558,0.427,0.0357
20,Cry Like A Ghost,Passion Pit,100.036,0.612,-7.841,0.555,0.316,0.00525
21,Delicate,Taylor Swift,95.045,0.404,-10.178,0.75,0.0499,0.216
22,Demon,Shamir,168.039,0.635,-8.412,0.772,0.6,0.937
23,"""Dont Let Me Down""",The Chainsmokers,159.803,0.869,-5.094,0.532,0.422,0.157
24,"""Dont Wanna Know""",Maroon 5,100.047,0.61,-6.124,0.783,0.418,0.343
25,Dusk Till Dawn,ZAYN,180.043,0.437,-6.593,0.258,0.0967,0.101
26,Elizabeth on the Bathroom Floor,Eels,133.659,0.0895,-21.668,0.398,0.0942,0.951
27,Endless Rhythm,Baio,122.032,0.862,-7.016,0.763,0.875,0.232
28,Estrelar,Marcos Valle,102.652,0.495,-10.584,0.879,0.802,0.538
29,Everybody Likes Something Good,Ify Jerry Crusade,99.407,0.745,-8.109,0.589,0.765,0.17
30,Evil Friends (feat. Danny Brown),Portugal. The Man,140.058,0.7,-6.641,0.793,0.892,0.273
31,Faded,Alan Walker,179.642,0.627,-5.085,0.468,0.159,0.0281
32,Fail to Cry,Yacht Club,92.995,0.945,-6.64,0.54,0.878,0.000145
33,From Now On,Hugh Jackman,108.027,0.518,-10.383,0.516,0.0834,0.00483
34,Glad I Met You,D. Gookin,100.215,0.722,-7.33,0.747,0.545,0.0957
35,Good Mistake,Mr Little Jeans,110.65,0.606,-7.258,0.677,0.922,0.00798
36,Heal Me,Lady Gaga,86.013,0.544,-8.36,0.606,0.456,0.0481
37,Hear Me Now,Alok,121.999,0.463,-7.603,0.778,0.496,0.546
38,Heaven And Hell Is On Earth,20th Century Steel Band,109.455,0.618,-11.31,0.617,0.448,0.0176
39,Her Fantasy,Matthew Dear,110.325,0.806,-9.542,0.586,0.202,0.0246
40,Hercules,Young Thug,146.923,0.559,-5.876,0.742,0.431,0.0324
41,Hercules Theme,Hercules & Love Affair,105.988,0.644,-6.182,0.735,0.862,0.0215
42,Hero,Mariah Carey,119.987,0.378,-9.37,0.501,0.178,0.735
43,"""Hold On Were Going Home""",ASTR,131.337,0.54,-7.121,0.496,0.164,0.0172
44,Hot Dreams,Timber Timbre,121.941,0.373,-8.772,0.55,0.33,0.391
45,"""I Dont Sell Molly No More""",ILoveMakonnen,147.026,0.497,-5.309,0.74,0.067,0.00555
46,I Had A Dream,Kelly Clarkson,169.989,0.727,-5.45,0.47,0.244,0.00135
47,"""I Know Theres Gonna Be""",Jamie xx,89.455,0.597,-9.919,0.458,0.484,0.12
48,I Like Me Better,Lauv,91.97,0.505,-7.621,0.752,0.419,0.535
49,I Need To Wake Up,Melissa Etheridge,148.06,0.557,-8.134,0.544,0.354,0.0407
50,"""ILl Do Anything""",Courtney Love,132.977,0.987,-3.007,0.498,0.327,7.83E-06
51,"""Im Ya Dogg""",Snoop Dogg,107.699,0.609,-8.678,0.479,0.513,0.127
52,Imma Ride,Young Thug,139.922,0.401,-8.553,0.854,0.42,0.118
53,Interlude,Alan Walker,130.253,0.0262,-14.617,0.467,0.218,0.917
54,Is That Alright?,Lady Gaga,102.727,0.279,-7.757,0.557,0.263,0.868
55,It All Feels Right,Washed Out,78.127,0.752,-8.18,0.268,0.282,0.000318
56,"""Its My Party""",Lesley Gore,128.487,0.494,-11.662,0.692,0.961,0.346
57,Kiss Me,Sixpence None The Richer,99.982,0.749,-6.964,0.526,0.421,0.023
58,Know Yourself,Drake,114.812,0.41,-8.735,0.735,0.164,0.19
59,Last Chance to Dance,Ekkah,107.434,0.484,-6.232,0.857,0.748,0.29
60,Let You Love Me,Rita Ora,191.618,0.861,-3.138,0.521,0.473,0.261
61,Light House,Future Islands,149.988,0.821,-7.442,0.512,0.402,0.0696
62,Light Up,Tim Halperin,120.944,0.861,-7.146,0.575,0.379,0.00175
63,Location,Khalid,80.126,0.449,-11.462,0.736,0.326,0.33
64,Look What You Made Me Do,Taylor Swift,128.07,0.709,-6.471,0.766,0.506,0.204
65,Lost Stars,Adam Levine,82.025,0.582,-4.769,0.494,0.416,0.102
66,Loud Places,Jamie xx,109.02,0.631,-10.748,0.646,0.167,0.00462
67,Love Me Again,John Newman,126.03,0.894,-4.814,0.495,0.213,0.00453
68,Love Sosa,Chief Keef,131.957,0.42,-8.224,0.778,0.2,0.0407
69,Malibu,Miley Cyrus,139.934,0.781,-6.406,0.573,0.343,0.0767
70,Marijuana,Chrome Sparks,86.969,0.655,-9.781,0.697,0.415,0.0626
71,Moving to the Left,Woods,150.067,0.936,-6.365,0.568,0.791,0.064
72,New York City,Christopher Owens,159.089,0.818,-7.933,0.476,0.74,0.00275
73,Not About Angels,Birdy,116.86,0.111,-11.879,0.405,0.219,0.964
74,Nothing Ever Happened,Deerhunter,150.102,0.841,-6.31,0.264,0.716,1.94E-05
75,One Nation Under a Groove,Funkadelic,122.431,0.777,-8.434,0.782,0.872,0.304
76,One Night,Lil Yachty,130.007,0.476,-12.686,0.762,0.375,0.366
77,Operate,ASTR,126.005,0.927,-7.446,0.592,0.326,1.42E-05
78,Our Love,Caribou,125.002,0.495,-10.747,0.729,0.483,0.131
79,Paperthin Hymn,Anberlin,180.434,0.597,-12.107,0.298,0.536,0.00111
80,Papi Pacify,FKA twigs,109.508,0.602,-7.655,0.487,0.2,0.0685
81,Passionfruit,Drake,111.963,0.459,-11.556,0.804,0.372,0.304
82,Passionfruit,Drake,111.963,0.459,-11.556,0.804,0.372,0.304
83,Platoon,Jungle,100.038,0.834,-7.52,0.638,0.777,0.0447
84,Pyramids,Frank Ocean,107.998,0.661,-6.111,0.401,0.166,0.0129
85,"""Queens Speech 4""",Lady Leshurr,93.287,0.531,-10.113,0.661,0.672,0.141
86,Rainy Streets,Blue In Green,91.349,0.435,-8.97,0.679,0.365,0.167
87,Rewind,Kelela,131.958,0.419,-6.602,0.746,0.225,0.0426
88,Sabali,Amadou & Mariam,124.012,0.639,-6.546,0.596,0.233,0.783
