id,title,a_name,tempo,energy,danceability,loudness,valence,acousticness
1,24K Magic,Bruno Mars,106.97,0.803,-4.282,0.818,0.632,0.034
2,A Million Dreams,Ziv Zaifman,54.747,0.312,-11.689,0.265,0.0998,0.243
3,A Thousand Years,Christina Perri,139.028,0.407,-7.445,0.421,0.161,0.309
4,Affection,Crystal Castles,124.654,0.835,-7.165,0.658,0.532,0.0602
5,All Day,Kanye West,122.967,0.638,-4.968,0.855,0.412,0.0648
6,All of the Stars,Ed Sheeran,150.066,0.562,-6.106,0.436,0.24,0.0102
7,"""All These Things That Ive Done""",The Killers,118.276,0.71,-6.925,0.552,0.206,0.00164
8,Alone,Alan Walker,97.021,0.914,-3.962,0.673,0.183,0.229
9,Alright,Kendrick Lamar,110.034,0.766,-5.974,0.796,0.558,0.0742
10,Amsterdam,Coldplay,73.076,0.176,-10.463,0.262,0.105,0.836
11,Annie,Neon Indian,95.98,0.848,-6.246,0.739,0.875,0.0227
12,Attention,Charlie Puth,100.066,0.613,-4.586,0.775,0.797,0.109
13,Awake,Tycho,176.057,0.878,-5.767,0.552,0.598,0.0585
14,Bad Things,Machine Gun Kelly,137.853,0.691,-4.757,0.697,0.305,0.214
15,Bang That,Disclosure,125.008,0.852,-6.08,0.731,0.611,0.00041
16,Be A Body,Grimes,140.04,0.58,-9.643,0.736,0.137,0.263
17,Beach House,The Chainsmokers,179.945,0.838,-4.491,0.4,0.533,0.174
18,Believer,Imagine Dragons,124.949,0.78,-4.374,0.776,0.666,0.0622
19,Better Now,Post Malone,145.028,0.563,-5.843,0.68,0.374,0.354
20,Big Rings,Drake,131.984,0.675,-6.224,0.776,0.271,0.00196
21,Binge,Papa Roach,93.58,0.93,-4.154,0.464,0.334,3.97E-06
22,Candy Cane Lane,Sia,130.017,0.91,-4.206,0.589,0.394,0.00366
23,Capitol,TR/ST,105.018,0.918,-5.295,0.457,0.286,0.000313
24,Castle on the Hill,Ed Sheeran,135.007,0.834,-4.868,0.461,0.471,0.0232
25,Chained To The Rhythm,Katy Perry,189.89,0.8,-5.404,0.446,0.474,0.0814
26,Chandelier,Sia,117.089,0.787,-2.88,0.399,0.572,0.0197
27,Chantaje,Shakira,102.034,0.773,-2.921,0.852,0.907,0.187
28,Char,Crystal Castles,100.04,0.837,-6.615,0.646,0.326,0.018
29,Chlorine,Twenty One Pilots,90.009,0.674,-7.388,0.609,0.315,0.0735
30,Closer,The Chainsmokers,95.01,0.524,-5.599,0.748,0.661,0.414
31,Cocaine Model,ZHU,120.011,0.706,-6.212,0.786,0.313,0.251
32,Cold Water,Major Lazer,92.943,0.798,-5.092,0.608,0.501,0.0736
33,Colors And The Kids,Cat Power,116.892,0.0849,-14.838,0.425,0.157,0.935
34,Coming Home,Leon Bridges,112.137,0.465,-6.595,0.427,0.458,0.461
35,Congratulations,Post Malone,123.146,0.804,-4.183,0.63,0.492,0.215
36,Crosstown Traffic,Jimi Hendrix,113.133,0.963,-5.586,0.486,0.533,0.248
37,Danger and Dread,Brown Bird,209.686,0.449,-9.271,0.462,0.773,0.674
38,Dry,PJ Harvey,99.815,0.471,-15.469,0.448,0.471,0.00134
39,Electioneering,Radiohead,78.84,0.951,-4.345,0.204,0.44,0.00248
40,Fake Tales Of San Francisco,Arctic Monkeys,127.158,0.778,-4.225,0.454,0.704,0.00998
41,Fall In Love,Phantogram,188.046,0.856,-3.216,0.348,0.269,0.0416
42,Felices los 4,Maluma,94.027,0.756,-5.861,0.766,0.716,0.213
43,Fire,Sara Bareilles,107.032,0.726,-7.921,0.666,0.462,0.485
44,Flashlight,Parliament,106.077,0.802,-6.159,0.749,0.826,0.0332
45,Get Away,CHVRCHES,120.03,0.57,-6.645,0.62,0.429,0.00525
46,Give in To Me,Lika Morgan,124.071,0.871,-4.069,0.769,0.672,0.0873
47,Glorious,Macklemore,139.994,0.794,-5.126,0.731,0.356,0.0323
48,Go,Grimes,140.012,0.796,-6.179,0.621,0.279,0.0107
49,God is a woman,Ariana Grande,145.031,0.658,-5.934,0.602,0.268,0.0233
50,Good Years,ZAYN,96.969,0.411,-5.979,0.638,0.158,0.55
51,Havana,Camila Cabello,104.988,0.523,-4.333,0.765,0.394,0.184
52,High School Lover,Cayucas,123.039,0.988,-4.398,0.702,0.617,0.38
53,How Did I Get Here,ODESZA,96.064,0.578,-6.205,0.71,0.348,0.371
54,"""How Far Ill Go""",Alessia Cara,179.484,0.563,-9.671,0.315,0.147,0.173
55,How Long Will I Love You,Ellie Goulding,126.078,0.304,-9.19,0.512,0.172,0.295
56,"""I Aint Trippin off Nothin""",Ezale,106.059,0.831,-4.664,0.857,0.259,0.00158
57,"""I Dont Know What Love Is""",Lady Gaga,62.671,0.535,-6.556,0.421,0.221,0.348
58,I Feel It Coming,The Weeknd,92.99,0.819,-5.946,0.773,0.585,0.426
59,I Like The Way,Against The Current,120.014,0.804,-4.323,0.671,0.618,0.0333
60,I Shall Be Released,Nina Simone,169.867,0.345,-10.654,0.374,0.552,0.376
