Heaven And Hell Is On Earth,20th Century Steel Band,109.455,0.618,-11.31,0.617,0.448,0.0176,23.333333333333332,22.000000000000004,8.0,46.666666666666664,3
Bank Account,21 Savage,75.016,0.346,-8.228,0.884,0.376,0.0151,30.0,42.00000000000001,27.999999999999996,0.0,1
Milly Rock,2milly,135.45,0.449,-12.037,0.45,0.139,0.00791,25.0,0.0,55.00000000000001,20.0,2
Amnesia,5 Seconds Of Summer,101.671,0.497,-5.26,0.594,0.101,0.0343,2.5,59.5,18.0,20.0,1
Babylon,5 Seconds Of Summer,92.988,0.884,-2.931,0.521,0.494,0.00155,5.0,45.0,20.0,30.0,1
Beside You,5 Seconds Of Summer,153.115,0.822,-5.095,0.38,0.558,0.00457,0.0,20.0,50.0,30.0,2
Broken Home,5 Seconds Of Summer,128.001,0.631,-5.522,0.585,0.5,0.128,0.0,49.5,38.0,12.5,1
Close As Strangers,5 Seconds Of Summer,150.016,0.796,-5.265,0.467,0.338,0.0218,0.0,20.0,40.0,40.0,2
Disconnected,5 Seconds Of Summer,99.945,0.891,-4.812,0.624,0.693,0.12,5.0,37.0,48.0,10.0,2
"""Dont Stop""",5 Seconds Of Summer,149.946,0.957,-3.468,0.571,0.892,0.00209,5.0,47.0,38.0,10.0,1
Empty Wallets,5 Seconds Of Summer,188.073,0.709,-4.324,0.591,0.441,0.0123,10.0,49.5,38.0,2.5,1
Ghost Of You,5 Seconds Of Summer,149.875,0.561,-4.819,0.458,0.206,0.0965,0.0,36.666666666666664,23.333333333333332,40.0,3
Good Girls,5 Seconds Of Summer,141.064,0.911,-5.203,0.528,0.576,0.0152,5.0,35.0,30.0,30.0,1
Heartbreak Girl,5 Seconds Of Summer,166.99,0.789,-3.62,0.471,0.684,0.000962,0.0,30.0,30.0,40.0,3
If Walls Could Talk,5 Seconds Of Summer,121.899,0.79,-4.762,0.588,0.499,0.00879,0.0,42.00000000000001,48.0,10.0,2
Jet Black Heart,5 Seconds Of Summer,153.957,0.85,-4.274,0.507,0.545,0.000163,15.0,20.0,30.0,35.0,3
Killer Queen,5 Seconds Of Summer,171.009,0.789,-4.548,0.262,0.487,0.00422,10.0,20.0,40.0,30.0,2
Kiss Me Kiss Me,5 Seconds Of Summer,150.049,0.941,-4.756,0.476,0.346,0.000357,0.0,20.0,40.0,40.0,2
Lie To Me,5 Seconds Of Summer,159.927,0.52,-5.445,0.611,0.771,0.0132,0.0,59.5,38.0,2.5,1
Meet You There,5 Seconds Of Summer,132.915,0.711,-5.047,0.728,0.693,0.00985,20.0,42.00000000000001,27.999999999999996,10.0,1
Monster Among Men,5 Seconds Of Summer,166.105,0.678,-4.627,0.495,0.475,0.0918,10.0,30.0,20.0,40.0,3
Moving Along,5 Seconds Of Summer,149.996,0.829,-4.297,0.713,0.845,0.00529,0.0,32.0,57.99999999999999,10.0,2
Out Of My Limit,5 Seconds Of Summer,144.009,0.895,-4.768,0.562,0.68,0.000559,5.0,37.0,48.0,10.0,2
She Looks So Perfect,5 Seconds Of Summer,160.025,0.951,-4.237,0.494,0.441,0.000569,5.0,25.0,30.0,40.0,3
"""Shes Kinda Hot""",5 Seconds Of Summer,118.031,0.908,-4.806,0.664,0.889,0.00182,5.0,37.0,48.0,10.0,2
Story Of Another Us,5 Seconds Of Summer,147.95,0.876,-4.501,0.493,0.557,0.00232,5.0,20.0,30.0,45.0,3
Talk Fast,5 Seconds Of Summer,145.983,0.719,-3.354,0.803,0.608,0.0318,0.0,52.0,43.0,5.0,1
Valentine,5 Seconds Of Summer,94.007,0.767,-2.907,0.746,0.773,0.0601,0.0,52.0,43.0,5.0,1
Want You Back,5 Seconds Of Summer,98.03,0.867,-4.915,0.618,0.579,0.00699,5.0,32.0,48.0,15.0,2
Wherever You Are,5 Seconds Of Summer,91.984,0.815,-4.821,0.562,0.459,0.0171,0.0,42.00000000000001,48.0,10.0,2
Why Won・t You Love Me,5 Seconds Of Summer,135.122,0.78,-3.771,0.613,0.333,0.000455,0.0,52.0,38.0,10.0,1
Woke Up In Japan,5 Seconds Of Summer,126.909,0.863,-3.785,0.677,0.647,0.0119,5.0,32.0,48.0,15.0,2
Youngblood,5 Seconds Of Summer,120.274,0.854,-5.114,0.596,0.152,0.0169,5.0,32.0,48.0,15.0,2
Look Back At It,A Boogie Wit da Hoodie,96.057,0.587,-5.075,0.791,0.536,0.407,5.0,12.0,68.0,15.0,2
Lost Stars,Adam Levine,82.025,0.582,-4.769,0.494,0.416,0.102,10.0,30.0,20.0,40.0,3
Best for Last,Adele,92.184,0.317,-10.935,0.577,0.602,0.675,46.0,27.500000000000004,0.0,26.5,0
Chasing Pavements,Adele,80.024,0.471,-6.087,0.614,0.32,0.318,2.5,39.5,27.999999999999996,30.0,1
Crazy for You,Adele,85.994,0.137,-12.316,0.714,0.326,0.913,58.5,15.0,6.0,20.5,0
Daydreamer,Adele,109.029,0.101,-13.208,0.802,0.37,0.962,55.00000000000001,28.333333333333332,6.0,10.666666666666666,0
"""Dont You Remember""",Adele,115.023,0.4,-5.712,0.643,0.226,0.214,26.666666666666668,35.5,25.33333333333333,12.5,1
Hello,Adele,157.98,0.431,-6.129,0.47,0.289,0.329,21.666666666666664,0.0,50.0,28.333333333333332,2
Hiding My Heart,Adele,68.036,0.202,-10.602,0.566,0.34,0.831,46.0,30.0,0.0,24.0,0
I Miss You,Adele,113.071,0.577,-4.254,0.382,0.156,0.01,20.0,26.666666666666668,33.33333333333333,20.0,2
Love In The Dark,Adele,109.901,0.341,-6.057,0.472,0.154,0.528,21.666666666666664,10.0,40.0,28.333333333333332,2
Melt My Heart to Stone,Adele,80.486,0.391,-7.09,0.5,0.226,0.341,0.0,16.0,74.0,10.0,2
My Same,Adele,126.516,0.59,-7.501,0.775,0.697,0.5,28.333333333333332,10.0,15.0,46.666666666666664,3
One and Only,Adele,154.985,0.467,-5.306,0.528,0.184,0.295,12.5,44.16666666666666,23.333333333333332,20.0,1
Remedy,Adele,162.874,0.3,-6.475,0.403,0.234,0.894,21.666666666666664,20.0,25.0,33.33333333333333,3
Rolling in the Deep,Adele,104.948,0.77,-5.114,0.73,0.507,0.138,10.0,32.0,43.0,15.0,2
Set Fire to the Rain,Adele,107.995,0.67,-3.882,0.603,0.445,0.00408,10.0,49.5,38.0,2.5,1
Skyfall,Adele,75.881,0.552,-6.864,0.346,0.0789,0.417,23.333333333333332,1.6666666666666667,36.666666666666664,38.33333333333333,3
Someone Like You,Adele,135.047,0.321,-8.251,0.554,0.288,0.893,30.0,20.0,10.0,40.0,3
Sweetest Devotion,Adele,155.941,0.751,-5.471,0.416,0.266,0.251,16.0,13.999999999999998,50.0,20.0,2
Take It All,Adele,138.079,0.266,-8.44,0.415,0.284,0.957,26.666666666666668,10.0,35.0,28.333333333333332,2
