Bank Account,21 Savage,75.016,0.346,-8.228,0.884,0.376,0.0151,30.0,42.00000000000001,27.999999999999996,0.0,1
Amnesia,5 Seconds Of Summer,101.671,0.497,-5.26,0.594,0.101,0.0343,2.5,59.5,18.0,20.0,1
Babylon,5 Seconds Of Summer,92.988,0.884,-2.931,0.521,0.494,0.00155,5.0,45.0,20.0,30.0,1
Beside You,5 Seconds Of Summer,153.115,0.822,-5.095,0.38,0.558,0.00457,0.0,20.0,50.0,30.0,2
Broken Home,5 Seconds Of Summer,128.001,0.631,-5.522,0.585,0.5,0.128,0.0,49.5,38.0,12.5,1
Close As Strangers,5 Seconds Of Summer,150.016,0.796,-5.265,0.467,0.338,0.0218,0.0,20.0,40.0,40.0,2
Disconnected,5 Seconds Of Summer,99.945,0.891,-4.812,0.624,0.693,0.12,5.0,37.0,48.0,10.0,2
Empty Wallets,5 Seconds Of Summer,188.073,0.709,-4.324,0.591,0.441,0.0123,10.0,49.5,38.0,2.5,1
Ghost Of You,5 Seconds Of Summer,149.875,0.561,-4.819,0.458,0.206,0.0965,0.0,36.666666666666664,23.333333333333332,40.0,3
Good Girls,5 Seconds Of Summer,141.064,0.911,-5.203,0.528,0.576,0.0152,5.0,35.0,30.0,30.0,1
Heartbreak Girl,5 Seconds Of Summer,166.99,0.789,-3.62,0.471,0.684,0.000962,0.0,30.0,30.0,40.0,3
If Walls Could Talk,5 Seconds Of Summer,121.899,0.79,-4.762,0.588,0.499,0.00879,0.0,42.00000000000001,48.0,10.0,2
Jet Black Heart,5 Seconds Of Summer,153.957,0.85,-4.274,0.507,0.545,0.000163,15.0,20.0,30.0,35.0,3
Killer Queen,5 Seconds Of Summer,171.009,0.789,-4.548,0.262,0.487,0.00422,10.0,20.0,40.0,30.0,2
Kiss Me Kiss Me,5 Seconds Of Summer,150.049,0.941,-4.756,0.476,0.346,0.000357,0.0,20.0,40.0,40.0,2
Lie To Me,5 Seconds Of Summer,159.927,0.52,-5.445,0.611,0.771,0.0132,0.0,59.5,38.0,2.5,1
Meet You There,5 Seconds Of Summer,132.915,0.711,-5.047,0.728,0.693,0.00985,20.0,42.00000000000001,27.999999999999996,10.0,1
Monster Among Men,5 Seconds Of Summer,166.105,0.678,-4.627,0.495,0.475,0.0918,10.0,30.0,20.0,40.0,3
Moving Along,5 Seconds Of Summer,149.996,0.829,-4.297,0.713,0.845,0.00529,0.0,32.0,57.99999999999999,10.0,2
Out Of My Limit,5 Seconds Of Summer,144.009,0.895,-4.768,0.562,0.68,0.000559,5.0,37.0,48.0,10.0,2
She Looks So Perfect,5 Seconds Of Summer,160.025,0.951,-4.237,0.494,0.441,0.000569,5.0,25.0,30.0,40.0,3
Story Of Another Us,5 Seconds Of Summer,147.95,0.876,-4.501,0.493,0.557,0.00232,5.0,20.0,30.0,45.0,3
Talk Fast,5 Seconds Of Summer,145.983,0.719,-3.354,0.803,0.608,0.0318,0.0,52.0,43.0,5.0,1
Valentine,5 Seconds Of Summer,94.007,0.767,-2.907,0.746,0.773,0.0601,0.0,52.0,43.0,5.0,1
Want You Back,5 Seconds Of Summer,98.03,0.867,-4.915,0.618,0.579,0.00699,5.0,32.0,48.0,15.0,2
Wherever You Are,5 Seconds Of Summer,91.984,0.815,-4.821,0.562,0.459,0.0171,0.0,42.00000000000001,48.0,10.0,2
