Havana,Camila Cabello,104.988,0.523,-4.333,0.765,0.394,0.184,20.0,22.000000000000004,43.0,15.0,2
Give in To Me,Lika Morgan,124.071,0.871,-4.069,0.769,0.672,0.0873,10.0,42.00000000000001,43.0,5.0,2
Sugar,Maroon 5,120.076,0.788,-7.055,0.748,0.884,0.0591,30.0,22.000000000000004,32.99999999999999,15.0,2
Be Alright,Dean Lewis,126.684,0.586,-6.319,0.553,0.443,0.697,10.0,36.666666666666664,13.333333333333334,40.0,3
Shape of You,Ed Sheeran,95.977,0.652,-3.183,0.825,0.931,0.581,13.333333333333334,30.0,20.0,36.666666666666664,3
"""Im the One""",DJ Khaled,80.924,0.668,-4.284,0.609,0.811,0.0552,10.0,49.5,38.0,2.5,1
Symphony,Clean Bandit,122.863,0.629,-4.581,0.707,0.457,0.259,0.0,29.500000000000004,57.99999999999999,12.5,2
1-800-273-8255,Logic,100.021,0.574,-7.788,0.62,0.352,0.57,31.666666666666664,17.5,25.0,25.833333333333336,0
DNA.,Kendrick Lamar,139.913,0.523,-6.664,0.638,0.422,0.00454,5.0,39.5,32.99999999999999,22.5,1
Return Of The Mack - C & J Street Mix,Mark Morrison,95.487,0.833,-5.379,0.715,0.612,0.00631,0.0,42.00000000000001,48.0,10.0,2
This Is Me,Keala Settle,191.702,0.704,-7.276,0.284,0.1,0.00583,0.0,24.0,36.0,40.0,3
Wolves,Selena Gomez,124.946,0.807,-4.59,0.72,0.305,0.129,20.0,32.0,48.0,0.0,2
When I Fall In Love,Celine Dion,68.353,0.241,-13.251,0.19,0.107,0.577,28.333333333333332,0.0,56.666666666666664,15.0,2
