Army of Me,Anastacia,124.975,0.748,-6.668,0.601,0.272,0.141,10.0,29.500000000000004,27.999999999999996,32.5,3
Caught In The Middle,Anastacia,184.095,0.797,-4.994,0.457,0.452,0.0684,0.0,20.0,40.0,40.0,2
"""Im Outta Love""",Anastacia,119.406,0.716,-5.8,0.761,0.649,0.398,15.0,12.0,57.99999999999999,15.0,2
Left Outside Alone,Anastacia,102.847,0.746,-3.567,0.663,0.325,0.0697,10.0,59.5,27.999999999999996,2.5,1
Love Is a Crime,Anastacia,204.02,0.808,-5.482,0.557,0.938,0.123,0.0,42.00000000000001,48.0,10.0,2
Paid My Dues,Anastacia,97.035,0.729,-3.289,0.702,0.757,0.11,0.0,59.5,38.0,2.5,1
Pain,Anastacia,93.738,0.655,-6.541,0.472,0.16,0.191,0.0,0.0,30.0,70.0,3
Redlight,Anastacia,95.032,0.835,-3.952,0.681,0.521,0.0905,0.0,42.00000000000001,48.0,10.0,2
Sick and Tired,Anastacia,99.741,0.87,-4.495,0.595,0.494,0.0107,5.0,32.0,48.0,15.0,2
Staring at the Sun,Anastacia,111.008,0.706,-5.568,0.591,0.151,0.0223,0.0,49.5,48.0,2.5,1
"""Youll Never Be Alone""",Anastacia,137.708,0.561,-6.576,0.484,0.123,0.104,0.0,10.0,30.0,60.0,3
Addicted To You,Avicii,128.089,0.778,-4.071,0.549,0.318,0.0494,0.0,42.00000000000001,48.0,10.0,2
All You Need Is Love,Avicii,125.017,0.425,-4.821,0.767,0.464,0.0354,42.5,9.5,32.99999999999999,15.0,0
Broken Arrows,Avicii,115.973,0.666,-7.186,0.63,0.288,0.0481,5.0,39.5,32.99999999999999,22.5,1
"""Cant Catch Me""",Avicii,79.926,0.702,-3.394,0.627,0.592,0.171,10.0,49.5,27.999999999999996,12.5,1
Canyons,Avicii,126.988,0.673,-5.978,0.663,0.0598,0.012,0.0,29.500000000000004,48.0,22.5,2
Dear Boy,Avicii,124.988,0.607,-5.907,0.682,0.224,0.000278,0.0,29.500000000000004,48.0,22.5,2
Feeling Good,Avicii,100.101,0.59,-5.486,0.452,0.107,0.337,5.0,10.0,40.0,45.0,3
For A Better Day,Avicii,135.002,0.843,-3.393,0.639,0.317,0.0386,0.0,52.0,38.0,10.0,1
Heart Upon My Sleeve,Avicii,126.025,0.695,-7.917,0.708,0.341,0.0978,20.0,39.5,8.0,32.5,1
Hey Brother,Avicii,124.943,0.777,-4.829,0.537,0.427,0.0279,0.0,42.00000000000001,38.0,20.0,1
Lay Me Down,Avicii,124.979,0.696,-6.911,0.691,0.748,0.00144,10.0,39.5,27.999999999999996,22.5,1
Pure Grinding,Avicii,104.008,0.743,-3.462,0.712,0.361,0.0852,0.0,59.5,38.0,2.5,1
Sunset Jesus,Avicii,104.934,0.788,-3.599,0.61,0.687,0.0278,0.0,52.0,38.0,10.0,1
Talk To Myself,Avicii,122.012,0.799,-4.336,0.722,0.886,0.0102,30.0,32.0,38.0,0.0,2
The Days,Avicii,125.983,0.835,-5.298,0.527,0.654,0.0166,0.0,40.0,30.0,30.0,1
The Nights,Avicii,125.983,0.835,-5.298,0.527,0.654,0.0166,0.0,40.0,30.0,30.0,1
Touch Me,Avicii,109.969,0.539,-4.93,0.705,0.848,0.000888,0.0,59.5,38.0,2.5,1
Trouble,Avicii,115.859,0.799,-3.45,0.689,0.823,0.0323,0.0,52.0,38.0,10.0,1
True Believer,Avicii,120.001,0.561,-2.964,0.762,0.355,0.00281,0.0,52.0,32.99999999999999,15.0,1
Waiting For Love,Avicii,127.999,0.736,-3.863,0.579,0.613,0.31,10.0,49.5,27.999999999999996,12.5,1
Wake Me Up,Avicii,124.102,0.784,-5.659,0.518,0.588,0.00346,0.0,40.0,30.0,30.0,1
You Make Me,Avicii,125.008,0.738,-4.82,0.582,0.525,0.00219,10.0,49.5,38.0,2.5,1
Call Me Maybe,Carly Rae Jepsen,120.05,0.6,-6.532,0.782,0.612,0.0162,32.5,22.000000000000004,23.0,22.5,0
I Really Like You,Carly Rae Jepsen,122.121,0.808,-4.701,0.622,0.599,0.00543,0.0,42.00000000000001,48.0,10.0,2
Party For One,Carly Rae Jepsen,123.442,0.638,-6.539,0.685,0.414,0.0371,10.0,39.5,27.999999999999996,22.5,1
Cut To The Feeling,Carly Rae Jepsen,114.922,0.907,-2.747,0.7,0.596,0.0121,5.0,47.0,38.0,10.0,1
Now That I Found You,Carly Rae Jepsen,124.169,0.737,-5.154,0.611,0.574,0.0145,10.0,49.5,38.0,2.5,1
Run Away With Me,Carly Rae Jepsen,119.023,0.719,-5.505,0.564,0.251,0.0126,10.0,49.5,38.0,2.5,1
Your Type,Carly Rae Jepsen,92.033,0.813,-5.156,0.628,0.49,0.00246,0.0,42.00000000000001,48.0,10.0,2
No Drug Like Me,Carly Rae Jepsen,133.076,0.618,-7.096,0.553,0.715,0.526,26.666666666666668,30.83333333333333,10.0,32.5,3
Roses,Carly Rae Jepsen,123.092,0.516,-6.972,0.754,0.428,0.229,0.0,42.00000000000001,23.0,35.0,1
All That,Carly Rae Jepsen,79.978,0.475,-5.791,0.575,0.491,0.135,16.499999999999996,36.166666666666664,37.333333333333336,10.0,2
Let¡¦s Get Lost,Carly Rae Jepsen,109.954,0.75,-4.928,0.626,0.676,0.565,40.0,27.500000000000004,20.0,12.5,0
Sunshine On My Shoulders,Carly Rae Jepsen,91.001,0.609,-7.542,0.705,0.601,0.169,20.0,39.5,11.333333333333332,29.166666666666664,1
Favourite Colour,Carly Rae Jepsen,146.007,0.658,-5.386,0.6,0.677,0.0817,10.0,49.5,38.0,2.5,1
Fever,Carly Rae Jepsen,112.958,0.734,-5.966,0.787,0.574,0.0105,12.5,12.0,43.0,32.5,2
Gimmie Love,Carly Rae Jepsen,109.544,0.802,-4.948,0.694,0.513,0.114,0.0,32.0,57.99999999999999,10.0,2
More Than A Memory,Carly Rae Jepsen,126.966,0.861,-4.04,0.733,0.788,0.00809,0.0,52.0,43.0,5.0,1
I Didn¡¦t Just Come Here To Dance,Carly Rae Jepsen,122.041,0.617,-7.036,0.813,0.526,0.125,32.5,22.000000000000004,23.0,22.5,0
Sour Candy,Carly Rae Jepsen,159.931,0.58,-7.488,0.668,0.748,0.0572,5.0,29.500000000000004,13.0,52.5,3
Cry,Carly Rae Jepsen,125.968,0.744,-5.732,0.756,0.372,0.0454,10.0,42.00000000000001,32.99999999999999,15.0,1
Emotion,Carly Rae Jepsen,113.972,0.628,-4.447,0.761,0.271,0.0688,20.0,32.0,43.0,5.0,2
Boy Problems,Carly Rae Jepsen,112.042,0.91,-4.095,0.703,0.829,0.0121,5.0,37.0,48.0,10.0,2
Take A Picture,Carly Rae Jepsen,120.025,0.688,-5.659,0.719,0.76,0.00154,10.0,42.00000000000001,38.0,10.0,1
A New Day Has Come,Celine Dion,119.483,0.333,-9.869,0.436,0.0609,0.722,16.666666666666664,10.0,35.0,38.33333333333333,3
All By Myself,Celine Dion,118.556,0.325,-10.005,0.344,0.0773,0.348,6.666666666666667,10.0,65.0,18.333333333333332,2
Alone,Celine Dion,176.016,0.616,-6.041,0.314,0.143,0.104,10.0,10.0,40.0,40.0,2
Because You Loved Me,Celine Dion,119.916,0.466,-9.881,0.614,0.178,0.314,12.5,29.500000000000004,38.0,20.0,2
Breakaway,Celine Dion,114.982,0.687,-3.772,0.597,0.275,0.205,10.0,49.5,27.999999999999996,12.5,1
Dance With My Father,Celine Dion,81.04,0.494,-8.898,0.624,0.235,0.292,12.5,39.5,27.999999999999996,20.0,1
Falling Into You,Celine Dion,193.246,0.505,-9.052,0.371,0.564,0.382,38.33333333333333,1.6666666666666667,51.66666666666667,8.333333333333332,2
Have You Ever Been In Love,Celine Dion,137.482,0.432,-7.024,0.464,0.11,0.611,31.666666666666664,10.0,50.0,8.333333333333332,2
I Drove All Night,Celine Dion,134.994,0.912,-4.198,0.566,0.644,0.00051,5.0,37.0,48.0,10.0,2
I Love You,Celine Dion,176.954,0.495,-7.905,0.435,0.255,0.434,33.33333333333333,1.6666666666666667,21.666666666666664,43.33333333333333,3
I Love You Goodbye,Celine Dion,126.234,0.278,-12.766,0.374,0.153,0.609,36.666666666666664,0.0,45.0,18.333333333333332,2
I Surrender,Celine Dion,114.015,0.522,-6.281,0.591,0.149,0.552,30.0,27.500000000000004,20.0,22.5,0
If You Asked Me To,Celine Dion,172.382,0.437,-10.587,0.46,0.227,0.128,25.0,0.0,55.00000000000001,20.0,2
"""Im Alive""",Celine Dion,101.991,0.64,-5.087,0.691,0.452,0.0247,0.0,59.5,38.0,2.5,1
Incredible,Celine Dion,82.048,0.653,-5.099,0.533,0.302,0.441,20.0,27.500000000000004,20.0,32.5,3
"""Its All Coming Back to Me Now""",Celine Dion,87.84,0.503,-8.191,0.393,0.285,0.716,41.666666666666664,10.0,30.0,18.333333333333332,0
Loved Me Back to Life,Celine Dion,146.197,0.673,-5.743,0.488,0.479,0.128,0.0,30.0,20.0,50.0,3
On ne change pas,Celine Dion,95.001,0.481,-10.623,0.677,0.498,0.46,12.5,37.5,18.0,32.0,1
Recovering,Celine Dion,135.659,0.159,-9.31,0.475,0.334,0.911,26.666666666666668,10.0,30.0,33.33333333333333,3
Somebody Loves Somebody,Celine Dion,104.96,0.845,-5.013,0.644,0.387,0.0323,0.0,42.00000000000001,48.0,10.0,2
Taking Chances,Celine Dion,176.3,0.536,-5.641,0.275,0.243,0.0199,0.0,26.666666666666668,43.33333333333333,30.0,2
"""Thats the Way It Is""",Celine Dion,93.04,0.886,-5.424,0.634,0.577,0.154,5.0,37.0,48.0,10.0,2
The Power of Love,Celine Dion,140.054,0.519,-9.072,0.546,0.247,0.36,10.0,49.5,18.0,22.5,1
The Prayer,Celine Dion,82.388,0.321,-8.513,0.234,0.0504,0.82,18.333333333333332,10.0,41.66666666666667,30.0,2
