Always Remember Us This Way,Lady Gaga,129.976,0.502,-5.972,0.553,0.296,0.299,10,35,30,25,1
Bam Bam,Sister Nancy,126.536,0.776,-5.293,0.583,0.782,0.827,36.16666667,43.33333333,18,2.5,1
Bank Account,21 Savage,126.684,0.586,-6.319,0.553,0.443,0.697,26.66666667,33.33333333,20,20,1
Big Rings,Drake,93.58,0.93,-4.154,0.464,0.334,3.97E-06,10,30,30,30,1
Bounce Back,Big Sean,110.922,0.319,-6.206,0.572,0.359,0.963,16,56,18,10,1
Burn,Nine Inch Nails,81.108,0.786,-3.626,0.294,0.118,0.000392,27.5,32.5,30,10,1
Cemalim,Erkin Koray,117.089,0.787,-2.88,0.399,0.572,0.0197,27.5,32.5,30,10,1
Chained To The Rhythm,Katy Perry,126.996,0.672,-7.508,0.844,0.228,0.000815,20,30,30,20,1
Check,Young Thug,95.01,0.524,-5.599,0.748,0.661,0.414,26.66666667,28.33333333,22.5,22.5,1
Coming Home,Leon Bridges,79.925,0.538,-5.828,0.618,0.308,0.0249,0,40,40,20,1
Dark Matter,Feathers,99.994,0.603,-7.792,0.836,0.388,0.00208,20,30,30,20,1
Dry,PJ Harvey,78.84,0.951,-4.345,0.204,0.44,0.00248,20,30,20,30,1
Electioneering,Radiohead,102.652,0.495,-10.584,0.879,0.802,0.538,0,51,9,40,1
Faded,Alan Walker,188.046,0.856,-3.216,0.348,0.269,0.0416,17.5,32.5,20,30,1
Friends,Justin Bieber,138.022,0.925,-1.71,0.224,0.378,0.000596,20,30,20,30,1
Good Mistake,Mr Little Jeans,104.988,0.523,-4.333,0.765,0.394,0.184,20,35,25,20,1
Good Years,ZAYN,130.195,0.948,-5.626,0.506,0.934,0.727,28.66666667,43.33333333,18,10,1
Hannah Montana,Migos,86.013,0.544,-8.36,0.606,0.456,0.0481,10,30,30,30,1
I Need To Wake Up,Melissa Etheridge,143.522,0.278,-14.946,0.167,0.0911,0.716,25,35,30,10,1
I Shall Be Released,Nina Simone,132.977,0.987,-3.007,0.498,0.327,7.83E-06,10,30,30,30,1
Is That Alright?,Lady Gaga,142.072,0.553,-7.286,0.852,0.656,0.0563,20,40,10,30,1
It All Feels Right,Washed Out,171.009,0.789,-4.548,0.262,0.487,0.00422,20,30,30,20,1
Kiss Me,Sixpence None The Richer,150.073,0.557,-5.714,0.652,0.483,0.74,28.66666667,33.33333333,28,10,1
Let You Love Me,Rita Ora,127.978,0.525,-7.685,0.882,0.267,0.00678,20,40,20,20,1
Light Up,Tim Halperin,97.012,0.493,-4.1,0.849,0.447,0.456,15,41,19,25,1
Midnight City,M83,175.822,0.981,-2.451,0.304,0.782,0.000371,20,30,20,30,1
More Than You Know,Axwell /\\ Ingrosso,122.919,0.536,-5.593,0.643,0.471,0.485,9.166666667,35.83333333,35,20,1
Music To My Eyes,Lady Gaga,106.971,0.742,-4.331,0.715,0.322,0.052,10,30,30,30,1
Nervous,Shawn Mendes,91.995,0.533,-5.439,0.716,0.502,0.147,10,30,30,30,1
No Promises,Cheat Codes,177.13,0.868,-2.685,0.251,0.599,0.488,22.5,37.5,30,10,1
Our Love,Caribou,121.451,0.783,-5.191,0.786,0.968,0.723,40,50,10,0,1
Platoon,Jungle,91.349,0.435,-8.97,0.679,0.365,0.167,0,51.66666667,18.33333333,30,1
Rainy Streets,Blue In Green,153.547,0.292,-12.977,0.654,0.103,0.0962,10,30,30,30,1
Reminiscing,Little River Band,124.012,0.639,-6.546,0.596,0.233,0.783,16.66666667,43.33333333,30,10,1
Sanctified,Rick Ross,95.977,0.652,-3.183,0.825,0.931,0.581,25,30,25,20,1
Someone You Loved,Lewis Capaldi,99.989,0.615,-4.238,0.729,0.508,0.378,16.66666667,38.33333333,35,10,1
Sorry Not Sorry,Demi Lovato,106.023,0.497,-5.484,0.874,0.542,0.22,6.666666667,38.33333333,35,20,1
SUBEME LA RADIO,Enrique Iglesias,122.863,0.629,-4.581,0.707,0.457,0.259,0,35,35,30,1
Sun In The Night,Lighthouse Family,100.002,0.506,-4.863,0.697,0.516,0.0792,0,60,20,20,1
Sunflower,Stanaj,167.032,0.961,-4.421,0.374,0.357,5.53E-05,20,30,20,30,1
This Is Me,Keala Settle,130.047,0.513,-5.318,0.908,0.257,0.00271,16.66666667,33.33333333,30,20,1
Trill Hoe,Western Tink,105.02,0.851,-4.782,0.715,0.789,0.0036,10,30,30,30,1
Trust Me Danny,ILoveMakonnen,190.559,0.939,-4.756,0.133,0.219,8.20E-06,20,30,20,30,1
Tuesday,ILoveMakonnen,88.038,0.453,-6.119,0.652,0.432,0.0519,5,45,30,20,1
U Mad,Vic Mensa,112.235,0.56,-7.614,0.888,0.817,0.0165,20,30,30,20,1
Voices,Against The Current,162.109,0.772,-4.284,0.338,0.334,0.0134,20,30,30,20,1
Watching You,Melissa Etheridge,121.912,0.92,-4.05,0.713,0.912,0.0471,20,30,30,20,1
When They Fight   They Fight,Generationals,124.946,0.807,-4.59,0.72,0.305,0.129,10,30,30,30,1
"""Ive Seen Footage""",Death Grips,,,,,,,,,,,
World In Motion,New Order,,,,,,,,,,,
House of Jealous Lovers,The Rapture,,,,,,,,,,,
Imma Ride,Young Thug,,,,,,,,,,,
Lose My Mind,A-Trak,,,,,,,,,,,
Hercules,Young Thug,,,,,,,,,,,
Check,Young Thug,,,,,,,,,,,
"""Poppin My Collar""",Three 6 Mafia,,,,,,,,,,,
Jumpman,Drake,,,,,,,,,,,
"""Somebodys Watching Me""",Rockwell,,,,,,,,,,,
"""I Dont Sell Molly No More""",ILoveMakonnen,,,,,,,,,,,
OOOUUU,Young M.A.,,,,,,,,,,,
Return Of The Mack - C & J Street Mix,Mark Morrison,,,,,,,,,,,
Right Place Wrong Time,Dr. John,,,,,,,,,,,
Odofo Nyi Akyiri Biara,Ebo Taylor,,,,,,,,,,,
Loud Places,Jamie xx,,,,,,,,,,,
Get Away,CHVRCHES,,,,,,,,,,,
Our Love,Caribou,,,,,,,,,,,
Aquafina (feat. GoldLink & Chaz French),Falcons,,,,,,,,,,,
I Need You Tonight,Punkin Machine,,,,,,,,,,,
Everybody Likes Something Good,Ify Jerry Crusade,,,,,,,,,,,
International Players Anthem,Swishahouse,,,,,,,,,,,
Swerve,ILoveMakonnen,,,,,,,,,,,
Walk,Kwabs,,,,,,,,,,,
The Magnificent Seven - Remastered,The Clash,,,,,,,,,,,
U Mad,Vic Mensa,,,,,,,,,,,
Slumlord,Neon Indian,,,,,,,,,,,
Maneuvering,ILoveMakonnen,,,,,,,,,,,
Will You Love Me Tomorrow,The Shirelles,,,,,,,,,,,
"""Its My Party""",Lesley Gore,,,,,,,,,,,
"""Queens Speech 4""",Lady Leshurr,,,,,,,,,,,
With That (feat. Duke),Young Thug,,,,,,,,,,,
Hotline Bling,Drake,,,,,,,,,,,
Hercules Theme,Hercules & Love Affair,,,,,,,,,,,
"""My Sub (Pt. 2: The Jackin) - Album Version (Edited)""",Big K.R.I.T.,,,,,,,,,,,
Kush,Lil Wayne,,,,,,,,,,,
"""Dont Move""",Phantogram,,,,,,,,,,,
Coming Home,Leon Bridges,,,,,,,,,,,
Hercules Theme 2014,Hercules & Love Affair,,,,,,,,,,,
Forever,Majid Jordan,,,,,,,,,,,
Dark Matter,Feathers,,,,,,,,,,,
Callie (feat. Vic Mensa),Donnie Trumpet,,,,,,,,,,,
Okay,Holy Ghost!,,,,,,,,,,,
The Wire,HAIM,,,,,,,,,,,
Ride On / Right On,Phosphorescent,,,,,,,,,,,
"""All These Things That Ive Done""",The Killers,,,,,,,,,,,
We Exist,Arcade Fire,,,,,,,,,,,
Double Bubble Trouble,M.I.A.,,,,,,,,,,,
Careless,Dusky,,,,,,,,,,,
How Did I Get Here,ODESZA,,,,,,,,,,,
Hannah Montana,Migos,,,,,,,,,,,
They Come in Gold,Shabazz Palaces,,,,,,,,,,,
Pass The Dutchie,Musical Youth,,,,,,,,,,,
Bless My Soul,Nightmares On Wax,,,,,,,,,,,
Counting,Autre Ne Veut,,,,,,,,,,,
"""Youre the Best""",Wet,,,,,,,,,,,
Crown Violet - Bonus Track,Azizi Gibson,,,,,,,,,,,
Glad I Met You,D. Gookin,,,,,,,,,,,
Exchange,Bryson Tiller,,,,,,,,,,,
Rhythm of Devotion,Sisyphus,,,,,,,,,,,
Enjoy The Silence - Remastered Version Original,Depeche Mode,,,,,,,,,,,
Skyscraper,Elephant,,,,,,,,,,,
Bam Bam,Sister Nancy,,,,,,,,,,,
Alright,Logic,,,,,,,,,,,
When They Fight   They Fight,Generationals,,,,,,,,,,,
The River,Son Little,,,,,,,,,,,
Rill Rill,Sleigh Bells,,,,,,,,,,,
Feel The Volume,Jauz,,,,,,,,,,,
Had Ten Dollaz,Cherry Glazerr,,,,,,,,,,,
Strychnine,The Sonics,,,,,,,,,,,
Acamar,Frankey,,,,,,,,,,,
What I Might Do,Ben Pearce,,,,,,,,,,,
World Restart,Kindness,,,,,,,,,,,
Zombie,Fela Kuti,,,,,,,,,,,
"""Im a Dildo""",No Parents,,,,,,,,,,,
Cadillac Girl,Only Real,,,,,,,,,,,
I Choose You,Willie Hutch,,,,,,,,,,,
Shooting Stars,Bag Raiders,,,,,,,,,,,
Pacifier,Young Thug,,,,,,,,,,,
Make Them Gold,CHVRCHES,,,,,,,,,,,
"""Dont Mean A Thing""",Lapalux,,,,,,,,,,,
Nimble Girl,Hotel Eden,,,,,,,,,,,
Two Brothers,Hanni El Khatib,,,,,,,,,,,
Lost You,Zeds Dead,,,,,,,,,,,
Norf Norf,Vince Staples,,,,,,,,,,,
Talk About,Les Sins,,,,,,,,,,,
Flex (Ooh   Ooh   Ooh),Rich Homie Quan,,,,,,,,,,,
Lets Start the Dance,Bohannon,,,,,,,,,,,
Outro,M83,,,,,,,,,,,
R.I.C.O. (feat. Drake),Meek Mill,,,,,,,,,,,
I Wish,Stevie Wonder,,,,,,,,,,,
More Bounce To The Ounce,Zapp,,,,,,,,,,,
Pyramids,Frank Ocean,,,,,,,,,,,
Oblivion,Grimes,,,,,,,,,,,
