7 rings,Ariana Grande,70.142,0.321,-10.744,0.725,0.319,0.578,14.16666667,29.33333333,24,32.5,3
Acamar,Frankey,119.992,0.739,-9.089,0.777,0.202,0.00212,30,0,25,45,3
Bang That,Disclosure,75.016,0.346,-8.228,0.884,0.376,0.0151,10,26.66666667,23.33333333,40,3
Be Alright,Dean Lewis,179.945,0.838,-4.491,0.4,0.533,0.174,10,20,30,40,3
Believer,Imagine Dragons,97.565,0.585,-10.332,0.442,0.116,0.0984,20,0,10,70,3
Big Plans,"""Why Dont We""",100.878,0.385,-11.125,0.518,0.262,0.64,16.66666667,3.333333333,30,50,3
Billie Holiday,Warpaint,172.035,0.577,-6.446,0.749,0.459,0.0984,20,10,30,40,3
Blood On The Leaves,Kanye West,98.963,0.469,-7.226,0.731,0.631,0.463,14.16666667,21.83333333,19,45,3
Blood On the Money,Future,81.477,0.567,-5.698,0.77,0.26,0.105,20,10,30,40,3
Bruises,Lewis Capaldi,120.046,0.389,-14.505,0.905,0.196,0.74,21.66666667,38.33333333,0,40,3
Capitol,TR/ST,128.042,0.434,-13.479,0.615,0.618,0.445,7.5,6,26.5,60,3
Changes,Chris Lake ,128.044,0.645,-6.24,0.443,0.139,0.0127,0,10,40,50,3
Char,Crystal Castles,80.03,0.472,-11.204,0.739,0.289,0.0145,10,20,10,60,3
Cold In LA,"""Why Dont We""",123.973,0.836,-7.682,0.466,0.0517,7.70E-05,10,10,30,50,3
Cold Water,Major Lazer,93.967,0.188,-11.957,0.794,0.64,0.601,24.16666667,29.33333333,14,32.5,3
Come Save Me,Jagwar Ma,123.918,0.79,-7.938,0.558,0.427,0.0357,23.33333333,0,36.66666667,40,3
Cry Like A Ghost,Passion Pit,95.045,0.404,-10.178,0.75,0.0499,0.216,0,41.66666667,8.333333333,50,3
"""Dont Move""",Phantogram,148.04,0.442,-8.873,0.754,0.608,0.0174,0,36.66666667,3.333333333,60,3
Everybody Likes Something Good,Ify Jerry Crusade,133.987,0.488,-9.433,0.927,0.605,0.108,0,36.66666667,13.33333333,50,3
Fail to Cry,Yacht Club,137.042,0.209,-11.869,0.34,0.151,0.679,22.5,15,30,32.5,3
Fake Love,Drake,114.28,0.756,-10.714,0.7,0.944,0.00182,20,10,20,50,3
Fire And Rain,James Taylor,141.262,0.825,-9.343,0.652,0.695,0.0164,13.33333333,0,26.66666667,60,3
FOOLISH,Meghan Trainor,108.027,0.518,-10.383,0.516,0.0834,0.00483,20,0,30,50,3
Havana,Camila Cabello,121.999,0.463,-7.603,0.778,0.496,0.546,2.5,28.5,21.5,47.5,3
Have Love Will Travel,The Sonics,109.455,0.618,-11.31,0.617,0.448,0.0176,20,10,10,60,3
Heal Me,Lady Gaga,110.325,0.806,-9.542,0.586,0.202,0.0246,33.33333333,0,16.66666667,50,3
"""Hes So Fine - 2000 Digital Remaster""",The Chiffons,154.008,0.824,-8.569,0.683,0.918,0.0249,13.33333333,0,36.66666667,50,3
High School Lover,Cayucas,121.941,0.373,-8.772,0.55,0.33,0.391,10,25,30,35,3
Hot Dreams,Timber Timbre,126.078,0.304,-9.19,0.512,0.172,0.295,17.5,0,40,42.5,3
How Did I Get Here,ODESZA,147.026,0.497,-5.309,0.74,0.067,0.00555,0,30,30,40,3
"""I Aint Trippin off Nothin""",Ezale,89.455,0.597,-9.919,0.458,0.484,0.12,20,0,10,70,3
"""I Dont Know What Love Is""",Lady Gaga,91.97,0.505,-7.621,0.752,0.419,0.535,22.5,12.5,17.5,47.5,3
I Would Die 4 U,Prince,106.005,0.849,-7.886,0.745,0.725,0.0647,30,0,30,40,3
If The World Ends,Guillemots,107.699,0.609,-8.678,0.479,0.513,0.127,10,0,20,70,3
Ikimiz Bir Fidaniz,Umit Aksu Orkestrasi,125.107,0.474,-4.89,0.709,0.366,0.364,0,25,32.5,42.5,3
"""ILl Do Anything""",Courtney Love,139.922,0.401,-8.553,0.854,0.42,0.118,0,36.66666667,23.33333333,40,3
Inspector Norse,Todd Terje,78.127,0.752,-8.18,0.268,0.282,0.000318,30,10,20,40,3
Interlude,Alan Walker,121.099,0.333,-17.848,0.883,0.964,0.00799,20,20,10,50,3
International Players Anthem,Swishahouse,128.487,0.494,-11.662,0.692,0.961,0.346,10,40,0,50,3
"""Ive Seen Footage""",Death Grips,114.812,0.41,-8.735,0.735,0.164,0.19,0,31.66666667,28.33333333,40,3
Leave House,Caribou,149.988,0.821,-7.442,0.512,0.402,0.0696,10,10,30,50,3
Let It Happen,Tame Impala,120.944,0.861,-7.146,0.575,0.379,0.00175,23.33333333,0,36.66666667,40,3
Let Me Love You,DJ Snake,80.126,0.449,-11.462,0.736,0.326,0.33,10,20,20,50,3
Lie for Love,Sabrina Carpenter,106.739,0.913,-9.091,0.717,0.962,0.32,30,5,25,40,3
Look Back At It,A Boogie Wit da Hoodie,82.025,0.582,-4.769,0.494,0.416,0.102,0,20,30,50,3
Look What You Made Me Do,Taylor Swift,109.02,0.631,-10.748,0.646,0.167,0.00462,20,10,10,60,3
Lose My Mind,A-Trak,126.03,0.894,-4.814,0.495,0.213,0.00453,0,30,30,40,3
Losing You,Solange,131.957,0.42,-8.224,0.778,0.2,0.0407,0,26.66666667,13.33333333,60,3
Lost In Japan,Shawn Mendes,111.87,0.602,-7.902,0.64,0.951,0.0646,10,10,30,50,3
Lost In The Fire,Four of Diamonds,92.005,0.628,-7.882,0.704,0.654,0.0626,10,0,30,60,3
Lost Stars,Adam Levine,139.96,0.446,-8.49,0.59,0.323,0.489,2.5,32.5,30,35,3
Lovefool,The Cardigans,86.969,0.655,-9.781,0.697,0.415,0.0626,20,10,20,50,3
Magnets,Disclosure,150.062,0.434,-8.795,0.833,0.281,0.0102,0,36.66666667,13.33333333,50,3
Magnolia,Young & Sick,86.485,0.344,-15.259,0.492,0.247,0.674,25,18.33333333,16.66666667,40,3
Man I Need,Jagwar Ma,140.086,0.545,-8.536,0.737,0.443,0.0855,30,10,20,40,3
Mask Off,Future,103.885,0.332,-18.852,0.635,0.839,0.0351,15,25,20,40,3
"""Maybe Its Time""",Bradley Cooper,48.702,0.442,-12.899,0.595,0.297,0.0709,25,20,20,35,3
Mi Gente,J Balvin,114.805,0.356,-9.044,0.625,0.325,0.392,0,35,25,40,3
Milly Rock,2milly,95.989,0.489,-10.29,0.545,0.188,0.0758,18.33333333,26.66666667,20,35,3
My Sundown,Jimmy Eat World,68.456,0.593,-4.34,0.5,0.329,0.141,0,20,30,50,3
Natural,Imagine Dragons,79.576,0.202,-17.179,0.763,0.738,0.75,22.5,35,5,37.5,3
New Rules,Dua Lipa,150.102,0.841,-6.31,0.264,0.716,1.94E-05,20,10,30,40,3
No Type,Rae Sremmurd,130.007,0.476,-12.686,0.762,0.375,0.366,20,30,0,50,3
Nothing Ever Happened,Deerhunter,125.002,0.495,-10.747,0.729,0.483,0.131,20,20,10,50,3
"""Oh My Darling Dont Meow (Just Blaze Remix)""",Run The Jewels,109.508,0.602,-7.655,0.487,0.2,0.0685,10,10,30,50,3
One Dance,Drake,149.724,0.418,-14.374,0.805,0.966,0.459,12.5,16,16.5,55,3
One Fine Day,The Chiffons,111.963,0.459,-11.556,0.804,0.372,0.304,10,30,10,50,3
One More Chance,James Collins,111.963,0.459,-11.556,0.804,0.372,0.304,10,30,10,50,3
Paperthin Hymn,Anberlin,128.983,0.397,-12.776,0.736,0.297,0.272,20,20,10,50,3
Preach,John Legend,94.731,0.465,-11.259,0.54,0.341,0.652,16.66666667,8.333333333,20,55,3
Pretty Girl,Maggie Lindemann,131.958,0.419,-6.602,0.746,0.225,0.0426,0,20,30,50,3
Raise A Man,Alicia Keys,128.128,0.179,-10.866,0.658,0.191,0.689,32.5,15,10,42.5,3
Return Of The Mack - C & J Street Mix,Mark Morrison,116.74,0.65,-7.953,0.623,0.879,0.245,10,15,35,40,3
Ruin My Life,Zara Larsson,73.061,0.607,-10.088,0.557,0.235,0.00266,30,0,20,50,3
Sexy Socialite,Chromeo,85.889,0.431,-6.666,0.726,0.86,0.0139,0,20,30,50,3
Shape of You,Ed Sheeran,116.635,0.383,-13.661,0.863,0.331,0.0561,10,30,10,50,3
Slide,Calvin Harris,172.004,0.665,-4.203,0.448,0.304,0.06,0,30,30,40,3
Smell Yo D*ck,Riskay,120.368,0.528,-10.666,0.818,0.896,0.377,30,25,5,40,3
SOLO,JENNIE,106.283,0.445,-12.725,0.752,0.964,0.5,10,26,24,40,3
"""Somebodys Watching Me""",Rockwell,86.311,0.523,-7.856,0.792,0.545,0.0365,24,20,16,40,3
Starving,Hailee Steinfeld,170.678,0.688,-8.407,0.388,0.806,0.196,20,0,30,50,3
Stay With Me,CHANYEOL,120.367,0.295,-13.242,0.562,0.158,0.396,15,15,15.83333333,54.16666667,3
Stray,Grace VanderWaal,83.002,0.278,-10.471,0.58,0.349,0.486,7.5,15,20,57.5,3
Strip Me,Natasha Bedingfield,115.078,0.481,-12.59,0.684,0.784,0.475,15,6,24,55,3
Subways,The Avalanches,127.054,0.428,-8.207,0.872,0.471,0.00226,0,36.66666667,23.33333333,40,3
Sunshine Of Your Love,Cream,138,0.421,-9.015,0.688,0.623,0.723,30,10,5,55,3
Sweater Weather,The Neighbourhood,157.92,0.824,-7.36,0.417,0.4,0.000239,20,10,20,50,3
The Buzz (feat. Mataya & Young Tapz),Hermitude,128.604,0.884,-4.602,0.389,0.422,0.00412,10,30,20,40,3
The Incidentals,"""Alishas Attic""",76.986,0.685,-4.828,0.452,0.305,0.0257,0,30,30,40,3
The Magnificent Seven - Remastered,The Clash,108.066,0.843,-7.416,0.583,0.411,0.119,23.33333333,0,36.66666667,40,3
The Payback,James Brown,120.024,0.463,-6.159,0.854,0.549,0.117,0,13.33333333,40,46.66666667,3
The Wire,HAIM,129.952,0.586,-9.414,0.6,0.205,0.0112,10,10,20,60,3
"""They Dont Know - Original Mix""",Disciples,91.92,0.375,-8.279,0.698,0.534,0.652,25,6,14,55,3
This Is America,Childish Gambino,101.798,0.917,-8.806,0.553,0.781,0.00265,33.33333333,0,26.66666667,40,3
This Time Around,Softwar,127.136,0.481,-10.488,0.798,0.62,0.0302,0,36.66666667,3.333333333,60,3
Tiny Dancer,Elton John,134.009,0.581,-6.492,0.706,0.435,0.0151,0,10,30,60,3
Undecided,Chris Brown,116.392,0.506,-8.742,0.567,0.358,0.00731,0,15,40,45,3
When The Night Falls,Chromeo,136.041,0.488,-7.05,0.752,0.533,0.297,0,25,25,50,3
White Iverson,Post Malone,75.044,0.412,-7.148,0.838,0.166,0.0344,0,30,20,50,3
With You,Mariah Carey,89.994,0.728,-10.639,0.387,0.112,0.000178,30,10,10,50,3
Xanny Family,Future,,,,,,,,,,,
Childs Play,Drake,,,,,,,,,,,
Digital Animal,Honey Claws,,,,,,,,,,,
Subways - In Flagranti Extended Edit,The Avalanches,,,,,,,,,,,
Cemalim,Erkin Koray,,,,,,,,,,,
C O O L - Radio Edit,Le Youth,,,,,,,,,,,
Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,,,,,,,,,,,
This Ready Flesh,TR/ST,,,,,,,,,,,
Please Stop Making Fake Versace,Father,,,,,,,,,,,
Best Friend,Young Thug,,,,,,,,,,,
Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,,,,,,,,,,,
Bang That,Disclosure,,,,,,,,,,,
Fantastic Man,William Onyeabor,,,,,,,,,,,
Annie,Neon Indian,,,,,,,,,,,
The Chase,Future Islands,,,,,,,,,,,
Wishes,Beach House,,,,,,,,,,,
"""I Know Theres Gonna Be (Good Times)""",Jamie xx,,,,,,,,,,,
Fail to Cry,Yacht Club,,,,,,,,,,,
Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,,,,,,,,,,,
"""I Aint Trippin off Nothin""",Ezale,,,,,,,,,,,
"""They Dont Know - Original Mix""",Disciples,,,,,,,,,,,
Sabali,Amadou & Mariam,,,,,,,,,,,
Spooky,Dusty Springfield,,,,,,,,,,,
Capitol,TR/ST,,,,,,,,,,,
I Shall Be Released - Remastered,Nina Simone,,,,,,,,,,,
To The Top,Twin Shadow,,,,,,,,,,,
Hot Blur,How Sad,,,,,,,,,,,
Look At Wrist,Father,,,,,,,,,,,
Let It Happen,Tame Impala,,,,,,,,,,,
The Gaudy Side of Town,Gayngs,,,,,,,,,,,
Leave A Trace,CHVRCHES,,,,,,,,,,,
"""Hes So Fine - 2000 Digital Remaster""",The Chiffons,,,,,,,,,,,
Then He Kissed Me,The Crystals,,,,,,,,,,,
"""I Know Theres Gonna Be (Good Times)""",Jamie xx,,,,,,,,,,,
No Type,Rae Sremmurd,,,,,,,,,,,
Chasing Heaven,Bassnectar,,,,,,,,,,,
"""Movin Bass - GTA Remix""",Rick Ross,,,,,,,,,,,
Midnight City,M83,,,,,,,,,,,
Pyramids,Frank Ocean,,,,,,,,,,,
Rewind,Kelela,,,,,,,,,,,
Magnets,Disclosure,,,,,,,,,,,
Pussy,Brazilian Girls,,,,,,,,,,,
Black Mags,The Cool Kids,,,,,,,,,,,
Sippin On Some Syrup,Three 6 Mafia,,,,,,,,,,,
"""Sittin Sidewayz - feat. Big Pokey Explicit""",Paul Wall,,,,,,,,,,,
Gold and a Pager,The Cool Kids,,,,,,,,,,,
Endless Rhythm,Baio,,,,,,,,,,,
Nothing Ever Happened,Deerhunter,,,,,,,,,,,
"""Oh My Darling Dont Meow (Just Blaze Remix)""",Run The Jewels,,,,,,,,,,,
River,Ibeyi,,,,,,,,,,,
The Buzz (feat. Mataya & Young Tapz),Hermitude,,,,,,,,,,,
Trust Me Danny,ILoveMakonnen,,,,,,,,,,,
Big Rings,Drake,,,,,,,,,,,
Annie,Neon Indian,,,,,,,,,,,
Acamar,Frankey,,,,,,,,,,,
Know Yourself,Drake,,,,,,,,,,,
