song,singer,tempo,energy,loudness,danceability,valence,acousticness,happy,angry,sad,relax,mood
My Happy Ending,Avril Lavigne,170.229,0.936,-2.407,0.414,0.74,0.00136,0,30,40,30,2
Happy Talk,Kris Bowers,151.802,0.436,-8.664,0.606,0.805,0.805,25,25,20,30,3
Happy Boxing Day,Tesla Powers,91.029,0.504,-7.904,0.496,0.697,0.486,2.5,20,50,27.5,2
Happy Pills,Norah Jones,177.811,0.441,-6.993,0.641,0.962,0.0897,15,49.5,23,12.5,1
Happy Together,The Turtles,120.175,0.367,-9.638,0.584,0.588,0.55,46,17.5,3.333333333,33.16666667,0
Fake Happy,Paramore,98.559,0.626,-5.685,0.734,0.44,0.076,10,32,33,25,2
Happy As The Sun,Tyrone Wells,124.97,0.246,-13.204,0.763,0.654,0.833,45,38.33333333,6,10.66666667,0
So Happy,Raven & Kreyn,126.013,0.824,-5.361,0.722,0.241,0.0181,20,32,38,10,2
Be Happy,FRND,165.487,0.414,-9.699,0.364,0.194,0.611,26.66666667,0,65,8.333333333,2
Anywhere,Sigma,120.026,0.872,-3.279,0.717,0.61,0.0162,5,42,38,15,1
Come Together,Tom Staar,125.973,0.922,-2.988,0.449,0.0778,0.00021,0,30,30,40,3
Grenade,Jack Back,124.011,0.805,-7.309,0.699,0.322,0.0145,10,42,18,30,1
Give in to Me,Lika Morgan,124.071,0.871,-4.069,0.769,0.672,0.0873,10,42,43,5,2
Atom,Madison Mars,125.992,0.912,-3.1,0.694,0.31,0.0225,5,47,38,10,1
Gotta Know,Andy Bianchini,124.976,0.881,-4.157,0.638,0.207,0.0155,5,37,48,10,2
Nobody Else,Axwell,123.994,0.8,-6.587,0.664,0.318,0.000861,5,22,43,30,2
The Beat,Mike Williams,128.014,0.954,-1.835,0.563,0.788,0.119,5,47,38,10,1
I Dip You Dip,Jonas Aden,126.048,0.794,-5.742,0.761,0.526,0.103,10,42,33,15,1
Tribal Man,Robbie Rivera,122,0.911,-6.034,0.641,0.203,0.0486,5,17,58,20,2
Happier,Marshmello,100.015,0.792,-2.749,0.687,0.671,0.191,0,42,38,20,1
Sweet but Psycho,Ava Max,133.002,0.704,-4.724,0.719,0.628,0.0691,10,42,48,0,2
Without Me,Halsey,136.041,0.488,-7.05,0.752,0.533,0.297,2.5,42,23,32.5,1
Secreto,Anuel Aa,91.987,0.803,-4.156,0.807,0.706,0.602,13.33333333,30,10,46.66666667,3
wish you were gay,Billie Eilish,118.028,0.351,-10.198,0.853,0.282,0.39,16.66666667,25.33333333,28,30,3
Murder On My Mind,YNW Melly,115.007,0.73,-7.985,0.759,0.74,0.145,40,12,18,30,0
Fast,Juice WRLD,84.994,0.607,-5.93,0.613,0.304,0.427,16.66666667,32.83333333,38,12.5,2
High Hopes,Panic! At The Disco,82.014,0.904,-2.729,0.579,0.681,0.193,5,37,38,20,2
Here With Me,Marshmello,99.961,0.565,-3.933,0.791,0.181,0.0623,0,52,33,15,1
Let Me Down Slowly,Alec Benjamin,150.073,0.557,-5.714,0.652,0.483,0.74,28.33333333,36.66666667,25,10,1
My Bad,Khalid,84.999,0.568,-9.127,0.645,0.391,0.543,26.66666667,27.5,20,25.83333333,1
Better Now,Post Malone,145.028,0.563,-5.843,0.68,0.374,0.354,5,39.5,43,12.5,2
Be Alright,Dean Lewis,126.684,0.586,-6.319,0.553,0.443,0.697,10,36.66666667,13.33333333,40,3
Perfect,Ed Sheeran,95.05,0.448,-6.312,0.599,0.168,0.163,7.5,29.5,33,30,2
Happier,Ed Sheeran,89.792,0.385,-7.355,0.522,0.236,0.536,20,17.5,30,32.5,3
Photograph,Ed Sheeran,107.989,0.379,-10.48,0.614,0.201,0.607,46,17.5,13.33333333,23.16666667,0
Thinking Out Loud,Ed Sheeran,78.998,0.445,-6.061,0.781,0.591,0.474,3.333333333,10,30,56.66666667,3
Castle on the Hill,Ed Sheeran,135.007,0.834,-4.868,0.461,0.471,0.0232,0,20,40,40,2
Galway Girl,Ed Sheeran,99.943,0.876,-3.374,0.624,0.781,0.0735,5,42,38,15,1
Supermarket Flowers,Ed Sheeran,89.749,0.242,-10.517,0.589,0.257,0.914,46,20,0,34,0
