song,singer
Havana,Camila Cabello
Give in To Me,Lika Morgan
Sugar,Maroon 5
Need to Know,Calum Scott
What I Miss Most,Calum Scott
Voices,Against The Current
I Like The Way,Against The Current
Nervous,Shawn Mendes
Lie for Love,Sabrina Carpenter
Killer Queen,5 Seconds of Summer
Don't Call Me Up,Mabel
Amsterdam,Coldplay
Something Left To Give,The Starting Line
Mnemic,Zero Gravity
Dry,PJ Harvey
Sleeping At Last,Brightly
7 rings,Ariana Grande
bad idea,Ariana Grande
Let Me Down Slowly,Alec Benjamin
Last Hurrah,Bebe Rexha
Preach,John Legend
Cold In LA,Why Don't We
bury a friend,Billie Eilish
Big Plans,Why Don't We
Saturday Nights,Khalid
SOLO,JENNIE
Always Remember Us This Way,Lady Gaga
Look Back At It,A Boogie Wit da Hoodie
Be Alright,Dean Lewis
Alone,Alan Walker
Faded,Alan Walker
Tired,Alan Walker
Intro,Alan Walker
Interlude,Alan Walker
We Sleep In The Ocean,The Cloud Room
Watching You,Melissa Etheridge
Elizabeth on the Bathroom Floor,Eels
Shape of You,Ed Sheeran
Something Just Like This,The Chainsmokers
I'm the One,DJ Khaled
Unforgettable,French Montana
That's What I Like,Bruno Mars
Paris,The Chainsmokers
Attention,Charlie Puth
Mask Off,Future
Congratulations,Post Malone
Castle on the Hill,Ed Sheeran
Believer,Imagine Dragons
Mi Gente,J Balvin
Thunder,Imagine Dragons
Say You Won't Let Go,James Arthur
There's Nothing Holdin' Me Back,Shawn Mendes
Issues,Julia Michaels
Galway Girl,Ed Sheeran
Scared to Be Lonely,Martin Garrix
Closer,The Chainsmokers
Symphony,Clean Bandit
I Feel It Coming,The Weeknd
Starboy,The Weeknd
Wild Thoughts,DJ Khaled
Slide,Calvin Harris
New Rules,Dua Lipa
1-800-273-8255,Logic
Passionfruit,Drake
rockstar,Post Malone
Strip That Down,Liam Payne
Perfect,Ed Sheeran
Feels,Calvin Harris
Mama,Jonas Blue
Felices los 4,Maluma
Location,Khalid
Chantaje,Shakira
Bad and Boujee (feat. Lil Uzi Vert),Migos
Havana,Camila Cabello
Solo Dance,Martin Jensen
Fake Love,Drake
Let Me Love You,DJ Snake
More Than You Know,Axwell /\ Ingrosso
One Dance,Drake
SUBEME LA RADIO,Enrique Iglesias
Pretty Girl,Maggie Lindemann
Sorry Not Sorry,Demi Lovato
Redbone,Childish Gambino
24K Magic,Bruno Mars
DNA.,Kendrick Lamar
El Amante,Nicky Jam
You Don't Know Me,Jax Jones
Chained To The Rhythm,Katy Perry
No Promises,Cheat Codes
Don't Wanna Know,Maroon 5
How Far I'll Go,Alessia Cara
Slow Hands,Niall Horan
Bounce Back,Big Sean
Sign of the Times,Harry Styles
goosebumps,Travis Scott
Young Dumb & Broke,Khalid
There for You,Martin Garrix
Cold,Maroon 5
Silence,Marshmello
Too Good At Goodbyes,Sam Smith
Just Hold On,Steve Aoki
Look What You Made Me Do,Taylor Swift
Glorious,Macklemore
Starving,Hailee Steinfeld
Weak,AJR
Side To Side,Ariana Grande
I Like Me Better,Lauv
In the Name of Love,Martin Garrix
Cold Water,Major Lazer
Malibu,Miley Cyrus
All Night,The Vamps
Hear Me Now,Alok
Your Song,Rita Ora
Ahora Dice,Chris Jeday
Friends,Justin Bieber
Bank Account,21 Savage
Bad Things,Machine Gun Kelly
Don't Let Me Down,The Chainsmokers
Body Like A Back Road,Sam Hunt
Now Or Never,Halsey
Dusk Till Dawn,ZAYN
Mask Off,Future
